m4.xlarge, eu-central-1a, upload, 1, 0m2.563s
m4.xlarge, eu-central-1a, upload, 1, 0m2.434s
m4.xlarge, eu-central-1a, upload, 1, 0m2.417s
m4.xlarge, eu-central-1a, upload, 1, 0m2.541s
m4.xlarge, eu-central-1a, upload, 1, 0m3.295s
m4.xlarge, eu-central-1a, upload, 1, 0m2.521s
m4.xlarge, eu-central-1a, upload, 4, 0m3.002s
m4.xlarge, eu-central-1a, upload, 4, 0m2.927s
m4.xlarge, eu-central-1a, upload, 4, 0m4.948s
m4.xlarge, eu-central-1a, upload, 4, 0m2.914s
m4.xlarge, eu-central-1a, upload, 4, 0m2.965s
m4.xlarge, eu-central-1a, upload, 4, 0m2.990s
m4.xlarge, eu-central-1a, upload, 16, 0m3.890s
m4.xlarge, eu-central-1a, upload, 16, 0m4.025s
m4.xlarge, eu-central-1a, upload, 16, 0m3.660s
m4.xlarge, eu-central-1a, upload, 16, 0m5.746s
m4.xlarge, eu-central-1a, upload, 16, 0m4.375s
m4.xlarge, eu-central-1a, upload, 16, 0m3.815s
m4.xlarge, eu-central-1a, upload, 64, 0m5.372s
m4.xlarge, eu-central-1a, upload, 64, 0m4.871s
m4.xlarge, eu-central-1a, upload, 64, 0m5.184s
m4.xlarge, eu-central-1a, upload, 64, 0m7.059s
m4.xlarge, eu-central-1a, upload, 64, 0m5.692s
m4.xlarge, eu-central-1a, upload, 64, 0m5.774s
m4.xlarge, eu-central-1a, upload, 256, 0m12.327s
m4.xlarge, eu-central-1a, upload, 256, 0m8.878s
m4.xlarge, eu-central-1a, upload, 256, 0m10.868s
m4.xlarge, eu-central-1a, upload, 256, 0m9.490s
m4.xlarge, eu-central-1a, upload, 256, 0m9.553s
m4.xlarge, eu-central-1a, upload, 256, 0m10.320s
m4.xlarge, eu-central-1a, upload, 1024, 0m32.972s
m4.xlarge, eu-central-1a, upload, 1024, 0m25.624s
m4.xlarge, eu-central-1a, upload, 1024, 0m24.272s
m4.xlarge, eu-central-1a, upload, 1024, 0m27.678s
m4.xlarge, eu-central-1a, upload, 1024, 0m23.494s
m4.xlarge, eu-central-1a, upload, 1024, 0m28.196s
m4.xlarge, eu-central-1a, download, 1, 0m2.278s
m4.xlarge, eu-central-1a, download, 1, 0m2.548s
m4.xlarge, eu-central-1a, download, 1, 0m2.494s
m4.xlarge, eu-central-1a, download, 1, 0m2.608s
m4.xlarge, eu-central-1a, download, 1, 0m2.548s
m4.xlarge, eu-central-1a, download, 1, 0m2.493s
m4.xlarge, eu-central-1a, download, 4, 0m2.997s
m4.xlarge, eu-central-1a, download, 4, 0m3.153s
m4.xlarge, eu-central-1a, download, 4, 0m2.943s
m4.xlarge, eu-central-1a, download, 4, 0m3.030s
m4.xlarge, eu-central-1a, download, 4, 0m3.255s
m4.xlarge, eu-central-1a, download, 4, 0m3.231s
m4.xlarge, eu-central-1a, download, 16, 0m4.756s
m4.xlarge, eu-central-1a, download, 16, 0m4.709s
m4.xlarge, eu-central-1a, download, 16, 0m4.637s
m4.xlarge, eu-central-1a, download, 16, 0m4.641s
m4.xlarge, eu-central-1a, download, 16, 0m4.684s
m4.xlarge, eu-central-1a, download, 16, 0m4.736s
m4.xlarge, eu-central-1a, download, 64, 0m5.903s
m4.xlarge, eu-central-1a, download, 64, 0m4.559s
m4.xlarge, eu-central-1a, download, 64, 0m4.557s
m4.xlarge, eu-central-1a, download, 64, 0m4.546s
m4.xlarge, eu-central-1a, download, 64, 0m4.692s
m4.xlarge, eu-central-1a, download, 64, 0m4.553s
m4.xlarge, eu-central-1a, download, 256, 0m10.399s
m4.xlarge, eu-central-1a, download, 256, 0m10.478s
m4.xlarge, eu-central-1a, download, 256, 0m10.270s
m4.xlarge, eu-central-1a, download, 256, 0m10.624s
m4.xlarge, eu-central-1a, download, 256, 0m10.318s
m4.xlarge, eu-central-1a, download, 256, 0m10.421s
m4.xlarge, eu-central-1a, download, 1024, 0m30.175s
m4.xlarge, eu-central-1a, download, 1024, 0m28.931s
m4.xlarge, eu-central-1a, download, 1024, 0m28.646s
m4.xlarge, eu-central-1a, download, 1024, 0m28.690s
m4.xlarge, eu-central-1a, download, 1024, 0m28.841s
m4.xlarge, eu-central-1a, download, 1024, 0m28.875s
