c4.xlarge, us-east-1b, upload, 1, 0m1.464s
c4.xlarge, us-east-1b, upload, 1, 0m1.437s
c4.xlarge, us-east-1b, upload, 1, 0m1.342s
c4.xlarge, us-east-1b, upload, 1, 0m1.398s
c4.xlarge, us-east-1b, upload, 1, 0m1.386s
c4.xlarge, us-east-1b, upload, 1, 0m1.512s
c4.xlarge, us-east-1b, upload, 4, 0m1.466s
c4.xlarge, us-east-1b, upload, 4, 0m1.469s
c4.xlarge, us-east-1b, upload, 4, 0m1.729s
c4.xlarge, us-east-1b, upload, 4, 0m1.726s
c4.xlarge, us-east-1b, upload, 4, 0m1.502s
c4.xlarge, us-east-1b, upload, 4, 0m1.476s
c4.xlarge, us-east-1b, upload, 16, 0m1.993s
c4.xlarge, us-east-1b, upload, 16, 0m1.865s
c4.xlarge, us-east-1b, upload, 16, 0m3.121s
c4.xlarge, us-east-1b, upload, 16, 0m1.826s
c4.xlarge, us-east-1b, upload, 16, 0m1.753s
c4.xlarge, us-east-1b, upload, 16, 0m1.799s
c4.xlarge, us-east-1b, upload, 64, 0m2.975s
c4.xlarge, us-east-1b, upload, 64, 0m2.239s
c4.xlarge, us-east-1b, upload, 64, 0m2.187s
c4.xlarge, us-east-1b, upload, 64, 0m2.692s
c4.xlarge, us-east-1b, upload, 64, 0m3.385s
c4.xlarge, us-east-1b, upload, 64, 0m2.207s
c4.xlarge, us-east-1b, upload, 256, 0m4.119s
c4.xlarge, us-east-1b, upload, 256, 0m4.204s
c4.xlarge, us-east-1b, upload, 256, 0m4.406s
c4.xlarge, us-east-1b, upload, 256, 0m4.058s
c4.xlarge, us-east-1b, upload, 256, 0m4.226s
c4.xlarge, us-east-1b, upload, 256, 0m4.097s
c4.xlarge, us-east-1b, upload, 1024, 0m11.402s
c4.xlarge, us-east-1b, upload, 1024, 0m13.125s
c4.xlarge, us-east-1b, upload, 1024, 0m11.750s
c4.xlarge, us-east-1b, upload, 1024, 0m15.078s
c4.xlarge, us-east-1b, upload, 1024, 0m21.555s
c4.xlarge, us-east-1b, upload, 1024, 0m30.594s
c4.xlarge, us-east-1b, download, 1, 0m1.447s
c4.xlarge, us-east-1b, download, 1, 0m1.342s
c4.xlarge, us-east-1b, download, 1, 0m1.300s
c4.xlarge, us-east-1b, download, 1, 0m1.282s
c4.xlarge, us-east-1b, download, 1, 0m1.285s
c4.xlarge, us-east-1b, download, 1, 0m1.279s
c4.xlarge, us-east-1b, download, 4, 0m1.397s
c4.xlarge, us-east-1b, download, 4, 0m1.360s
c4.xlarge, us-east-1b, download, 4, 0m1.377s
c4.xlarge, us-east-1b, download, 4, 0m1.301s
c4.xlarge, us-east-1b, download, 4, 0m1.383s
c4.xlarge, us-east-1b, download, 4, 0m1.299s
c4.xlarge, us-east-1b, download, 16, 0m1.571s
c4.xlarge, us-east-1b, download, 16, 0m1.524s
c4.xlarge, us-east-1b, download, 16, 0m1.408s
c4.xlarge, us-east-1b, download, 16, 0m1.461s
c4.xlarge, us-east-1b, download, 16, 0m1.470s
c4.xlarge, us-east-1b, download, 16, 0m1.722s
c4.xlarge, us-east-1b, download, 64, 0m1.999s
c4.xlarge, us-east-1b, download, 64, 0m2.374s
c4.xlarge, us-east-1b, download, 64, 0m2.002s
c4.xlarge, us-east-1b, download, 64, 0m1.981s
c4.xlarge, us-east-1b, download, 64, 0m2.086s
c4.xlarge, us-east-1b, download, 64, 0m2.053s
c4.xlarge, us-east-1b, download, 256, 0m4.180s
c4.xlarge, us-east-1b, download, 256, 0m3.968s
c4.xlarge, us-east-1b, download, 256, 0m3.872s
c4.xlarge, us-east-1b, download, 256, 0m3.813s
c4.xlarge, us-east-1b, download, 256, 0m3.860s
c4.xlarge, us-east-1b, download, 256, 0m3.885s
c4.xlarge, us-east-1b, download, 1024, 0m11.779s
c4.xlarge, us-east-1b, download, 1024, 0m11.361s
c4.xlarge, us-east-1b, download, 1024, 0m11.378s
c4.xlarge, us-east-1b, download, 1024, 0m11.363s
c4.xlarge, us-east-1b, download, 1024, 0m11.288s
c4.xlarge, us-east-1b, download, 1024, 0m11.404s
