m4.large, us-west-2c, upload, 1, 0m2.451s
m4.large, us-west-2c, upload, 1, 0m2.672s
m4.large, us-west-2c, upload, 1, 0m2.330s
m4.large, us-west-2c, upload, 1, 0m2.380s
m4.large, us-west-2c, upload, 1, 0m2.421s
m4.large, us-west-2c, upload, 1, 0m2.683s
m4.large, us-west-2c, upload, 4, 0m3.292s
m4.large, us-west-2c, upload, 4, 0m2.820s
m4.large, us-west-2c, upload, 4, 0m2.583s
m4.large, us-west-2c, upload, 4, 0m2.795s
m4.large, us-west-2c, upload, 4, 0m3.083s
m4.large, us-west-2c, upload, 4, 0m3.290s
m4.large, us-west-2c, upload, 16, 0m3.694s
m4.large, us-west-2c, upload, 16, 0m4.541s
m4.large, us-west-2c, upload, 16, 0m4.424s
m4.large, us-west-2c, upload, 16, 0m3.786s
m4.large, us-west-2c, upload, 16, 0m4.291s
m4.large, us-west-2c, upload, 16, 0m3.516s
m4.large, us-west-2c, upload, 64, 0m5.936s
m4.large, us-west-2c, upload, 64, 0m4.826s
m4.large, us-west-2c, upload, 64, 0m5.988s
m4.large, us-west-2c, upload, 64, 0m5.925s
m4.large, us-west-2c, upload, 64, 0m6.285s
m4.large, us-west-2c, upload, 64, 0m5.105s
m4.large, us-west-2c, upload, 256, 0m11.794s
m4.large, us-west-2c, upload, 256, 0m11.602s
m4.large, us-west-2c, upload, 256, 0m11.971s
m4.large, us-west-2c, upload, 256, 0m12.697s
m4.large, us-west-2c, upload, 256, 0m11.523s
m4.large, us-west-2c, upload, 256, 0m11.566s
m4.large, us-west-2c, upload, 1024, 0m48.889s
m4.large, us-west-2c, upload, 1024, 0m32.410s
m4.large, us-west-2c, upload, 1024, 0m34.971s
m4.large, us-west-2c, upload, 1024, 0m58.315s
m4.large, us-west-2c, upload, 1024, 0m33.811s
m4.large, us-west-2c, upload, 1024, 0m32.343s
m4.large, us-west-2c, download, 1, 0m2.522s
m4.large, us-west-2c, download, 1, 0m2.251s
m4.large, us-west-2c, download, 1, 0m2.652s
m4.large, us-west-2c, download, 1, 0m2.273s
m4.large, us-west-2c, download, 1, 0m2.031s
m4.large, us-west-2c, download, 1, 0m2.244s
m4.large, us-west-2c, download, 4, 0m3.542s
m4.large, us-west-2c, download, 4, 0m3.253s
m4.large, us-west-2c, download, 4, 0m3.004s
m4.large, us-west-2c, download, 4, 0m2.622s
m4.large, us-west-2c, download, 4, 0m2.606s
m4.large, us-west-2c, download, 4, 0m3.304s
m4.large, us-west-2c, download, 16, 0m5.102s
m4.large, us-west-2c, download, 16, 0m4.360s
m4.large, us-west-2c, download, 16, 0m4.987s
m4.large, us-west-2c, download, 16, 0m4.536s
m4.large, us-west-2c, download, 16, 0m4.750s
m4.large, us-west-2c, download, 16, 0m4.587s
m4.large, us-west-2c, download, 64, 0m4.623s
m4.large, us-west-2c, download, 64, 0m4.522s
m4.large, us-west-2c, download, 64, 0m5.039s
m4.large, us-west-2c, download, 64, 0m5.309s
m4.large, us-west-2c, download, 64, 0m4.806s
m4.large, us-west-2c, download, 64, 0m4.528s
m4.large, us-west-2c, download, 256, 0m10.450s
m4.large, us-west-2c, download, 256, 0m10.668s
m4.large, us-west-2c, download, 256, 0m9.845s
m4.large, us-west-2c, download, 256, 0m10.025s
m4.large, us-west-2c, download, 256, 0m10.171s
m4.large, us-west-2c, download, 256, 0m9.655s
m4.large, us-west-2c, download, 1024, 0m31.770s
m4.large, us-west-2c, download, 1024, 0m31.227s
m4.large, us-west-2c, download, 1024, 0m30.151s
m4.large, us-west-2c, download, 1024, 0m31.401s
m4.large, us-west-2c, download, 1024, 0m30.622s
m4.large, us-west-2c, download, 1024, 0m31.131s
