c4.xlarge, us-west-2c, upload, 1, 0m2.783s
c4.xlarge, us-west-2c, upload, 1, 0m2.288s
c4.xlarge, us-west-2c, upload, 1, 0m2.388s
c4.xlarge, us-west-2c, upload, 1, 0m2.638s
c4.xlarge, us-west-2c, upload, 1, 0m2.750s
c4.xlarge, us-west-2c, upload, 1, 0m2.586s
c4.xlarge, us-west-2c, upload, 4, 0m2.873s
c4.xlarge, us-west-2c, upload, 4, 0m2.904s
c4.xlarge, us-west-2c, upload, 4, 0m2.684s
c4.xlarge, us-west-2c, upload, 4, 0m2.918s
c4.xlarge, us-west-2c, upload, 4, 0m3.211s
c4.xlarge, us-west-2c, upload, 4, 0m3.281s
c4.xlarge, us-west-2c, upload, 16, 0m4.536s
c4.xlarge, us-west-2c, upload, 16, 0m4.944s
c4.xlarge, us-west-2c, upload, 16, 0m3.404s
c4.xlarge, us-west-2c, upload, 16, 0m3.827s
c4.xlarge, us-west-2c, upload, 16, 0m3.533s
c4.xlarge, us-west-2c, upload, 16, 0m3.961s
c4.xlarge, us-west-2c, upload, 64, 0m4.481s
c4.xlarge, us-west-2c, upload, 64, 0m6.341s
c4.xlarge, us-west-2c, upload, 64, 0m4.541s
c4.xlarge, us-west-2c, upload, 64, 0m7.002s
c4.xlarge, us-west-2c, upload, 64, 0m6.027s
c4.xlarge, us-west-2c, upload, 64, 0m5.197s
c4.xlarge, us-west-2c, upload, 256, 0m8.550s
c4.xlarge, us-west-2c, upload, 256, 0m8.166s
c4.xlarge, us-west-2c, upload, 256, 0m9.085s
c4.xlarge, us-west-2c, upload, 256, 0m10.158s
c4.xlarge, us-west-2c, upload, 256, 0m31.709s
c4.xlarge, us-west-2c, upload, 256, 0m8.141s
c4.xlarge, us-west-2c, upload, 1024, 0m29.460s
c4.xlarge, us-west-2c, upload, 1024, 0m23.416s
c4.xlarge, us-west-2c, upload, 1024, 0m29.976s
c4.xlarge, us-west-2c, upload, 1024, 0m28.196s
c4.xlarge, us-west-2c, upload, 1024, 0m31.292s
c4.xlarge, us-west-2c, upload, 1024, 0m24.320s
c4.xlarge, us-west-2c, download, 1, 0m2.648s
c4.xlarge, us-west-2c, download, 1, 0m2.604s
c4.xlarge, us-west-2c, download, 1, 0m2.567s
c4.xlarge, us-west-2c, download, 1, 0m2.295s
c4.xlarge, us-west-2c, download, 1, 0m2.990s
c4.xlarge, us-west-2c, download, 1, 0m2.354s
c4.xlarge, us-west-2c, download, 4, 0m3.020s
c4.xlarge, us-west-2c, download, 4, 0m2.914s
c4.xlarge, us-west-2c, download, 4, 0m3.392s
c4.xlarge, us-west-2c, download, 4, 0m2.857s
c4.xlarge, us-west-2c, download, 4, 0m3.303s
c4.xlarge, us-west-2c, download, 4, 0m2.966s
c4.xlarge, us-west-2c, download, 16, 0m4.717s
c4.xlarge, us-west-2c, download, 16, 0m3.942s
c4.xlarge, us-west-2c, download, 16, 0m4.589s
c4.xlarge, us-west-2c, download, 16, 0m4.532s
c4.xlarge, us-west-2c, download, 16, 0m4.273s
c4.xlarge, us-west-2c, download, 16, 0m4.822s
c4.xlarge, us-west-2c, download, 64, 0m5.525s
c4.xlarge, us-west-2c, download, 64, 0m4.541s
c4.xlarge, us-west-2c, download, 64, 0m4.791s
c4.xlarge, us-west-2c, download, 64, 0m4.495s
c4.xlarge, us-west-2c, download, 64, 0m5.361s
c4.xlarge, us-west-2c, download, 64, 0m4.940s
c4.xlarge, us-west-2c, download, 256, 0m10.826s
c4.xlarge, us-west-2c, download, 256, 0m10.158s
c4.xlarge, us-west-2c, download, 256, 0m10.068s
c4.xlarge, us-west-2c, download, 256, 0m9.980s
c4.xlarge, us-west-2c, download, 256, 0m10.038s
c4.xlarge, us-west-2c, download, 256, 0m9.976s
c4.xlarge, us-west-2c, download, 1024, 0m28.538s
c4.xlarge, us-west-2c, download, 1024, 0m28.860s
c4.xlarge, us-west-2c, download, 1024, 0m27.587s
c4.xlarge, us-west-2c, download, 1024, 0m26.846s
c4.xlarge, us-west-2c, download, 1024, 0m28.961s
c4.xlarge, us-west-2c, download, 1024, 0m27.678s
