m4.10xlarge, eu-central-1a, upload, 1, 0m2.825s
m4.10xlarge, eu-central-1a, upload, 1, 0m2.647s
m4.10xlarge, eu-central-1a, upload, 1, 0m2.610s
m4.10xlarge, eu-central-1a, upload, 1, 0m2.590s
m4.10xlarge, eu-central-1a, upload, 1, 0m2.651s
m4.10xlarge, eu-central-1a, upload, 1, 0m2.556s
m4.10xlarge, eu-central-1a, upload, 4, 0m3.086s
m4.10xlarge, eu-central-1a, upload, 4, 0m3.308s
m4.10xlarge, eu-central-1a, upload, 4, 0m3.309s
m4.10xlarge, eu-central-1a, upload, 4, 0m2.929s
m4.10xlarge, eu-central-1a, upload, 4, 0m3.185s
m4.10xlarge, eu-central-1a, upload, 4, 0m3.319s
m4.10xlarge, eu-central-1a, upload, 16, 0m3.755s
m4.10xlarge, eu-central-1a, upload, 16, 0m5.109s
m4.10xlarge, eu-central-1a, upload, 16, 0m3.920s
m4.10xlarge, eu-central-1a, upload, 16, 0m3.795s
m4.10xlarge, eu-central-1a, upload, 16, 0m4.333s
m4.10xlarge, eu-central-1a, upload, 16, 0m4.395s
m4.10xlarge, eu-central-1a, upload, 64, 0m3.987s
m4.10xlarge, eu-central-1a, upload, 64, 0m4.042s
m4.10xlarge, eu-central-1a, upload, 64, 0m4.699s
m4.10xlarge, eu-central-1a, upload, 64, 0m7.680s
m4.10xlarge, eu-central-1a, upload, 64, 0m4.735s
m4.10xlarge, eu-central-1a, upload, 64, 0m5.482s
m4.10xlarge, eu-central-1a, upload, 256, 0m5.711s
m4.10xlarge, eu-central-1a, upload, 256, 0m6.208s
m4.10xlarge, eu-central-1a, upload, 256, 0m5.408s
m4.10xlarge, eu-central-1a, upload, 256, 0m6.506s
m4.10xlarge, eu-central-1a, upload, 256, 0m6.936s
m4.10xlarge, eu-central-1a, upload, 256, 0m5.492s
m4.10xlarge, eu-central-1a, upload, 1024, 0m14.117s
m4.10xlarge, eu-central-1a, upload, 1024, 0m34.435s
m4.10xlarge, eu-central-1a, upload, 1024, 0m14.709s
m4.10xlarge, eu-central-1a, upload, 1024, 0m13.109s
m4.10xlarge, eu-central-1a, upload, 1024, 0m15.597s
m4.10xlarge, eu-central-1a, upload, 1024, 0m13.056s
m4.10xlarge, eu-central-1a, download, 1, 0m2.614s
m4.10xlarge, eu-central-1a, download, 1, 0m2.614s
m4.10xlarge, eu-central-1a, download, 1, 0m2.593s
m4.10xlarge, eu-central-1a, download, 1, 0m2.323s
m4.10xlarge, eu-central-1a, download, 1, 0m2.391s
m4.10xlarge, eu-central-1a, download, 1, 0m2.596s
m4.10xlarge, eu-central-1a, download, 4, 0m3.412s
m4.10xlarge, eu-central-1a, download, 4, 0m3.358s
m4.10xlarge, eu-central-1a, download, 4, 0m3.271s
m4.10xlarge, eu-central-1a, download, 4, 0m3.125s
m4.10xlarge, eu-central-1a, download, 4, 0m3.195s
m4.10xlarge, eu-central-1a, download, 4, 0m3.357s
m4.10xlarge, eu-central-1a, download, 16, 0m5.053s
m4.10xlarge, eu-central-1a, download, 16, 0m4.622s
m4.10xlarge, eu-central-1a, download, 16, 0m4.780s
m4.10xlarge, eu-central-1a, download, 16, 0m4.793s
m4.10xlarge, eu-central-1a, download, 16, 0m4.704s
m4.10xlarge, eu-central-1a, download, 16, 0m5.116s
m4.10xlarge, eu-central-1a, download, 64, 0m5.816s
m4.10xlarge, eu-central-1a, download, 64, 0m4.436s
m4.10xlarge, eu-central-1a, download, 64, 0m4.631s
m4.10xlarge, eu-central-1a, download, 64, 0m4.587s
m4.10xlarge, eu-central-1a, download, 64, 0m4.812s
m4.10xlarge, eu-central-1a, download, 64, 0m4.569s
m4.10xlarge, eu-central-1a, download, 256, 0m11.048s
m4.10xlarge, eu-central-1a, download, 256, 0m10.625s
m4.10xlarge, eu-central-1a, download, 256, 0m20.622s
m4.10xlarge, eu-central-1a, download, 256, 0m10.705s
m4.10xlarge, eu-central-1a, download, 256, 0m10.746s
m4.10xlarge, eu-central-1a, download, 256, 0m10.500s
m4.10xlarge, eu-central-1a, download, 1024, 0m29.463s
m4.10xlarge, eu-central-1a, download, 1024, 0m29.320s
m4.10xlarge, eu-central-1a, download, 1024, 0m28.896s
m4.10xlarge, eu-central-1a, download, 1024, 0m29.038s
m4.10xlarge, eu-central-1a, download, 1024, 0m28.994s
m4.10xlarge, eu-central-1a, download, 1024, 0m29.081s
