c4.xlarge, eu-central-1a, upload, 1, 0m2.821s
c4.xlarge, eu-central-1a, upload, 1, 0m2.801s
c4.xlarge, eu-central-1a, upload, 1, 0m2.482s
c4.xlarge, eu-central-1a, upload, 1, 0m2.542s
c4.xlarge, eu-central-1a, upload, 1, 0m2.692s
c4.xlarge, eu-central-1a, upload, 1, 0m2.498s
c4.xlarge, eu-central-1a, upload, 4, 0m2.965s
c4.xlarge, eu-central-1a, upload, 4, 0m3.205s
c4.xlarge, eu-central-1a, upload, 4, 0m3.234s
c4.xlarge, eu-central-1a, upload, 4, 0m2.903s
c4.xlarge, eu-central-1a, upload, 4, 0m3.089s
c4.xlarge, eu-central-1a, upload, 4, 0m2.977s
c4.xlarge, eu-central-1a, upload, 16, 0m4.264s
c4.xlarge, eu-central-1a, upload, 16, 0m4.244s
c4.xlarge, eu-central-1a, upload, 16, 0m4.259s
c4.xlarge, eu-central-1a, upload, 16, 0m3.782s
c4.xlarge, eu-central-1a, upload, 16, 0m4.102s
c4.xlarge, eu-central-1a, upload, 16, 0m4.418s
c4.xlarge, eu-central-1a, upload, 64, 0m6.098s
c4.xlarge, eu-central-1a, upload, 64, 0m4.532s
c4.xlarge, eu-central-1a, upload, 64, 0m5.126s
c4.xlarge, eu-central-1a, upload, 64, 0m5.371s
c4.xlarge, eu-central-1a, upload, 64, 0m4.539s
c4.xlarge, eu-central-1a, upload, 64, 0m5.498s
c4.xlarge, eu-central-1a, upload, 256, 0m9.359s
c4.xlarge, eu-central-1a, upload, 256, 0m30.301s
c4.xlarge, eu-central-1a, upload, 256, 0m11.610s
c4.xlarge, eu-central-1a, upload, 256, 0m9.400s
c4.xlarge, eu-central-1a, upload, 256, 0m8.197s
c4.xlarge, eu-central-1a, upload, 256, 0m7.791s
c4.xlarge, eu-central-1a, upload, 1024, 0m23.847s
c4.xlarge, eu-central-1a, upload, 1024, 0m28.038s
c4.xlarge, eu-central-1a, upload, 1024, 0m24.142s
c4.xlarge, eu-central-1a, upload, 1024, 0m29.380s
c4.xlarge, eu-central-1a, upload, 1024, 0m26.715s
c4.xlarge, eu-central-1a, upload, 1024, 0m26.551s
c4.xlarge, eu-central-1a, download, 1, 0m2.537s
c4.xlarge, eu-central-1a, download, 1, 0m2.517s
c4.xlarge, eu-central-1a, download, 1, 0m2.469s
c4.xlarge, eu-central-1a, download, 1, 0m2.563s
c4.xlarge, eu-central-1a, download, 1, 0m2.553s
c4.xlarge, eu-central-1a, download, 1, 0m3.183s
c4.xlarge, eu-central-1a, download, 4, 0m2.981s
c4.xlarge, eu-central-1a, download, 4, 0m3.270s
c4.xlarge, eu-central-1a, download, 4, 0m3.179s
c4.xlarge, eu-central-1a, download, 4, 0m3.057s
c4.xlarge, eu-central-1a, download, 4, 0m3.273s
c4.xlarge, eu-central-1a, download, 4, 0m3.008s
c4.xlarge, eu-central-1a, download, 16, 0m4.668s
c4.xlarge, eu-central-1a, download, 16, 0m4.766s
c4.xlarge, eu-central-1a, download, 16, 0m4.624s
c4.xlarge, eu-central-1a, download, 16, 0m4.660s
c4.xlarge, eu-central-1a, download, 16, 0m4.656s
c4.xlarge, eu-central-1a, download, 16, 0m4.437s
c4.xlarge, eu-central-1a, download, 64, 0m4.530s
c4.xlarge, eu-central-1a, download, 64, 0m4.556s
c4.xlarge, eu-central-1a, download, 64, 0m4.458s
c4.xlarge, eu-central-1a, download, 64, 0m4.258s
c4.xlarge, eu-central-1a, download, 64, 0m4.220s
c4.xlarge, eu-central-1a, download, 64, 0m4.236s
c4.xlarge, eu-central-1a, download, 256, 0m10.323s
c4.xlarge, eu-central-1a, download, 256, 0m10.269s
c4.xlarge, eu-central-1a, download, 256, 0m10.383s
c4.xlarge, eu-central-1a, download, 256, 0m10.583s
c4.xlarge, eu-central-1a, download, 256, 0m10.318s
c4.xlarge, eu-central-1a, download, 256, 0m10.419s
c4.xlarge, eu-central-1a, download, 1024, 0m29.947s
c4.xlarge, eu-central-1a, download, 1024, 0m28.930s
c4.xlarge, eu-central-1a, download, 1024, 0m30.801s
c4.xlarge, eu-central-1a, download, 1024, 0m30.178s
c4.xlarge, eu-central-1a, download, 1024, 0m31.342s
c4.xlarge, eu-central-1a, download, 1024, 0m29.091s
