m4.large, us-east-1b, upload, 1, 0m1.559s
m4.large, us-east-1b, upload, 1, 0m1.494s
m4.large, us-east-1b, upload, 1, 0m1.517s
m4.large, us-east-1b, upload, 1, 0m1.391s
m4.large, us-east-1b, upload, 1, 0m1.488s
m4.large, us-east-1b, upload, 1, 0m1.565s
m4.large, us-east-1b, upload, 4, 0m1.482s
m4.large, us-east-1b, upload, 4, 0m1.783s
m4.large, us-east-1b, upload, 4, 0m1.482s
m4.large, us-east-1b, upload, 4, 0m1.438s
m4.large, us-east-1b, upload, 4, 0m1.467s
m4.large, us-east-1b, upload, 4, 0m1.393s
m4.large, us-east-1b, upload, 16, 0m1.939s
m4.large, us-east-1b, upload, 16, 0m1.936s
m4.large, us-east-1b, upload, 16, 0m2.067s
m4.large, us-east-1b, upload, 16, 0m2.122s
m4.large, us-east-1b, upload, 16, 0m1.805s
m4.large, us-east-1b, upload, 16, 0m2.371s
m4.large, us-east-1b, upload, 64, 0m2.705s
m4.large, us-east-1b, upload, 64, 0m2.756s
m4.large, us-east-1b, upload, 64, 0m2.844s
m4.large, us-east-1b, upload, 64, 0m2.485s
m4.large, us-east-1b, upload, 64, 0m2.563s
m4.large, us-east-1b, upload, 64, 0m2.577s
m4.large, us-east-1b, upload, 256, 0m5.404s
m4.large, us-east-1b, upload, 256, 0m5.326s
m4.large, us-east-1b, upload, 256, 0m5.480s
m4.large, us-east-1b, upload, 256, 0m5.295s
m4.large, us-east-1b, upload, 256, 0m5.352s
m4.large, us-east-1b, upload, 256, 0m5.605s
m4.large, us-east-1b, upload, 1024, 0m18.935s
m4.large, us-east-1b, upload, 1024, 0m18.954s
m4.large, us-east-1b, upload, 1024, 0m18.999s
m4.large, us-east-1b, upload, 1024, 0m19.136s
m4.large, us-east-1b, upload, 1024, 0m20.544s
m4.large, us-east-1b, upload, 1024, 0m18.930s
m4.large, us-east-1b, download, 1, 0m1.384s
m4.large, us-east-1b, download, 1, 0m1.334s
m4.large, us-east-1b, download, 1, 0m1.328s
m4.large, us-east-1b, download, 1, 0m1.321s
m4.large, us-east-1b, download, 1, 0m1.321s
m4.large, us-east-1b, download, 1, 0m1.335s
m4.large, us-east-1b, download, 4, 0m1.471s
m4.large, us-east-1b, download, 4, 0m1.413s
m4.large, us-east-1b, download, 4, 0m1.420s
m4.large, us-east-1b, download, 4, 0m1.344s
m4.large, us-east-1b, download, 4, 0m1.662s
m4.large, us-east-1b, download, 4, 0m1.356s
m4.large, us-east-1b, download, 16, 0m2.185s
m4.large, us-east-1b, download, 16, 0m1.655s
m4.large, us-east-1b, download, 16, 0m1.889s
m4.large, us-east-1b, download, 16, 0m2.083s
m4.large, us-east-1b, download, 16, 0m1.515s
m4.large, us-east-1b, download, 16, 0m1.614s
m4.large, us-east-1b, download, 64, 0m3.284s
m4.large, us-east-1b, download, 64, 0m3.070s
m4.large, us-east-1b, download, 64, 0m2.299s
m4.large, us-east-1b, download, 64, 0m2.311s
m4.large, us-east-1b, download, 64, 0m2.348s
m4.large, us-east-1b, download, 64, 0m3.334s
m4.large, us-east-1b, download, 256, 0m5.220s
m4.large, us-east-1b, download, 256, 1m22.451s
m4.large, us-east-1b, download, 256, 0m5.192s
m4.large, us-east-1b, download, 256, 0m5.569s
m4.large, us-east-1b, download, 256, 0m5.077s
m4.large, us-east-1b, download, 256, 0m5.171s
m4.large, us-east-1b, download, 1024, 0m18.726s
m4.large, us-east-1b, download, 1024, 0m19.738s
m4.large, us-east-1b, download, 1024, 0m19.369s
m4.large, us-east-1b, download, 1024, 0m19.520s
m4.large, us-east-1b, download, 1024, 0m19.070s
m4.large, us-east-1b, download, 1024, 0m19.148s
