m4.xlarge, ap-northeast-1c, upload, 1, 0m3.581s
m4.xlarge, ap-northeast-1c, upload, 1, 0m3.151s
m4.xlarge, ap-northeast-1c, upload, 1, 0m3.217s
m4.xlarge, ap-northeast-1c, upload, 1, 0m3.162s
m4.xlarge, ap-northeast-1c, upload, 1, 0m3.391s
m4.xlarge, ap-northeast-1c, upload, 1, 0m3.420s
m4.xlarge, ap-northeast-1c, upload, 4, 0m4.093s
m4.xlarge, ap-northeast-1c, upload, 4, 0m3.910s
m4.xlarge, ap-northeast-1c, upload, 4, 0m4.193s
m4.xlarge, ap-northeast-1c, upload, 4, 0m4.385s
m4.xlarge, ap-northeast-1c, upload, 4, 0m4.126s
m4.xlarge, ap-northeast-1c, upload, 4, 0m4.696s
m4.xlarge, ap-northeast-1c, upload, 16, 0m5.392s
m4.xlarge, ap-northeast-1c, upload, 16, 0m5.183s
m4.xlarge, ap-northeast-1c, upload, 16, 0m5.685s
m4.xlarge, ap-northeast-1c, upload, 16, 0m6.059s
m4.xlarge, ap-northeast-1c, upload, 16, 0m5.761s
m4.xlarge, ap-northeast-1c, upload, 16, 0m6.392s
m4.xlarge, ap-northeast-1c, upload, 64, 0m7.710s
m4.xlarge, ap-northeast-1c, upload, 64, 0m8.026s
m4.xlarge, ap-northeast-1c, upload, 64, 0m9.020s
m4.xlarge, ap-northeast-1c, upload, 64, 0m11.635s
m4.xlarge, ap-northeast-1c, upload, 64, 0m7.989s
m4.xlarge, ap-northeast-1c, upload, 64, 0m7.288s
m4.xlarge, ap-northeast-1c, upload, 256, 0m13.255s
m4.xlarge, ap-northeast-1c, upload, 256, 0m16.659s
m4.xlarge, ap-northeast-1c, upload, 256, 0m15.989s
m4.xlarge, ap-northeast-1c, upload, 256, 0m11.547s
m4.xlarge, ap-northeast-1c, upload, 256, 0m15.422s
m4.xlarge, ap-northeast-1c, upload, 256, 0m12.938s
m4.xlarge, ap-northeast-1c, upload, 1024, 0m40.470s
m4.xlarge, ap-northeast-1c, upload, 1024, 0m30.627s
m4.xlarge, ap-northeast-1c, upload, 1024, 0m51.722s
m4.xlarge, ap-northeast-1c, upload, 1024, 0m34.314s
m4.xlarge, ap-northeast-1c, upload, 1024, 0m37.558s
m4.xlarge, ap-northeast-1c, upload, 1024, 0m32.094s
m4.xlarge, ap-northeast-1c, download, 1, 0m3.620s
m4.xlarge, ap-northeast-1c, download, 1, 0m3.269s
m4.xlarge, ap-northeast-1c, download, 1, 0m3.508s
m4.xlarge, ap-northeast-1c, download, 1, 0m3.193s
m4.xlarge, ap-northeast-1c, download, 1, 0m3.328s
m4.xlarge, ap-northeast-1c, download, 1, 0m3.328s
m4.xlarge, ap-northeast-1c, download, 4, 0m4.615s
m4.xlarge, ap-northeast-1c, download, 4, 0m4.951s
m4.xlarge, ap-northeast-1c, download, 4, 0m4.815s
m4.xlarge, ap-northeast-1c, download, 4, 0m4.796s
m4.xlarge, ap-northeast-1c, download, 4, 0m4.752s
m4.xlarge, ap-northeast-1c, download, 4, 0m4.779s
m4.xlarge, ap-northeast-1c, download, 16, 0m10.786s
m4.xlarge, ap-northeast-1c, download, 16, 0m6.877s
m4.xlarge, ap-northeast-1c, download, 16, 0m6.938s
m4.xlarge, ap-northeast-1c, download, 16, 0m7.391s
m4.xlarge, ap-northeast-1c, download, 16, 0m7.037s
m4.xlarge, ap-northeast-1c, download, 16, 0m7.182s
m4.xlarge, ap-northeast-1c, download, 64, 0m7.138s
m4.xlarge, ap-northeast-1c, download, 64, 0m8.766s
m4.xlarge, ap-northeast-1c, download, 64, 0m6.887s
m4.xlarge, ap-northeast-1c, download, 64, 0m8.330s
m4.xlarge, ap-northeast-1c, download, 64, 0m6.923s
m4.xlarge, ap-northeast-1c, download, 64, 0m7.398s
m4.xlarge, ap-northeast-1c, download, 256, 0m16.843s
m4.xlarge, ap-northeast-1c, download, 256, 0m16.674s
m4.xlarge, ap-northeast-1c, download, 256, 0m15.902s
m4.xlarge, ap-northeast-1c, download, 256, 0m16.597s
m4.xlarge, ap-northeast-1c, download, 256, 0m17.387s
m4.xlarge, ap-northeast-1c, download, 256, 0m17.356s
m4.xlarge, ap-northeast-1c, download, 1024, 0m47.294s
m4.xlarge, ap-northeast-1c, download, 1024, 0m49.274s
m4.xlarge, ap-northeast-1c, download, 1024, 0m47.643s
m4.xlarge, ap-northeast-1c, download, 1024, 0m57.106s
m4.xlarge, ap-northeast-1c, download, 1024, 0m49.346s
m4.xlarge, ap-northeast-1c, download, 1024, 0m49.815s
