t2.small, us-east-1a, upload, 1, 0m1.407s
t2.small, us-east-1a, upload, 1, 0m1.512s
t2.small, us-east-1a, upload, 1, 0m1.483s
t2.small, us-east-1a, upload, 1, 0m1.558s
t2.small, us-east-1a, upload, 1, 0m1.581s
t2.small, us-east-1a, upload, 1, 0m1.483s
t2.small, us-east-1a, upload, 4, 0m1.546s
t2.small, us-east-1a, upload, 4, 0m1.629s
t2.small, us-east-1a, upload, 4, 0m1.580s
t2.small, us-east-1a, upload, 4, 0m1.592s
t2.small, us-east-1a, upload, 4, 0m3.564s
t2.small, us-east-1a, upload, 4, 0m1.485s
t2.small, us-east-1a, upload, 16, 0m1.827s
t2.small, us-east-1a, upload, 16, 0m1.922s
t2.small, us-east-1a, upload, 16, 0m3.107s
t2.small, us-east-1a, upload, 16, 0m2.133s
t2.small, us-east-1a, upload, 16, 0m1.981s
t2.small, us-east-1a, upload, 16, 0m1.920s
t2.small, us-east-1a, upload, 64, 0m2.665s
t2.small, us-east-1a, upload, 64, 0m2.772s
t2.small, us-east-1a, upload, 64, 0m3.560s
t2.small, us-east-1a, upload, 64, 0m3.341s
t2.small, us-east-1a, upload, 64, 0m5.112s
t2.small, us-east-1a, upload, 64, 0m2.548s
t2.small, us-east-1a, upload, 256, 0m5.595s
t2.small, us-east-1a, upload, 256, 0m5.376s
t2.small, us-east-1a, upload, 256, 0m7.258s
t2.small, us-east-1a, upload, 256, 0m5.340s
t2.small, us-east-1a, upload, 256, 0m4.883s
t2.small, us-east-1a, upload, 256, 0m26.381s
t2.small, us-east-1a, upload, 1024, 0m15.748s
t2.small, us-east-1a, upload, 1024, 0m15.784s
t2.small, us-east-1a, upload, 1024, 0m15.893s
t2.small, us-east-1a, upload, 1024, 0m18.746s
t2.small, us-east-1a, upload, 1024, 0m18.684s
t2.small, us-east-1a, upload, 1024, 0m18.953s
t2.small, us-east-1a, download, 1, 0m1.535s
t2.small, us-east-1a, download, 1, 0m1.549s
t2.small, us-east-1a, download, 1, 0m6.424s
t2.small, us-east-1a, download, 1, 0m1.385s
t2.small, us-east-1a, download, 1, 0m1.420s
t2.small, us-east-1a, download, 1, 0m1.531s
t2.small, us-east-1a, download, 4, 0m1.540s
t2.small, us-east-1a, download, 4, 0m1.503s
t2.small, us-east-1a, download, 4, 0m1.431s
t2.small, us-east-1a, download, 4, 0m1.548s
t2.small, us-east-1a, download, 4, 0m1.446s
t2.small, us-east-1a, download, 4, 0m1.533s
t2.small, us-east-1a, download, 16, 0m2.642s
t2.small, us-east-1a, download, 16, 0m1.711s
t2.small, us-east-1a, download, 16, 0m1.977s
t2.small, us-east-1a, download, 16, 0m1.713s
t2.small, us-east-1a, download, 16, 0m1.779s
t2.small, us-east-1a, download, 16, 0m1.985s
t2.small, us-east-1a, download, 64, 0m3.304s
t2.small, us-east-1a, download, 64, 0m3.029s
t2.small, us-east-1a, download, 64, 0m2.946s
t2.small, us-east-1a, download, 64, 1m22.676s
t2.small, us-east-1a, download, 64, 0m3.029s
t2.small, us-east-1a, download, 64, 0m2.954s
t2.small, us-east-1a, download, 256, 0m7.991s
t2.small, us-east-1a, download, 256, 0m7.854s
t2.small, us-east-1a, download, 256, 0m7.856s
t2.small, us-east-1a, download, 256, 0m7.789s
t2.small, us-east-1a, download, 256, 0m8.248s
t2.small, us-east-1a, download, 256, 0m8.198s
t2.small, us-east-1a, download, 1024, 0m27.973s
t2.small, us-east-1a, download, 1024, 0m28.433s
t2.small, us-east-1a, download, 1024, 0m27.822s
t2.small, us-east-1a, download, 1024, 0m28.033s
t2.small, us-east-1a, download, 1024, 0m28.149s
t2.small, us-east-1a, download, 1024, 0m27.436s
