c4.8xlarge, us-west-2c, upload, 1, 0m2.499s
c4.8xlarge, us-west-2c, upload, 1, 0m2.615s
c4.8xlarge, us-west-2c, upload, 1, 0m2.192s
c4.8xlarge, us-west-2c, upload, 1, 0m2.341s
c4.8xlarge, us-west-2c, upload, 1, 0m2.165s
c4.8xlarge, us-west-2c, upload, 1, 0m2.502s
c4.8xlarge, us-west-2c, upload, 4, 0m2.992s
c4.8xlarge, us-west-2c, upload, 4, 0m2.959s
c4.8xlarge, us-west-2c, upload, 4, 0m2.989s
c4.8xlarge, us-west-2c, upload, 4, 0m3.121s
c4.8xlarge, us-west-2c, upload, 4, 0m5.226s
c4.8xlarge, us-west-2c, upload, 4, 0m3.038s
c4.8xlarge, us-west-2c, upload, 16, 0m3.842s
c4.8xlarge, us-west-2c, upload, 16, 0m3.734s
c4.8xlarge, us-west-2c, upload, 16, 0m4.429s
c4.8xlarge, us-west-2c, upload, 16, 0m3.687s
c4.8xlarge, us-west-2c, upload, 16, 0m3.956s
c4.8xlarge, us-west-2c, upload, 16, 0m3.802s
c4.8xlarge, us-west-2c, upload, 64, 0m5.686s
c4.8xlarge, us-west-2c, upload, 64, 0m3.990s
c4.8xlarge, us-west-2c, upload, 64, 0m4.532s
c4.8xlarge, us-west-2c, upload, 64, 0m5.353s
c4.8xlarge, us-west-2c, upload, 64, 0m8.476s
c4.8xlarge, us-west-2c, upload, 64, 0m5.772s
c4.8xlarge, us-west-2c, upload, 256, 0m6.937s
c4.8xlarge, us-west-2c, upload, 256, 0m6.129s
c4.8xlarge, us-west-2c, upload, 256, 0m7.572s
c4.8xlarge, us-west-2c, upload, 256, 0m7.447s
c4.8xlarge, us-west-2c, upload, 256, 0m6.490s
c4.8xlarge, us-west-2c, upload, 256, 0m6.528s
c4.8xlarge, us-west-2c, upload, 1024, 0m18.091s
c4.8xlarge, us-west-2c, upload, 1024, 0m13.778s
c4.8xlarge, us-west-2c, upload, 1024, 0m13.717s
c4.8xlarge, us-west-2c, upload, 1024, 0m16.415s
c4.8xlarge, us-west-2c, upload, 1024, 0m12.494s
c4.8xlarge, us-west-2c, upload, 1024, 0m12.777s
c4.8xlarge, us-west-2c, download, 1, 0m2.205s
c4.8xlarge, us-west-2c, download, 1, 0m2.421s
c4.8xlarge, us-west-2c, download, 1, 0m2.537s
c4.8xlarge, us-west-2c, download, 1, 0m2.403s
c4.8xlarge, us-west-2c, download, 1, 0m2.433s
c4.8xlarge, us-west-2c, download, 1, 0m2.487s
c4.8xlarge, us-west-2c, download, 4, 0m3.429s
c4.8xlarge, us-west-2c, download, 4, 0m3.091s
c4.8xlarge, us-west-2c, download, 4, 0m3.328s
c4.8xlarge, us-west-2c, download, 4, 0m2.984s
c4.8xlarge, us-west-2c, download, 4, 0m3.219s
c4.8xlarge, us-west-2c, download, 4, 0m2.983s
c4.8xlarge, us-west-2c, download, 16, 0m4.353s
c4.8xlarge, us-west-2c, download, 16, 0m4.799s
c4.8xlarge, us-west-2c, download, 16, 0m4.910s
c4.8xlarge, us-west-2c, download, 16, 0m4.560s
c4.8xlarge, us-west-2c, download, 16, 0m4.291s
c4.8xlarge, us-west-2c, download, 16, 0m4.444s
c4.8xlarge, us-west-2c, download, 64, 0m4.852s
c4.8xlarge, us-west-2c, download, 64, 0m5.675s
c4.8xlarge, us-west-2c, download, 64, 0m4.578s
c4.8xlarge, us-west-2c, download, 64, 0m5.290s
c4.8xlarge, us-west-2c, download, 64, 0m4.794s
c4.8xlarge, us-west-2c, download, 64, 0m4.526s
c4.8xlarge, us-west-2c, download, 256, 0m10.053s
c4.8xlarge, us-west-2c, download, 256, 0m10.510s
c4.8xlarge, us-west-2c, download, 256, 0m10.241s
c4.8xlarge, us-west-2c, download, 256, 0m10.526s
c4.8xlarge, us-west-2c, download, 256, 0m10.115s
c4.8xlarge, us-west-2c, download, 256, 0m10.812s
c4.8xlarge, us-west-2c, download, 1024, 0m29.734s
c4.8xlarge, us-west-2c, download, 1024, 0m27.981s
c4.8xlarge, us-west-2c, download, 1024, 0m26.620s
c4.8xlarge, us-west-2c, download, 1024, 0m28.013s
c4.8xlarge, us-west-2c, download, 1024, 0m28.103s
c4.8xlarge, us-west-2c, download, 1024, 0m26.663s
