m4.xlarge, us-west-2c, upload, 1, 0m2.737s
m4.xlarge, us-west-2c, upload, 1, 0m2.262s
m4.xlarge, us-west-2c, upload, 1, 0m2.305s
m4.xlarge, us-west-2c, upload, 1, 0m2.529s
m4.xlarge, us-west-2c, upload, 1, 0m2.783s
m4.xlarge, us-west-2c, upload, 1, 0m2.598s
m4.xlarge, us-west-2c, upload, 4, 0m2.959s
m4.xlarge, us-west-2c, upload, 4, 0m3.217s
m4.xlarge, us-west-2c, upload, 4, 0m2.941s
m4.xlarge, us-west-2c, upload, 4, 0m3.005s
m4.xlarge, us-west-2c, upload, 4, 0m3.081s
m4.xlarge, us-west-2c, upload, 4, 0m2.859s
m4.xlarge, us-west-2c, upload, 16, 0m4.109s
m4.xlarge, us-west-2c, upload, 16, 0m3.793s
m4.xlarge, us-west-2c, upload, 16, 0m3.535s
m4.xlarge, us-west-2c, upload, 16, 0m3.676s
m4.xlarge, us-west-2c, upload, 16, 0m3.651s
m4.xlarge, us-west-2c, upload, 16, 0m5.312s
m4.xlarge, us-west-2c, upload, 64, 0m4.706s
m4.xlarge, us-west-2c, upload, 64, 0m5.502s
m4.xlarge, us-west-2c, upload, 64, 0m4.809s
m4.xlarge, us-west-2c, upload, 64, 0m4.574s
m4.xlarge, us-west-2c, upload, 64, 0m5.696s
m4.xlarge, us-west-2c, upload, 64, 0m6.166s
m4.xlarge, us-west-2c, upload, 256, 0m12.930s
m4.xlarge, us-west-2c, upload, 256, 0m8.142s
m4.xlarge, us-west-2c, upload, 256, 0m7.486s
m4.xlarge, us-west-2c, upload, 256, 0m7.945s
m4.xlarge, us-west-2c, upload, 256, 0m9.542s
m4.xlarge, us-west-2c, upload, 256, 0m7.253s
m4.xlarge, us-west-2c, upload, 1024, 0m25.358s
m4.xlarge, us-west-2c, upload, 1024, 0m32.444s
m4.xlarge, us-west-2c, upload, 1024, 0m25.876s
m4.xlarge, us-west-2c, upload, 1024, 0m26.781s
m4.xlarge, us-west-2c, upload, 1024, 0m28.761s
m4.xlarge, us-west-2c, upload, 1024, 0m24.133s
m4.xlarge, us-west-2c, download, 1, 0m2.397s
m4.xlarge, us-west-2c, download, 1, 0m2.303s
m4.xlarge, us-west-2c, download, 1, 0m2.361s
m4.xlarge, us-west-2c, download, 1, 0m2.505s
m4.xlarge, us-west-2c, download, 1, 0m2.445s
m4.xlarge, us-west-2c, download, 1, 0m2.225s
m4.xlarge, us-west-2c, download, 4, 0m2.730s
m4.xlarge, us-west-2c, download, 4, 0m2.884s
m4.xlarge, us-west-2c, download, 4, 0m2.951s
m4.xlarge, us-west-2c, download, 4, 0m3.171s
m4.xlarge, us-west-2c, download, 4, 0m3.127s
m4.xlarge, us-west-2c, download, 4, 0m3.066s
m4.xlarge, us-west-2c, download, 16, 0m4.483s
m4.xlarge, us-west-2c, download, 16, 0m4.747s
m4.xlarge, us-west-2c, download, 16, 0m4.940s
m4.xlarge, us-west-2c, download, 16, 0m4.620s
m4.xlarge, us-west-2c, download, 16, 0m4.674s
m4.xlarge, us-west-2c, download, 16, 0m4.718s
m4.xlarge, us-west-2c, download, 64, 0m4.791s
m4.xlarge, us-west-2c, download, 64, 0m5.002s
m4.xlarge, us-west-2c, download, 64, 0m5.085s
m4.xlarge, us-west-2c, download, 64, 0m4.657s
m4.xlarge, us-west-2c, download, 64, 0m4.248s
m4.xlarge, us-west-2c, download, 64, 0m5.598s
m4.xlarge, us-west-2c, download, 256, 0m9.941s
m4.xlarge, us-west-2c, download, 256, 0m10.703s
m4.xlarge, us-west-2c, download, 256, 0m10.207s
m4.xlarge, us-west-2c, download, 256, 0m9.997s
m4.xlarge, us-west-2c, download, 256, 0m9.544s
m4.xlarge, us-west-2c, download, 256, 0m9.734s
m4.xlarge, us-west-2c, download, 1024, 0m28.869s
m4.xlarge, us-west-2c, download, 1024, 0m28.003s
m4.xlarge, us-west-2c, download, 1024, 0m28.489s
m4.xlarge, us-west-2c, download, 1024, 0m28.449s
m4.xlarge, us-west-2c, download, 1024, 0m27.372s
m4.xlarge, us-west-2c, download, 1024, 0m29.358s
