m4.large, eu-central-1a, upload, 1, 0m2.723s
m4.large, eu-central-1a, upload, 1, 0m2.459s
m4.large, eu-central-1a, upload, 1, 0m2.444s
m4.large, eu-central-1a, upload, 1, 0m2.402s
m4.large, eu-central-1a, upload, 1, 0m2.804s
m4.large, eu-central-1a, upload, 1, 0m2.401s
m4.large, eu-central-1a, upload, 4, 0m3.030s
m4.large, eu-central-1a, upload, 4, 0m3.048s
m4.large, eu-central-1a, upload, 4, 0m3.421s
m4.large, eu-central-1a, upload, 4, 0m2.916s
m4.large, eu-central-1a, upload, 4, 0m3.810s
m4.large, eu-central-1a, upload, 4, 0m2.781s
m4.large, eu-central-1a, upload, 16, 0m4.687s
m4.large, eu-central-1a, upload, 16, 0m3.871s
m4.large, eu-central-1a, upload, 16, 0m4.406s
m4.large, eu-central-1a, upload, 16, 0m4.579s
m4.large, eu-central-1a, upload, 16, 0m4.557s
m4.large, eu-central-1a, upload, 16, 0m4.478s
m4.large, eu-central-1a, upload, 64, 0m5.947s
m4.large, eu-central-1a, upload, 64, 0m7.822s
m4.large, eu-central-1a, upload, 64, 0m7.504s
m4.large, eu-central-1a, upload, 64, 0m6.416s
m4.large, eu-central-1a, upload, 64, 0m6.485s
m4.large, eu-central-1a, upload, 64, 0m5.821s
m4.large, eu-central-1a, upload, 256, 0m13.276s
m4.large, eu-central-1a, upload, 256, 0m13.085s
m4.large, eu-central-1a, upload, 256, 0m13.407s
m4.large, eu-central-1a, upload, 256, 0m10.295s
m4.large, eu-central-1a, upload, 256, 0m11.507s
m4.large, eu-central-1a, upload, 256, 0m12.147s
m4.large, eu-central-1a, upload, 1024, 0m31.605s
m4.large, eu-central-1a, upload, 1024, 0m34.561s
m4.large, eu-central-1a, upload, 1024, 0m33.816s
m4.large, eu-central-1a, upload, 1024, 0m33.552s
m4.large, eu-central-1a, upload, 1024, 0m35.441s
m4.large, eu-central-1a, upload, 1024, 0m32.192s
m4.large, eu-central-1a, download, 1, 0m2.555s
m4.large, eu-central-1a, download, 1, 0m2.512s
m4.large, eu-central-1a, download, 1, 0m2.256s
m4.large, eu-central-1a, download, 1, 0m2.244s
m4.large, eu-central-1a, download, 1, 0m2.254s
m4.large, eu-central-1a, download, 1, 0m2.338s
m4.large, eu-central-1a, download, 4, 0m3.101s
m4.large, eu-central-1a, download, 4, 0m4.431s
m4.large, eu-central-1a, download, 4, 0m3.211s
m4.large, eu-central-1a, download, 4, 0m3.215s
m4.large, eu-central-1a, download, 4, 0m3.297s
m4.large, eu-central-1a, download, 4, 0m3.303s
m4.large, eu-central-1a, download, 16, 0m4.804s
m4.large, eu-central-1a, download, 16, 0m4.901s
m4.large, eu-central-1a, download, 16, 0m4.705s
m4.large, eu-central-1a, download, 16, 0m4.517s
m4.large, eu-central-1a, download, 16, 0m4.821s
m4.large, eu-central-1a, download, 16, 0m4.503s
m4.large, eu-central-1a, download, 64, 0m4.625s
m4.large, eu-central-1a, download, 64, 0m5.618s
m4.large, eu-central-1a, download, 64, 0m4.862s
m4.large, eu-central-1a, download, 64, 0m5.182s
m4.large, eu-central-1a, download, 64, 0m4.652s
m4.large, eu-central-1a, download, 64, 0m5.358s
m4.large, eu-central-1a, download, 256, 0m13.233s
m4.large, eu-central-1a, download, 256, 0m10.529s
m4.large, eu-central-1a, download, 256, 0m11.829s
m4.large, eu-central-1a, download, 256, 0m11.157s
m4.large, eu-central-1a, download, 256, 0m11.464s
m4.large, eu-central-1a, download, 256, 0m12.557s
m4.large, eu-central-1a, download, 1024, 0m31.210s
m4.large, eu-central-1a, download, 1024, 0m31.601s
m4.large, eu-central-1a, download, 1024, 0m30.576s
m4.large, eu-central-1a, download, 1024, 0m29.032s
m4.large, eu-central-1a, download, 1024, 0m30.650s
m4.large, eu-central-1a, download, 1024, 0m30.669s
