m4.xlarge, us-east-1b, upload, 1, 0m1.952s
m4.xlarge, us-east-1b, upload, 1, 0m1.461s
m4.xlarge, us-east-1b, upload, 1, 0m1.433s
m4.xlarge, us-east-1b, upload, 1, 0m1.358s
m4.xlarge, us-east-1b, upload, 1, 0m1.446s
m4.xlarge, us-east-1b, upload, 1, 0m1.345s
m4.xlarge, us-east-1b, upload, 4, 0m1.635s
m4.xlarge, us-east-1b, upload, 4, 0m1.476s
m4.xlarge, us-east-1b, upload, 4, 0m1.429s
m4.xlarge, us-east-1b, upload, 4, 0m1.476s
m4.xlarge, us-east-1b, upload, 4, 0m1.561s
m4.xlarge, us-east-1b, upload, 4, 0m1.543s
m4.xlarge, us-east-1b, upload, 16, 0m1.890s
m4.xlarge, us-east-1b, upload, 16, 0m1.879s
m4.xlarge, us-east-1b, upload, 16, 0m1.776s
m4.xlarge, us-east-1b, upload, 16, 0m1.923s
m4.xlarge, us-east-1b, upload, 16, 0m1.860s
m4.xlarge, us-east-1b, upload, 16, 0m1.758s
m4.xlarge, us-east-1b, upload, 64, 0m2.386s
m4.xlarge, us-east-1b, upload, 64, 0m2.243s
m4.xlarge, us-east-1b, upload, 64, 0m2.161s
m4.xlarge, us-east-1b, upload, 64, 0m2.139s
m4.xlarge, us-east-1b, upload, 64, 0m2.742s
m4.xlarge, us-east-1b, upload, 64, 0m2.203s
m4.xlarge, us-east-1b, upload, 256, 0m4.738s
m4.xlarge, us-east-1b, upload, 256, 0m4.174s
m4.xlarge, us-east-1b, upload, 256, 0m4.201s
m4.xlarge, us-east-1b, upload, 256, 0m4.204s
m4.xlarge, us-east-1b, upload, 256, 0m27.502s
m4.xlarge, us-east-1b, upload, 256, 0m4.176s
m4.xlarge, us-east-1b, upload, 1024, 0m30.028s
m4.xlarge, us-east-1b, upload, 1024, 0m12.120s
m4.xlarge, us-east-1b, upload, 1024, 0m12.827s
m4.xlarge, us-east-1b, upload, 1024, 0m11.511s
m4.xlarge, us-east-1b, upload, 1024, 0m13.987s
m4.xlarge, us-east-1b, upload, 1024, 0m13.252s
m4.xlarge, us-east-1b, download, 1, 0m1.561s
m4.xlarge, us-east-1b, download, 1, 0m1.324s
m4.xlarge, us-east-1b, download, 1, 0m1.303s
m4.xlarge, us-east-1b, download, 1, 0m1.290s
m4.xlarge, us-east-1b, download, 1, 0m1.414s
m4.xlarge, us-east-1b, download, 1, 0m1.314s
m4.xlarge, us-east-1b, download, 4, 0m1.409s
m4.xlarge, us-east-1b, download, 4, 0m1.333s
m4.xlarge, us-east-1b, download, 4, 0m1.383s
m4.xlarge, us-east-1b, download, 4, 0m1.380s
m4.xlarge, us-east-1b, download, 4, 0m1.378s
m4.xlarge, us-east-1b, download, 4, 0m1.338s
m4.xlarge, us-east-1b, download, 16, 0m1.736s
m4.xlarge, us-east-1b, download, 16, 0m1.720s
m4.xlarge, us-east-1b, download, 16, 0m1.693s
m4.xlarge, us-east-1b, download, 16, 0m1.913s
m4.xlarge, us-east-1b, download, 16, 0m1.615s
m4.xlarge, us-east-1b, download, 16, 0m1.598s
m4.xlarge, us-east-1b, download, 64, 0m2.691s
m4.xlarge, us-east-1b, download, 64, 0m1.982s
m4.xlarge, us-east-1b, download, 64, 0m1.985s
m4.xlarge, us-east-1b, download, 64, 0m5.002s
m4.xlarge, us-east-1b, download, 64, 0m1.983s
m4.xlarge, us-east-1b, download, 64, 0m1.975s
m4.xlarge, us-east-1b, download, 256, 0m3.950s
m4.xlarge, us-east-1b, download, 256, 0m3.856s
m4.xlarge, us-east-1b, download, 256, 0m4.005s
m4.xlarge, us-east-1b, download, 256, 0m3.884s
m4.xlarge, us-east-1b, download, 256, 0m3.912s
m4.xlarge, us-east-1b, download, 256, 0m3.893s
m4.xlarge, us-east-1b, download, 1024, 0m13.874s
m4.xlarge, us-east-1b, download, 1024, 0m12.296s
m4.xlarge, us-east-1b, download, 1024, 0m11.447s
m4.xlarge, us-east-1b, download, 1024, 0m11.466s
m4.xlarge, us-east-1b, download, 1024, 0m11.410s
m4.xlarge, us-east-1b, download, 1024, 0m11.562s
