c4.8xlarge, us-east-1b, upload, 1, 0m1.439s
c4.8xlarge, us-east-1b, upload, 1, 0m1.427s
c4.8xlarge, us-east-1b, upload, 1, 0m1.396s
c4.8xlarge, us-east-1b, upload, 1, 0m1.292s
c4.8xlarge, us-east-1b, upload, 1, 0m1.332s
c4.8xlarge, us-east-1b, upload, 1, 0m1.302s
c4.8xlarge, us-east-1b, upload, 4, 0m1.487s
c4.8xlarge, us-east-1b, upload, 4, 0m1.532s
c4.8xlarge, us-east-1b, upload, 4, 0m1.708s
c4.8xlarge, us-east-1b, upload, 4, 0m1.536s
c4.8xlarge, us-east-1b, upload, 4, 0m1.597s
c4.8xlarge, us-east-1b, upload, 4, 0m1.528s
c4.8xlarge, us-east-1b, upload, 16, 0m1.897s
c4.8xlarge, us-east-1b, upload, 16, 0m1.792s
c4.8xlarge, us-east-1b, upload, 16, 0m1.668s
c4.8xlarge, us-east-1b, upload, 16, 0m1.985s
c4.8xlarge, us-east-1b, upload, 16, 0m1.809s
c4.8xlarge, us-east-1b, upload, 16, 0m1.895s
c4.8xlarge, us-east-1b, upload, 64, 0m2.476s
c4.8xlarge, us-east-1b, upload, 64, 0m7.728s
c4.8xlarge, us-east-1b, upload, 64, 0m3.162s
c4.8xlarge, us-east-1b, upload, 64, 0m1.961s
c4.8xlarge, us-east-1b, upload, 64, 0m2.697s
c4.8xlarge, us-east-1b, upload, 64, 0m2.507s
c4.8xlarge, us-east-1b, upload, 256, 0m3.159s
c4.8xlarge, us-east-1b, upload, 256, 0m4.952s
c4.8xlarge, us-east-1b, upload, 256, 0m3.296s
c4.8xlarge, us-east-1b, upload, 256, 0m9.247s
c4.8xlarge, us-east-1b, upload, 256, 0m4.230s
c4.8xlarge, us-east-1b, upload, 256, 0m3.710s
c4.8xlarge, us-east-1b, upload, 1024, 0m9.519s
c4.8xlarge, us-east-1b, upload, 1024, 0m7.941s
c4.8xlarge, us-east-1b, upload, 1024, 0m11.496s
c4.8xlarge, us-east-1b, upload, 1024, 0m9.991s
c4.8xlarge, us-east-1b, upload, 1024, 0m9.045s
c4.8xlarge, us-east-1b, upload, 1024, 0m26.653s
c4.8xlarge, us-east-1b, download, 1, 0m1.324s
c4.8xlarge, us-east-1b, download, 1, 0m1.339s
c4.8xlarge, us-east-1b, download, 1, 0m1.351s
c4.8xlarge, us-east-1b, download, 1, 0m1.315s
c4.8xlarge, us-east-1b, download, 1, 0m1.327s
c4.8xlarge, us-east-1b, download, 1, 0m1.394s
c4.8xlarge, us-east-1b, download, 4, 0m1.467s
c4.8xlarge, us-east-1b, download, 4, 0m1.360s
c4.8xlarge, us-east-1b, download, 4, 0m1.326s
c4.8xlarge, us-east-1b, download, 4, 0m1.374s
c4.8xlarge, us-east-1b, download, 4, 0m1.370s
c4.8xlarge, us-east-1b, download, 4, 0m1.414s
c4.8xlarge, us-east-1b, download, 16, 0m1.730s
c4.8xlarge, us-east-1b, download, 16, 0m1.645s
c4.8xlarge, us-east-1b, download, 16, 0m1.454s
c4.8xlarge, us-east-1b, download, 16, 0m1.421s
c4.8xlarge, us-east-1b, download, 16, 0m1.414s
c4.8xlarge, us-east-1b, download, 16, 0m1.973s
c4.8xlarge, us-east-1b, download, 64, 0m1.760s
c4.8xlarge, us-east-1b, download, 64, 0m1.767s
c4.8xlarge, us-east-1b, download, 64, 0m1.673s
c4.8xlarge, us-east-1b, download, 64, 0m1.780s
c4.8xlarge, us-east-1b, download, 64, 0m1.796s
c4.8xlarge, us-east-1b, download, 64, 0m1.601s
c4.8xlarge, us-east-1b, download, 256, 0m2.664s
c4.8xlarge, us-east-1b, download, 256, 0m2.517s
c4.8xlarge, us-east-1b, download, 256, 0m2.449s
c4.8xlarge, us-east-1b, download, 256, 0m2.485s
c4.8xlarge, us-east-1b, download, 256, 0m2.556s
c4.8xlarge, us-east-1b, download, 256, 0m2.570s
c4.8xlarge, us-east-1b, download, 1024, 0m6.334s
c4.8xlarge, us-east-1b, download, 1024, 0m5.860s
c4.8xlarge, us-east-1b, download, 1024, 0m6.180s
c4.8xlarge, us-east-1b, download, 1024, 0m6.094s
c4.8xlarge, us-east-1b, download, 1024, 0m6.051s
c4.8xlarge, us-east-1b, download, 1024, 0m5.899s
