m4.10xlarge, us-west-2c, upload, 1, 0m2.561s
m4.10xlarge, us-west-2c, upload, 1, 0m2.617s
m4.10xlarge, us-west-2c, upload, 1, 0m2.679s
m4.10xlarge, us-west-2c, upload, 1, 0m2.246s
m4.10xlarge, us-west-2c, upload, 1, 0m2.420s
m4.10xlarge, us-west-2c, upload, 1, 0m2.325s
m4.10xlarge, us-west-2c, upload, 4, 0m2.894s
m4.10xlarge, us-west-2c, upload, 4, 0m2.950s
m4.10xlarge, us-west-2c, upload, 4, 0m3.099s
m4.10xlarge, us-west-2c, upload, 4, 0m3.392s
m4.10xlarge, us-west-2c, upload, 4, 0m3.170s
m4.10xlarge, us-west-2c, upload, 4, 0m2.910s
m4.10xlarge, us-west-2c, upload, 16, 0m5.267s
m4.10xlarge, us-west-2c, upload, 16, 0m3.984s
m4.10xlarge, us-west-2c, upload, 16, 0m3.886s
m4.10xlarge, us-west-2c, upload, 16, 0m4.022s
m4.10xlarge, us-west-2c, upload, 16, 0m3.506s
m4.10xlarge, us-west-2c, upload, 16, 0m3.263s
m4.10xlarge, us-west-2c, upload, 64, 0m5.228s
m4.10xlarge, us-west-2c, upload, 64, 0m4.700s
m4.10xlarge, us-west-2c, upload, 64, 0m5.648s
m4.10xlarge, us-west-2c, upload, 64, 0m4.922s
m4.10xlarge, us-west-2c, upload, 64, 0m4.013s
m4.10xlarge, us-west-2c, upload, 64, 0m4.181s
m4.10xlarge, us-west-2c, upload, 256, 0m5.770s
m4.10xlarge, us-west-2c, upload, 256, 0m5.664s
m4.10xlarge, us-west-2c, upload, 256, 0m7.770s
m4.10xlarge, us-west-2c, upload, 256, 0m5.550s
m4.10xlarge, us-west-2c, upload, 256, 0m5.344s
m4.10xlarge, us-west-2c, upload, 256, 0m7.144s
m4.10xlarge, us-west-2c, upload, 1024, 0m12.025s
m4.10xlarge, us-west-2c, upload, 1024, 0m17.257s
m4.10xlarge, us-west-2c, upload, 1024, 0m16.929s
m4.10xlarge, us-west-2c, upload, 1024, 0m17.967s
m4.10xlarge, us-west-2c, upload, 1024, 0m11.769s
m4.10xlarge, us-west-2c, upload, 1024, 0m18.288s
m4.10xlarge, us-west-2c, download, 1, 0m2.584s
m4.10xlarge, us-west-2c, download, 1, 0m2.422s
m4.10xlarge, us-west-2c, download, 1, 0m2.914s
m4.10xlarge, us-west-2c, download, 1, 0m2.631s
m4.10xlarge, us-west-2c, download, 1, 0m2.771s
m4.10xlarge, us-west-2c, download, 1, 0m2.679s
m4.10xlarge, us-west-2c, download, 4, 0m3.483s
m4.10xlarge, us-west-2c, download, 4, 0m3.464s
m4.10xlarge, us-west-2c, download, 4, 0m3.496s
m4.10xlarge, us-west-2c, download, 4, 0m2.901s
m4.10xlarge, us-west-2c, download, 4, 0m3.458s
m4.10xlarge, us-west-2c, download, 4, 0m3.049s
m4.10xlarge, us-west-2c, download, 16, 0m5.117s
m4.10xlarge, us-west-2c, download, 16, 0m4.657s
m4.10xlarge, us-west-2c, download, 16, 0m4.912s
m4.10xlarge, us-west-2c, download, 16, 0m5.091s
m4.10xlarge, us-west-2c, download, 16, 0m4.200s
m4.10xlarge, us-west-2c, download, 16, 0m4.594s
m4.10xlarge, us-west-2c, download, 64, 0m5.151s
m4.10xlarge, us-west-2c, download, 64, 0m4.284s
m4.10xlarge, us-west-2c, download, 64, 0m5.494s
m4.10xlarge, us-west-2c, download, 64, 0m5.099s
m4.10xlarge, us-west-2c, download, 64, 0m4.646s
m4.10xlarge, us-west-2c, download, 64, 0m4.686s
m4.10xlarge, us-west-2c, download, 256, 0m10.121s
m4.10xlarge, us-west-2c, download, 256, 0m10.858s
m4.10xlarge, us-west-2c, download, 256, 0m10.010s
m4.10xlarge, us-west-2c, download, 256, 0m10.229s
m4.10xlarge, us-west-2c, download, 256, 0m10.287s
m4.10xlarge, us-west-2c, download, 256, 0m10.080s
m4.10xlarge, us-west-2c, download, 1024, 0m29.703s
m4.10xlarge, us-west-2c, download, 1024, 0m29.122s
m4.10xlarge, us-west-2c, download, 1024, 0m27.892s
m4.10xlarge, us-west-2c, download, 1024, 0m27.227s
m4.10xlarge, us-west-2c, download, 1024, 0m28.109s
m4.10xlarge, us-west-2c, download, 1024, 0m27.801s
