c4.xlarge, ap-northeast-1c, upload, 1, 0m3.478s
c4.xlarge, ap-northeast-1c, upload, 1, 0m3.303s
c4.xlarge, ap-northeast-1c, upload, 1, 0m3.542s
c4.xlarge, ap-northeast-1c, upload, 1, 0m3.280s
c4.xlarge, ap-northeast-1c, upload, 1, 0m3.340s
c4.xlarge, ap-northeast-1c, upload, 1, 0m3.435s
c4.xlarge, ap-northeast-1c, upload, 4, 0m5.375s
c4.xlarge, ap-northeast-1c, upload, 4, 0m4.267s
c4.xlarge, ap-northeast-1c, upload, 4, 0m5.135s
c4.xlarge, ap-northeast-1c, upload, 4, 0m3.877s
c4.xlarge, ap-northeast-1c, upload, 4, 0m4.462s
c4.xlarge, ap-northeast-1c, upload, 4, 0m4.884s
c4.xlarge, ap-northeast-1c, upload, 16, 0m5.424s
c4.xlarge, ap-northeast-1c, upload, 16, 0m5.708s
c4.xlarge, ap-northeast-1c, upload, 16, 0m5.436s
c4.xlarge, ap-northeast-1c, upload, 16, 0m5.773s
c4.xlarge, ap-northeast-1c, upload, 16, 0m5.101s
c4.xlarge, ap-northeast-1c, upload, 16, 0m6.200s
c4.xlarge, ap-northeast-1c, upload, 64, 0m7.323s
c4.xlarge, ap-northeast-1c, upload, 64, 0m8.292s
c4.xlarge, ap-northeast-1c, upload, 64, 0m6.499s
c4.xlarge, ap-northeast-1c, upload, 64, 0m7.217s
c4.xlarge, ap-northeast-1c, upload, 64, 0m6.490s
c4.xlarge, ap-northeast-1c, upload, 64, 0m7.825s
c4.xlarge, ap-northeast-1c, upload, 256, 0m11.362s
c4.xlarge, ap-northeast-1c, upload, 256, 0m12.350s
c4.xlarge, ap-northeast-1c, upload, 256, 0m10.924s
c4.xlarge, ap-northeast-1c, upload, 256, 0m14.665s
c4.xlarge, ap-northeast-1c, upload, 256, 0m13.529s
c4.xlarge, ap-northeast-1c, upload, 256, 0m16.311s
c4.xlarge, ap-northeast-1c, upload, 1024, 0m31.845s
c4.xlarge, ap-northeast-1c, upload, 1024, 0m33.297s
c4.xlarge, ap-northeast-1c, upload, 1024, 0m34.756s
c4.xlarge, ap-northeast-1c, upload, 1024, 0m35.095s
c4.xlarge, ap-northeast-1c, upload, 1024, 0m33.324s
c4.xlarge, ap-northeast-1c, upload, 1024, 0m29.809s
c4.xlarge, ap-northeast-1c, download, 1, 0m2.942s
c4.xlarge, ap-northeast-1c, download, 1, 0m3.491s
c4.xlarge, ap-northeast-1c, download, 1, 0m3.455s
c4.xlarge, ap-northeast-1c, download, 1, 0m3.260s
c4.xlarge, ap-northeast-1c, download, 1, 0m3.350s
c4.xlarge, ap-northeast-1c, download, 1, 0m3.553s
c4.xlarge, ap-northeast-1c, download, 4, 0m4.615s
c4.xlarge, ap-northeast-1c, download, 4, 0m6.109s
c4.xlarge, ap-northeast-1c, download, 4, 0m4.206s
c4.xlarge, ap-northeast-1c, download, 4, 0m4.616s
c4.xlarge, ap-northeast-1c, download, 4, 0m4.571s
c4.xlarge, ap-northeast-1c, download, 4, 0m4.483s
c4.xlarge, ap-northeast-1c, download, 16, 0m7.526s
c4.xlarge, ap-northeast-1c, download, 16, 0m7.042s
c4.xlarge, ap-northeast-1c, download, 16, 0m7.301s
c4.xlarge, ap-northeast-1c, download, 16, 0m6.999s
c4.xlarge, ap-northeast-1c, download, 16, 0m7.529s
c4.xlarge, ap-northeast-1c, download, 16, 0m6.939s
c4.xlarge, ap-northeast-1c, download, 64, 0m6.791s
c4.xlarge, ap-northeast-1c, download, 64, 0m7.130s
c4.xlarge, ap-northeast-1c, download, 64, 0m6.967s
c4.xlarge, ap-northeast-1c, download, 64, 0m7.028s
c4.xlarge, ap-northeast-1c, download, 64, 0m7.470s
c4.xlarge, ap-northeast-1c, download, 64, 0m7.937s
c4.xlarge, ap-northeast-1c, download, 256, 0m17.109s
c4.xlarge, ap-northeast-1c, download, 256, 0m17.323s
c4.xlarge, ap-northeast-1c, download, 256, 0m17.357s
c4.xlarge, ap-northeast-1c, download, 256, 0m16.290s
c4.xlarge, ap-northeast-1c, download, 256, 0m17.339s
c4.xlarge, ap-northeast-1c, download, 256, 0m16.464s
c4.xlarge, ap-northeast-1c, download, 1024, 0m49.682s
c4.xlarge, ap-northeast-1c, download, 1024, 0m49.704s
c4.xlarge, ap-northeast-1c, download, 1024, 0m47.505s
c4.xlarge, ap-northeast-1c, download, 1024, 0m47.431s
c4.xlarge, ap-northeast-1c, download, 1024, 0m49.078s
c4.xlarge, ap-northeast-1c, download, 1024, 0m48.770s
