m4.large, us-east-1b, upload, 1, 0m1.464s
m4.large, us-east-1b, upload, 1, 0m1.340s
m4.large, us-east-1b, upload, 1, 0m1.548s
m4.large, us-east-1b, upload, 1, 0m1.433s
m4.large, us-east-1b, upload, 1, 0m1.491s
m4.large, us-east-1b, upload, 1, 0m1.500s
m4.large, us-east-1b, upload, 4, 0m1.545s
m4.large, us-east-1b, upload, 4, 0m1.510s
m4.large, us-east-1b, upload, 4, 0m1.576s
m4.large, us-east-1b, upload, 4, 0m1.546s
m4.large, us-east-1b, upload, 4, 0m1.472s
m4.large, us-east-1b, upload, 4, 0m1.540s
m4.large, us-east-1b, upload, 16, 0m1.938s
m4.large, us-east-1b, upload, 16, 0m2.896s
m4.large, us-east-1b, upload, 16, 0m1.939s
m4.large, us-east-1b, upload, 16, 0m1.897s
m4.large, us-east-1b, upload, 16, 0m2.227s
m4.large, us-east-1b, upload, 16, 0m1.824s
m4.large, us-east-1b, upload, 64, 0m2.533s
m4.large, us-east-1b, upload, 64, 0m2.629s
m4.large, us-east-1b, upload, 64, 0m2.625s
m4.large, us-east-1b, upload, 64, 0m2.639s
m4.large, us-east-1b, upload, 64, 0m6.796s
m4.large, us-east-1b, upload, 64, 0m2.651s
m4.large, us-east-1b, upload, 256, 0m5.363s
m4.large, us-east-1b, upload, 256, 0m5.947s
m4.large, us-east-1b, upload, 256, 0m5.366s
m4.large, us-east-1b, upload, 256, 0m6.554s
m4.large, us-east-1b, upload, 256, 0m5.675s
m4.large, us-east-1b, upload, 256, 0m8.956s
m4.large, us-east-1b, upload, 1024, 0m18.904s
m4.large, us-east-1b, upload, 1024, 0m19.162s
m4.large, us-east-1b, upload, 1024, 0m19.428s
m4.large, us-east-1b, upload, 1024, 0m18.956s
m4.large, us-east-1b, upload, 1024, 0m19.163s
m4.large, us-east-1b, upload, 1024, 0m40.363s
m4.large, us-east-1b, download, 1, 0m1.345s
m4.large, us-east-1b, download, 1, 0m1.330s
m4.large, us-east-1b, download, 1, 0m1.302s
m4.large, us-east-1b, download, 1, 0m1.373s
m4.large, us-east-1b, download, 1, 0m1.307s
m4.large, us-east-1b, download, 1, 0m1.329s
m4.large, us-east-1b, download, 4, 0m1.509s
m4.large, us-east-1b, download, 4, 0m1.419s
m4.large, us-east-1b, download, 4, 0m1.585s
m4.large, us-east-1b, download, 4, 0m1.377s
m4.large, us-east-1b, download, 4, 0m1.382s
m4.large, us-east-1b, download, 4, 0m1.386s
m4.large, us-east-1b, download, 16, 0m1.741s
m4.large, us-east-1b, download, 16, 0m1.661s
m4.large, us-east-1b, download, 16, 0m1.527s
m4.large, us-east-1b, download, 16, 0m1.790s
m4.large, us-east-1b, download, 16, 0m1.518s
m4.large, us-east-1b, download, 16, 0m1.629s
m4.large, us-east-1b, download, 64, 0m2.432s
m4.large, us-east-1b, download, 64, 0m2.311s
m4.large, us-east-1b, download, 64, 0m2.337s
m4.large, us-east-1b, download, 64, 0m2.318s
m4.large, us-east-1b, download, 64, 0m2.297s
m4.large, us-east-1b, download, 64, 0m2.368s
m4.large, us-east-1b, download, 256, 0m5.205s
m4.large, us-east-1b, download, 256, 0m5.118s
m4.large, us-east-1b, download, 256, 0m5.156s
m4.large, us-east-1b, download, 256, 0m5.083s
m4.large, us-east-1b, download, 256, 0m6.332s
m4.large, us-east-1b, download, 256, 0m5.095s
m4.large, us-east-1b, download, 1024, 0m18.723s
m4.large, us-east-1b, download, 1024, 0m19.145s
m4.large, us-east-1b, download, 1024, 0m19.123s
m4.large, us-east-1b, download, 1024, 0m19.087s
m4.large, us-east-1b, download, 1024, 0m19.116s
m4.large, us-east-1b, download, 1024, 0m19.129s
