m4.10xlarge, ap-northeast-1c, upload, 1, 0m3.721s
m4.10xlarge, ap-northeast-1c, upload, 1, 0m3.219s
m4.10xlarge, ap-northeast-1c, upload, 1, 0m3.266s
m4.10xlarge, ap-northeast-1c, upload, 1, 0m3.628s
m4.10xlarge, ap-northeast-1c, upload, 1, 0m3.508s
m4.10xlarge, ap-northeast-1c, upload, 1, 0m3.288s
m4.10xlarge, ap-northeast-1c, upload, 4, 0m5.328s
m4.10xlarge, ap-northeast-1c, upload, 4, 0m4.158s
m4.10xlarge, ap-northeast-1c, upload, 4, 0m4.352s
m4.10xlarge, ap-northeast-1c, upload, 4, 0m3.946s
m4.10xlarge, ap-northeast-1c, upload, 4, 0m3.895s
m4.10xlarge, ap-northeast-1c, upload, 4, 0m4.188s
m4.10xlarge, ap-northeast-1c, upload, 16, 0m5.868s
m4.10xlarge, ap-northeast-1c, upload, 16, 0m5.591s
m4.10xlarge, ap-northeast-1c, upload, 16, 0m5.598s
m4.10xlarge, ap-northeast-1c, upload, 16, 0m5.870s
m4.10xlarge, ap-northeast-1c, upload, 16, 0m5.250s
m4.10xlarge, ap-northeast-1c, upload, 16, 0m5.131s
m4.10xlarge, ap-northeast-1c, upload, 64, 0m6.135s
m4.10xlarge, ap-northeast-1c, upload, 64, 0m5.735s
m4.10xlarge, ap-northeast-1c, upload, 64, 0m5.755s
m4.10xlarge, ap-northeast-1c, upload, 64, 0m5.999s
m4.10xlarge, ap-northeast-1c, upload, 64, 0m7.713s
m4.10xlarge, ap-northeast-1c, upload, 64, 0m10.227s
m4.10xlarge, ap-northeast-1c, upload, 256, 0m8.985s
m4.10xlarge, ap-northeast-1c, upload, 256, 0m8.482s
m4.10xlarge, ap-northeast-1c, upload, 256, 0m10.233s
m4.10xlarge, ap-northeast-1c, upload, 256, 0m10.462s
m4.10xlarge, ap-northeast-1c, upload, 256, 0m7.975s
m4.10xlarge, ap-northeast-1c, upload, 256, 0m10.066s
m4.10xlarge, ap-northeast-1c, upload, 1024, 0m16.964s
m4.10xlarge, ap-northeast-1c, upload, 1024, 0m24.292s
m4.10xlarge, ap-northeast-1c, upload, 1024, 0m23.138s
m4.10xlarge, ap-northeast-1c, upload, 1024, 0m20.001s
m4.10xlarge, ap-northeast-1c, upload, 1024, 0m15.693s
m4.10xlarge, ap-northeast-1c, upload, 1024, 0m26.299s
m4.10xlarge, ap-northeast-1c, download, 1, 0m3.502s
m4.10xlarge, ap-northeast-1c, download, 1, 0m4.564s
m4.10xlarge, ap-northeast-1c, download, 1, 0m3.520s
m4.10xlarge, ap-northeast-1c, download, 1, 0m3.389s
m4.10xlarge, ap-northeast-1c, download, 1, 0m3.552s
m4.10xlarge, ap-northeast-1c, download, 1, 0m3.148s
m4.10xlarge, ap-northeast-1c, download, 4, 0m4.699s
m4.10xlarge, ap-northeast-1c, download, 4, 0m4.324s
m4.10xlarge, ap-northeast-1c, download, 4, 0m4.271s
m4.10xlarge, ap-northeast-1c, download, 4, 0m4.208s
m4.10xlarge, ap-northeast-1c, download, 4, 0m4.670s
m4.10xlarge, ap-northeast-1c, download, 4, 0m4.709s
m4.10xlarge, ap-northeast-1c, download, 16, 0m7.907s
m4.10xlarge, ap-northeast-1c, download, 16, 0m7.359s
m4.10xlarge, ap-northeast-1c, download, 16, 0m6.801s
m4.10xlarge, ap-northeast-1c, download, 16, 0m7.300s
m4.10xlarge, ap-northeast-1c, download, 16, 0m6.753s
m4.10xlarge, ap-northeast-1c, download, 16, 0m6.913s
m4.10xlarge, ap-northeast-1c, download, 64, 0m8.965s
m4.10xlarge, ap-northeast-1c, download, 64, 0m6.782s
m4.10xlarge, ap-northeast-1c, download, 64, 0m6.869s
m4.10xlarge, ap-northeast-1c, download, 64, 0m9.475s
m4.10xlarge, ap-northeast-1c, download, 64, 0m6.821s
m4.10xlarge, ap-northeast-1c, download, 64, 0m8.324s
m4.10xlarge, ap-northeast-1c, download, 256, 0m16.712s
m4.10xlarge, ap-northeast-1c, download, 256, 0m17.056s
m4.10xlarge, ap-northeast-1c, download, 256, 0m16.466s
m4.10xlarge, ap-northeast-1c, download, 256, 0m17.550s
m4.10xlarge, ap-northeast-1c, download, 256, 0m16.999s
m4.10xlarge, ap-northeast-1c, download, 256, 0m16.550s
m4.10xlarge, ap-northeast-1c, download, 1024, 1m14.180s
m4.10xlarge, ap-northeast-1c, download, 1024, 0m50.359s
m4.10xlarge, ap-northeast-1c, download, 1024, 0m47.435s
m4.10xlarge, ap-northeast-1c, download, 1024, 0m50.223s
m4.10xlarge, ap-northeast-1c, download, 1024, 0m48.269s
m4.10xlarge, ap-northeast-1c, download, 1024, 0m48.095s
