c4.8xlarge, eu-central-1a, upload, 1, 0m2.904s
c4.8xlarge, eu-central-1a, upload, 1, 0m2.521s
c4.8xlarge, eu-central-1a, upload, 1, 0m2.617s
c4.8xlarge, eu-central-1a, upload, 1, 0m3.339s
c4.8xlarge, eu-central-1a, upload, 1, 0m2.706s
c4.8xlarge, eu-central-1a, upload, 1, 0m2.514s
c4.8xlarge, eu-central-1a, upload, 4, 0m2.991s
c4.8xlarge, eu-central-1a, upload, 4, 0m2.875s
c4.8xlarge, eu-central-1a, upload, 4, 0m2.983s
c4.8xlarge, eu-central-1a, upload, 4, 0m2.928s
c4.8xlarge, eu-central-1a, upload, 4, 0m3.310s
c4.8xlarge, eu-central-1a, upload, 4, 0m3.150s
c4.8xlarge, eu-central-1a, upload, 16, 0m3.569s
c4.8xlarge, eu-central-1a, upload, 16, 0m3.836s
c4.8xlarge, eu-central-1a, upload, 16, 0m3.594s
c4.8xlarge, eu-central-1a, upload, 16, 0m3.732s
c4.8xlarge, eu-central-1a, upload, 16, 0m3.689s
c4.8xlarge, eu-central-1a, upload, 16, 0m5.557s
c4.8xlarge, eu-central-1a, upload, 64, 0m4.118s
c4.8xlarge, eu-central-1a, upload, 64, 0m5.417s
c4.8xlarge, eu-central-1a, upload, 64, 0m4.346s
c4.8xlarge, eu-central-1a, upload, 64, 0m4.201s
c4.8xlarge, eu-central-1a, upload, 64, 0m4.189s
c4.8xlarge, eu-central-1a, upload, 64, 0m4.959s
c4.8xlarge, eu-central-1a, upload, 256, 0m5.498s
c4.8xlarge, eu-central-1a, upload, 256, 0m6.034s
c4.8xlarge, eu-central-1a, upload, 256, 0m5.852s
c4.8xlarge, eu-central-1a, upload, 256, 0m5.983s
c4.8xlarge, eu-central-1a, upload, 256, 0m7.403s
c4.8xlarge, eu-central-1a, upload, 256, 0m6.593s
c4.8xlarge, eu-central-1a, upload, 1024, 0m11.656s
c4.8xlarge, eu-central-1a, upload, 1024, 0m18.148s
c4.8xlarge, eu-central-1a, upload, 1024, 0m14.936s
c4.8xlarge, eu-central-1a, upload, 1024, 0m12.591s
c4.8xlarge, eu-central-1a, upload, 1024, 0m12.823s
c4.8xlarge, eu-central-1a, upload, 1024, 0m13.516s
c4.8xlarge, eu-central-1a, download, 1, 0m2.581s
c4.8xlarge, eu-central-1a, download, 1, 0m2.750s
c4.8xlarge, eu-central-1a, download, 1, 0m3.689s
c4.8xlarge, eu-central-1a, download, 1, 0m2.274s
c4.8xlarge, eu-central-1a, download, 1, 0m2.351s
c4.8xlarge, eu-central-1a, download, 1, 0m2.372s
c4.8xlarge, eu-central-1a, download, 4, 0m3.141s
c4.8xlarge, eu-central-1a, download, 4, 0m3.304s
c4.8xlarge, eu-central-1a, download, 4, 0m3.239s
c4.8xlarge, eu-central-1a, download, 4, 0m3.252s
c4.8xlarge, eu-central-1a, download, 4, 0m2.973s
c4.8xlarge, eu-central-1a, download, 4, 0m2.969s
c4.8xlarge, eu-central-1a, download, 16, 0m4.849s
c4.8xlarge, eu-central-1a, download, 16, 0m4.811s
c4.8xlarge, eu-central-1a, download, 16, 0m4.814s
c4.8xlarge, eu-central-1a, download, 16, 0m4.766s
c4.8xlarge, eu-central-1a, download, 16, 0m4.573s
c4.8xlarge, eu-central-1a, download, 16, 0m4.894s
c4.8xlarge, eu-central-1a, download, 64, 0m5.421s
c4.8xlarge, eu-central-1a, download, 64, 0m4.577s
c4.8xlarge, eu-central-1a, download, 64, 0m5.481s
c4.8xlarge, eu-central-1a, download, 64, 0m4.618s
c4.8xlarge, eu-central-1a, download, 64, 0m4.546s
c4.8xlarge, eu-central-1a, download, 64, 0m5.179s
c4.8xlarge, eu-central-1a, download, 256, 0m10.434s
c4.8xlarge, eu-central-1a, download, 256, 0m10.524s
c4.8xlarge, eu-central-1a, download, 256, 0m10.504s
c4.8xlarge, eu-central-1a, download, 256, 0m10.351s
c4.8xlarge, eu-central-1a, download, 256, 0m10.430s
c4.8xlarge, eu-central-1a, download, 256, 0m10.454s
c4.8xlarge, eu-central-1a, download, 1024, 0m29.484s
c4.8xlarge, eu-central-1a, download, 1024, 0m29.424s
c4.8xlarge, eu-central-1a, download, 1024, 0m28.607s
c4.8xlarge, eu-central-1a, download, 1024, 0m29.200s
c4.8xlarge, eu-central-1a, download, 1024, 0m28.768s
c4.8xlarge, eu-central-1a, download, 1024, 0m29.363s
