m4.10xlarge, us-east-1b, upload, 1, 0m1.607s
m4.10xlarge, us-east-1b, upload, 1, 0m1.363s
m4.10xlarge, us-east-1b, upload, 1, 0m1.400s
m4.10xlarge, us-east-1b, upload, 1, 0m1.472s
m4.10xlarge, us-east-1b, upload, 1, 0m1.413s
m4.10xlarge, us-east-1b, upload, 1, 0m1.472s
m4.10xlarge, us-east-1b, upload, 4, 0m1.698s
m4.10xlarge, us-east-1b, upload, 4, 0m1.578s
m4.10xlarge, us-east-1b, upload, 4, 0m1.624s
m4.10xlarge, us-east-1b, upload, 4, 0m1.708s
m4.10xlarge, us-east-1b, upload, 4, 0m1.632s
m4.10xlarge, us-east-1b, upload, 4, 0m1.556s
m4.10xlarge, us-east-1b, upload, 16, 0m2.031s
m4.10xlarge, us-east-1b, upload, 16, 0m1.887s
m4.10xlarge, us-east-1b, upload, 16, 0m1.993s
m4.10xlarge, us-east-1b, upload, 16, 0m2.029s
m4.10xlarge, us-east-1b, upload, 16, 0m2.028s
m4.10xlarge, us-east-1b, upload, 16, 0m1.824s
m4.10xlarge, us-east-1b, upload, 64, 0m2.132s
m4.10xlarge, us-east-1b, upload, 64, 0m3.366s
m4.10xlarge, us-east-1b, upload, 64, 0m1.950s
m4.10xlarge, us-east-1b, upload, 64, 0m1.897s
m4.10xlarge, us-east-1b, upload, 64, 0m2.223s
m4.10xlarge, us-east-1b, upload, 64, 0m2.270s
m4.10xlarge, us-east-1b, upload, 256, 0m3.039s
m4.10xlarge, us-east-1b, upload, 256, 0m4.106s
m4.10xlarge, us-east-1b, upload, 256, 0m3.486s
m4.10xlarge, us-east-1b, upload, 256, 0m3.306s
m4.10xlarge, us-east-1b, upload, 256, 0m3.224s
m4.10xlarge, us-east-1b, upload, 256, 0m3.066s
m4.10xlarge, us-east-1b, upload, 1024, 0m15.561s
m4.10xlarge, us-east-1b, upload, 1024, 0m30.891s
m4.10xlarge, us-east-1b, upload, 1024, 0m9.656s
m4.10xlarge, us-east-1b, upload, 1024, 0m8.784s
m4.10xlarge, us-east-1b, upload, 1024, 0m7.778s
m4.10xlarge, us-east-1b, upload, 1024, 0m9.334s
m4.10xlarge, us-east-1b, download, 1, 0m1.352s
m4.10xlarge, us-east-1b, download, 1, 0m1.383s
m4.10xlarge, us-east-1b, download, 1, 0m1.356s
m4.10xlarge, us-east-1b, download, 1, 0m1.350s
m4.10xlarge, us-east-1b, download, 1, 0m1.358s
m4.10xlarge, us-east-1b, download, 1, 0m1.347s
m4.10xlarge, us-east-1b, download, 4, 0m1.579s
m4.10xlarge, us-east-1b, download, 4, 0m1.404s
m4.10xlarge, us-east-1b, download, 4, 0m1.392s
m4.10xlarge, us-east-1b, download, 4, 0m1.412s
m4.10xlarge, us-east-1b, download, 4, 0m1.404s
m4.10xlarge, us-east-1b, download, 4, 0m1.477s
m4.10xlarge, us-east-1b, download, 16, 0m1.627s
m4.10xlarge, us-east-1b, download, 16, 0m1.572s
m4.10xlarge, us-east-1b, download, 16, 0m1.485s
m4.10xlarge, us-east-1b, download, 16, 0m1.447s
m4.10xlarge, us-east-1b, download, 16, 0m1.525s
m4.10xlarge, us-east-1b, download, 16, 0m1.501s
m4.10xlarge, us-east-1b, download, 64, 0m1.739s
m4.10xlarge, us-east-1b, download, 64, 0m1.807s
m4.10xlarge, us-east-1b, download, 64, 0m1.947s
m4.10xlarge, us-east-1b, download, 64, 0m1.707s
m4.10xlarge, us-east-1b, download, 64, 0m1.696s
m4.10xlarge, us-east-1b, download, 64, 0m1.647s
m4.10xlarge, us-east-1b, download, 256, 0m2.657s
m4.10xlarge, us-east-1b, download, 256, 0m2.723s
m4.10xlarge, us-east-1b, download, 256, 0m2.485s
m4.10xlarge, us-east-1b, download, 256, 0m2.455s
m4.10xlarge, us-east-1b, download, 256, 0m2.549s
m4.10xlarge, us-east-1b, download, 256, 0m2.515s
m4.10xlarge, us-east-1b, download, 1024, 0m5.733s
m4.10xlarge, us-east-1b, download, 1024, 0m5.789s
m4.10xlarge, us-east-1b, download, 1024, 0m6.085s
m4.10xlarge, us-east-1b, download, 1024, 0m5.928s
m4.10xlarge, us-east-1b, download, 1024, 0m5.731s
m4.10xlarge, us-east-1b, download, 1024, 0m6.184s
