m4.large, us-east-1b, upload, 1, 0m1.839s
m4.large, us-east-1b, upload, 1, 0m1.367s
m4.large, us-east-1b, upload, 1, 0m1.426s
m4.large, us-east-1b, upload, 1, 0m1.351s
m4.large, us-east-1b, upload, 1, 0m1.330s
m4.large, us-east-1b, upload, 1, 0m1.460s
m4.large, us-east-1b, upload, 4, 0m1.518s
m4.large, us-east-1b, upload, 4, 0m1.573s
m4.large, us-east-1b, upload, 4, 0m1.374s
m4.large, us-east-1b, upload, 4, 0m1.466s
m4.large, us-east-1b, upload, 4, 0m1.739s
m4.large, us-east-1b, upload, 4, 0m2.591s
m4.large, us-east-1b, upload, 16, 0m1.836s
m4.large, us-east-1b, upload, 16, 0m1.831s
m4.large, us-east-1b, upload, 16, 0m1.744s
m4.large, us-east-1b, upload, 16, 0m1.832s
m4.large, us-east-1b, upload, 16, 0m1.850s
m4.large, us-east-1b, upload, 16, 0m1.982s
m4.large, us-east-1b, upload, 64, 0m2.618s
m4.large, us-east-1b, upload, 64, 0m4.224s
m4.large, us-east-1b, upload, 64, 0m2.683s
m4.large, us-east-1b, upload, 64, 0m2.533s
m4.large, us-east-1b, upload, 64, 0m2.420s
m4.large, us-east-1b, upload, 64, 0m2.457s
m4.large, us-east-1b, upload, 256, 0m5.410s
m4.large, us-east-1b, upload, 256, 0m5.255s
m4.large, us-east-1b, upload, 256, 0m5.412s
m4.large, us-east-1b, upload, 256, 0m5.301s
m4.large, us-east-1b, upload, 256, 0m5.367s
m4.large, us-east-1b, upload, 256, 0m5.319s
m4.large, us-east-1b, upload, 1024, 0m18.930s
m4.large, us-east-1b, upload, 1024, 0m19.360s
m4.large, us-east-1b, upload, 1024, 0m18.911s
m4.large, us-east-1b, upload, 1024, 0m41.419s
m4.large, us-east-1b, upload, 1024, 0m18.858s
m4.large, us-east-1b, upload, 1024, 0m43.176s
m4.large, us-east-1b, download, 1, 0m1.355s
m4.large, us-east-1b, download, 1, 0m1.323s
m4.large, us-east-1b, download, 1, 0m1.298s
m4.large, us-east-1b, download, 1, 0m1.327s
m4.large, us-east-1b, download, 1, 0m1.293s
m4.large, us-east-1b, download, 1, 0m1.308s
m4.large, us-east-1b, download, 4, 0m1.471s
m4.large, us-east-1b, download, 4, 0m1.380s
m4.large, us-east-1b, download, 4, 0m1.362s
m4.large, us-east-1b, download, 4, 0m1.544s
m4.large, us-east-1b, download, 4, 0m1.382s
m4.large, us-east-1b, download, 4, 0m1.390s
m4.large, us-east-1b, download, 16, 0m2.243s
m4.large, us-east-1b, download, 16, 0m2.092s
m4.large, us-east-1b, download, 16, 0m2.246s
m4.large, us-east-1b, download, 16, 0m1.865s
m4.large, us-east-1b, download, 16, 0m2.461s
m4.large, us-east-1b, download, 16, 0m1.993s
m4.large, us-east-1b, download, 64, 0m2.426s
m4.large, us-east-1b, download, 64, 0m2.289s
m4.large, us-east-1b, download, 64, 0m2.292s
m4.large, us-east-1b, download, 64, 0m2.700s
m4.large, us-east-1b, download, 64, 0m2.435s
m4.large, us-east-1b, download, 64, 0m2.375s
m4.large, us-east-1b, download, 256, 0m5.179s
m4.large, us-east-1b, download, 256, 0m5.212s
m4.large, us-east-1b, download, 256, 0m5.165s
m4.large, us-east-1b, download, 256, 0m5.144s
m4.large, us-east-1b, download, 256, 0m5.082s
m4.large, us-east-1b, download, 256, 0m5.151s
m4.large, us-east-1b, download, 1024, 0m18.690s
m4.large, us-east-1b, download, 1024, 0m19.124s
m4.large, us-east-1b, download, 1024, 0m19.314s
m4.large, us-east-1b, download, 1024, 0m19.225s
m4.large, us-east-1b, download, 1024, 0m19.385s
m4.large, us-east-1b, download, 1024, 0m19.501s
