m4.xlarge, us-west-2c, upload, 1, 0m3.034s
m4.xlarge, us-west-2c, upload, 1, 0m4.903s
m4.xlarge, us-west-2c, upload, 1, 0m3.699s
m4.xlarge, us-west-2c, upload, 1, 0m3.242s
m4.xlarge, us-west-2c, upload, 1, 0m4.391s
m4.xlarge, us-west-2c, upload, 1, 0m2.834s
m4.xlarge, us-west-2c, upload, 2, 0m3.585s
m4.xlarge, us-west-2c, upload, 2, 0m6.290s
m4.xlarge, us-west-2c, upload, 2, 0m2.725s
m4.xlarge, us-west-2c, upload, 2, 0m3.006s
m4.xlarge, us-west-2c, upload, 2, 0m10.651s
m4.xlarge, us-west-2c, upload, 2, 0m2.635s
m4.xlarge, us-west-2c, upload, 4, 0m2.784s
m4.xlarge, us-west-2c, upload, 4, 0m2.844s
m4.xlarge, us-west-2c, upload, 4, 0m3.708s
m4.xlarge, us-west-2c, upload, 4, 0m3.188s
m4.xlarge, us-west-2c, upload, 4, 0m5.936s
m4.xlarge, us-west-2c, upload, 4, 0m2.729s
m4.xlarge, us-west-2c, upload, 8, 0m4.564s
m4.xlarge, us-west-2c, upload, 8, 0m3.186s
m4.xlarge, us-west-2c, upload, 8, 0m3.201s
m4.xlarge, us-west-2c, upload, 8, 0m3.641s
m4.xlarge, us-west-2c, upload, 8, 0m3.935s
m4.xlarge, us-west-2c, upload, 8, 0m3.592s
m4.xlarge, us-west-2c, upload, 16, 0m4.050s
m4.xlarge, us-west-2c, upload, 16, 0m4.902s
m4.xlarge, us-west-2c, upload, 16, 0m3.798s
m4.xlarge, us-west-2c, upload, 16, 0m4.028s
m4.xlarge, us-west-2c, upload, 16, 0m3.300s
m4.xlarge, us-west-2c, upload, 16, 0m3.767s
m4.xlarge, us-west-2c, upload, 32, 0m4.031s
m4.xlarge, us-west-2c, upload, 32, 0m4.547s
m4.xlarge, us-west-2c, upload, 32, 0m4.008s
m4.xlarge, us-west-2c, upload, 32, 0m5.554s
m4.xlarge, us-west-2c, upload, 32, 0m3.928s
m4.xlarge, us-west-2c, upload, 32, 0m4.485s
m4.xlarge, us-west-2c, upload, 64, 0m5.541s
m4.xlarge, us-west-2c, upload, 64, 0m5.575s
m4.xlarge, us-west-2c, upload, 64, 0m4.694s
m4.xlarge, us-west-2c, upload, 64, 0m4.705s
m4.xlarge, us-west-2c, upload, 64, 0m4.566s
m4.xlarge, us-west-2c, upload, 64, 0m5.930s
