m4.xlarge, us-east-1b, upload, 1, 0m1.555s
m4.xlarge, us-east-1b, upload, 1, 0m1.381s
m4.xlarge, us-east-1b, upload, 1, 0m1.374s
m4.xlarge, us-east-1b, upload, 1, 0m1.388s
m4.xlarge, us-east-1b, upload, 1, 0m1.375s
m4.xlarge, us-east-1b, upload, 1, 0m1.350s
m4.xlarge, us-east-1b, upload, 2, 0m1.524s
m4.xlarge, us-east-1b, upload, 2, 0m2.443s
m4.xlarge, us-east-1b, upload, 2, 0m1.470s
m4.xlarge, us-east-1b, upload, 2, 0m1.470s
m4.xlarge, us-east-1b, upload, 2, 0m2.428s
m4.xlarge, us-east-1b, upload, 2, 0m1.424s
m4.xlarge, us-east-1b, upload, 4, 0m1.775s
m4.xlarge, us-east-1b, upload, 4, 0m1.528s
m4.xlarge, us-east-1b, upload, 4, 0m1.633s
m4.xlarge, us-east-1b, upload, 4, 0m1.492s
m4.xlarge, us-east-1b, upload, 4, 0m1.655s
m4.xlarge, us-east-1b, upload, 4, 0m1.516s
m4.xlarge, us-east-1b, upload, 8, 0m1.808s
m4.xlarge, us-east-1b, upload, 8, 0m1.755s
m4.xlarge, us-east-1b, upload, 8, 0m1.712s
m4.xlarge, us-east-1b, upload, 8, 0m1.525s
m4.xlarge, us-east-1b, upload, 8, 0m1.594s
m4.xlarge, us-east-1b, upload, 8, 0m1.565s
m4.xlarge, us-east-1b, upload, 16, 0m1.915s
m4.xlarge, us-east-1b, upload, 16, 0m1.644s
m4.xlarge, us-east-1b, upload, 16, 0m1.615s
m4.xlarge, us-east-1b, upload, 16, 0m2.749s
m4.xlarge, us-east-1b, upload, 16, 0m1.926s
m4.xlarge, us-east-1b, upload, 16, 0m1.734s
m4.xlarge, us-east-1b, upload, 32, 0m2.384s
m4.xlarge, us-east-1b, upload, 32, 0m25.540s
m4.xlarge, us-east-1b, upload, 32, 0m1.799s
m4.xlarge, us-east-1b, upload, 32, 0m2.002s
m4.xlarge, us-east-1b, upload, 32, 0m1.942s
m4.xlarge, us-east-1b, upload, 32, 0m3.183s
m4.xlarge, us-east-1b, upload, 64, 0m2.267s
m4.xlarge, us-east-1b, upload, 64, 0m2.194s
m4.xlarge, us-east-1b, upload, 64, 0m2.192s
m4.xlarge, us-east-1b, upload, 64, 0m2.271s
m4.xlarge, us-east-1b, upload, 64, 0m2.224s
m4.xlarge, us-east-1b, upload, 64, 0m2.187s
m4.xlarge, us-east-1b, upload, 128, 0m2.903s
m4.xlarge, us-east-1b, upload, 128, 0m4.606s
m4.xlarge, us-east-1b, upload, 128, 0m2.948s
m4.xlarge, us-east-1b, upload, 128, 0m2.828s
m4.xlarge, us-east-1b, upload, 128, 0m3.133s
m4.xlarge, us-east-1b, upload, 128, 0m3.670s
m4.xlarge, us-east-1b, upload, 256, 0m4.047s
m4.xlarge, us-east-1b, upload, 256, 0m4.126s
m4.xlarge, us-east-1b, upload, 256, 0m5.481s
m4.xlarge, us-east-1b, upload, 256, 0m3.976s
m4.xlarge, us-east-1b, upload, 256, 0m4.556s
m4.xlarge, us-east-1b, upload, 256, 0m4.353s
m4.xlarge, us-east-1b, upload, 512, 0m8.597s
m4.xlarge, us-east-1b, upload, 512, 0m6.517s
m4.xlarge, us-east-1b, upload, 512, 0m7.132s
m4.xlarge, us-east-1b, upload, 512, 0m10.713s
m4.xlarge, us-east-1b, upload, 512, 0m7.737s
m4.xlarge, us-east-1b, upload, 512, 0m6.980s
m4.xlarge, us-east-1b, upload, 1024, 0m11.741s
m4.xlarge, us-east-1b, upload, 1024, 0m11.710s
m4.xlarge, us-east-1b, upload, 1024, 0m11.881s
m4.xlarge, us-east-1b, upload, 1024, 0m11.558s
m4.xlarge, us-east-1b, upload, 1024, 0m14.129s
