m4.large, us-east-1b, upload, 1, 0m1.675s
m4.large, us-east-1b, upload, 1, 0m1.391s
m4.large, us-east-1b, upload, 1, 0m1.393s
m4.large, us-east-1b, upload, 1, 0m1.477s
m4.large, us-east-1b, upload, 1, 0m1.416s
m4.large, us-east-1b, upload, 1, 0m1.474s
m4.large, us-east-1b, upload, 2, 0m1.511s
m4.large, us-east-1b, upload, 2, 0m1.436s
m4.large, us-east-1b, upload, 2, 0m1.400s
m4.large, us-east-1b, upload, 2, 0m1.516s
m4.large, us-east-1b, upload, 2, 0m1.416s
m4.large, us-east-1b, upload, 2, 0m1.473s
m4.large, us-east-1b, upload, 4, 0m1.598s
m4.large, us-east-1b, upload, 4, 0m1.491s
m4.large, us-east-1b, upload, 4, 0m2.161s
m4.large, us-east-1b, upload, 4, 0m1.899s
m4.large, us-east-1b, upload, 4, 0m1.508s
m4.large, us-east-1b, upload, 4, 0m1.530s
m4.large, us-east-1b, upload, 8, 0m1.775s
m4.large, us-east-1b, upload, 8, 0m1.692s
m4.large, us-east-1b, upload, 8, 0m1.935s
m4.large, us-east-1b, upload, 8, 0m1.589s
m4.large, us-east-1b, upload, 8, 0m1.744s
m4.large, us-east-1b, upload, 8, 0m1.555s
m4.large, us-east-1b, upload, 16, 0m1.931s
m4.large, us-east-1b, upload, 16, 0m2.385s
m4.large, us-east-1b, upload, 16, 0m2.088s
m4.large, us-east-1b, upload, 16, 0m2.068s
m4.large, us-east-1b, upload, 16, 0m1.979s
m4.large, us-east-1b, upload, 16, 0m2.035s
m4.large, us-east-1b, upload, 32, 0m1.962s
m4.large, us-east-1b, upload, 32, 0m1.921s
m4.large, us-east-1b, upload, 32, 0m2.469s
m4.large, us-east-1b, upload, 32, 0m2.160s
m4.large, us-east-1b, upload, 32, 0m2.004s
m4.large, us-east-1b, upload, 32, 0m2.306s
m4.large, us-east-1b, upload, 64, 0m7.812s
m4.large, us-east-1b, upload, 64, 0m2.754s
m4.large, us-east-1b, upload, 64, 0m2.455s
m4.large, us-east-1b, upload, 64, 0m2.950s
m4.large, us-east-1b, upload, 64, 0m2.525s
m4.large, us-east-1b, upload, 64, 0m2.516s
m4.large, us-east-1b, upload, 128, 0m3.662s
m4.large, us-east-1b, upload, 128, 0m4.644s
m4.large, us-east-1b, upload, 128, 0m3.519s
m4.large, us-east-1b, upload, 128, 0m3.554s
m4.large, us-east-1b, upload, 128, 0m3.498s
m4.large, us-east-1b, upload, 128, 0m3.731s
m4.large, us-east-1b, upload, 256, 0m6.736s
m4.large, us-east-1b, upload, 256, 0m5.938s
m4.large, us-east-1b, upload, 256, 0m5.293s
m4.large, us-east-1b, upload, 256, 0m5.466s
m4.large, us-east-1b, upload, 256, 0m5.373s
m4.large, us-east-1b, upload, 256, 0m5.347s
m4.large, us-east-1b, upload, 512, 0m18.048s
m4.large, us-east-1b, upload, 512, 0m9.836s
m4.large, us-east-1b, upload, 512, 0m8.999s
m4.large, us-east-1b, upload, 512, 0m10.694s
m4.large, us-east-1b, upload, 512, 0m10.140s
m4.large, us-east-1b, upload, 512, 0m9.369s
m4.large, us-east-1b, upload, 1024, 0m24.306s
m4.large, us-east-1b, upload, 1024, 0m19.081s
m4.large, us-east-1b, upload, 1024, 0m19.034s
m4.large, us-east-1b, upload, 1024, 0m19.001s
m4.large, us-east-1b, upload, 1024, 0m21.161s
m4.large, us-east-1b, upload, 1024, 0m19.119s
m4.large, us-east-1b, upload, 2048, 0m38.782s
m4.large, us-east-1b, upload, 2048, 0m39.514s
m4.large, us-east-1b, upload, 2048, 0m39.524s
m4.large, us-east-1b, upload, 2048, 0m41.136s
m4.large, us-east-1b, upload, 2048, 0m38.897s
m4.large, us-east-1b, upload, 2048, 0m38.963s
m4.large, us-east-1b, upload, 4096, 1m19.037s
m4.large, us-east-1b, upload, 4096, 1m38.781s
m4.large, us-east-1b, upload, 4096, 1m19.027s
m4.large, us-east-1b, upload, 4096, 1m18.989s
m4.large, us-east-1b, upload, 4096, 1m23.334s
m4.large, us-east-1b, upload, 4096, 1m19.034s
m4.large, us-east-1b, upload, 8192, 2m14.251s
m4.large, us-east-1b, upload, 8192, 2m24.416s
m4.large, us-east-1b, upload, 8192, 2m12.919s
m4.large, us-east-1b, upload, 8192, 2m19.544s
m4.large, us-east-1b, upload, 8192, 2m33.716s
m4.large, us-east-1b, upload, 8192, 2m13.085s
m4.large, us-east-1b, download, 1, 0m1.439s
m4.large, us-east-1b, download, 1, 0m1.332s
m4.large, us-east-1b, download, 1, 0m1.580s
m4.large, us-east-1b, download, 1, 0m1.302s
m4.large, us-east-1b, download, 1, 0m1.312s
m4.large, us-east-1b, download, 1, 0m1.311s
m4.large, us-east-1b, download, 2, 0m1.406s
m4.large, us-east-1b, download, 2, 0m1.542s
m4.large, us-east-1b, download, 2, 0m1.339s
m4.large, us-east-1b, download, 2, 0m1.357s
m4.large, us-east-1b, download, 2, 0m1.321s
m4.large, us-east-1b, download, 2, 0m1.334s
m4.large, us-east-1b, download, 4, 0m1.404s
m4.large, us-east-1b, download, 4, 0m1.690s
m4.large, us-east-1b, download, 4, 0m1.618s
m4.large, us-east-1b, download, 4, 0m1.418s
m4.large, us-east-1b, download, 4, 0m1.351s
m4.large, us-east-1b, download, 4, 0m1.341s
m4.large, us-east-1b, download, 8, 0m1.535s
m4.large, us-east-1b, download, 8, 0m1.427s
m4.large, us-east-1b, download, 8, 0m1.433s
m4.large, us-east-1b, download, 8, 0m1.397s
m4.large, us-east-1b, download, 8, 0m1.398s
m4.large, us-east-1b, download, 8, 0m1.398s
m4.large, us-east-1b, download, 16, 0m1.608s
m4.large, us-east-1b, download, 16, 0m1.953s
m4.large, us-east-1b, download, 16, 0m1.588s
m4.large, us-east-1b, download, 16, 0m1.530s
m4.large, us-east-1b, download, 16, 0m1.570s
m4.large, us-east-1b, download, 16, 0m1.526s
m4.large, us-east-1b, download, 32, 0m1.861s
m4.large, us-east-1b, download, 32, 0m1.929s
m4.large, us-east-1b, download, 32, 0m2.624s
m4.large, us-east-1b, download, 32, 0m2.003s
m4.large, us-east-1b, download, 32, 0m2.376s
m4.large, us-east-1b, download, 32, 0m1.995s
m4.large, us-east-1b, download, 64, 0m2.542s
m4.large, us-east-1b, download, 64, 0m3.522s
m4.large, us-east-1b, download, 64, 0m2.508s
