m4.10xlarge, us-east-1b, upload, 1, 0m1.496s
m4.10xlarge, us-east-1b, upload, 1, 0m1.416s
m4.10xlarge, us-east-1b, upload, 1, 0m1.350s
m4.10xlarge, us-east-1b, upload, 1, 0m1.406s
m4.10xlarge, us-east-1b, upload, 1, 0m1.388s
m4.10xlarge, us-east-1b, upload, 1, 0m1.335s
m4.10xlarge, us-east-1b, upload, 2, 0m1.430s
m4.10xlarge, us-east-1b, upload, 2, 0m1.884s
m4.10xlarge, us-east-1b, upload, 2, 0m1.477s
m4.10xlarge, us-east-1b, upload, 2, 0m1.451s
m4.10xlarge, us-east-1b, upload, 2, 0m1.476s
m4.10xlarge, us-east-1b, upload, 2, 0m1.642s
m4.10xlarge, us-east-1b, upload, 4, 0m1.634s
m4.10xlarge, us-east-1b, upload, 4, 0m1.554s
m4.10xlarge, us-east-1b, upload, 4, 0m2.067s
m4.10xlarge, us-east-1b, upload, 4, 0m1.722s
m4.10xlarge, us-east-1b, upload, 4, 0m1.510s
m4.10xlarge, us-east-1b, upload, 4, 0m1.770s
m4.10xlarge, us-east-1b, upload, 8, 0m1.654s
m4.10xlarge, us-east-1b, upload, 8, 0m1.784s
m4.10xlarge, us-east-1b, upload, 8, 0m1.661s
m4.10xlarge, us-east-1b, upload, 8, 0m18.377s
m4.10xlarge, us-east-1b, upload, 8, 0m1.694s
m4.10xlarge, us-east-1b, upload, 8, 0m1.623s
m4.10xlarge, us-east-1b, upload, 16, 0m1.782s
m4.10xlarge, us-east-1b, upload, 16, 0m1.757s
m4.10xlarge, us-east-1b, upload, 16, 0m1.905s
m4.10xlarge, us-east-1b, upload, 16, 0m2.298s
m4.10xlarge, us-east-1b, upload, 16, 0m1.672s
m4.10xlarge, us-east-1b, upload, 16, 0m1.645s
m4.10xlarge, us-east-1b, upload, 32, 0m1.820s
m4.10xlarge, us-east-1b, upload, 32, 0m2.032s
m4.10xlarge, us-east-1b, upload, 32, 0m1.941s
m4.10xlarge, us-east-1b, upload, 32, 0m2.163s
m4.10xlarge, us-east-1b, upload, 32, 0m1.793s
m4.10xlarge, us-east-1b, upload, 32, 0m2.912s
m4.10xlarge, us-east-1b, upload, 64, 0m6.129s
m4.10xlarge, us-east-1b, upload, 64, 0m3.013s
m4.10xlarge, us-east-1b, upload, 64, 0m2.164s
m4.10xlarge, us-east-1b, upload, 64, 0m2.184s
m4.10xlarge, us-east-1b, upload, 64, 0m2.464s
m4.10xlarge, us-east-1b, upload, 64, 0m2.434s
m4.10xlarge, us-east-1b, upload, 128, 0m2.568s
m4.10xlarge, us-east-1b, upload, 128, 0m2.406s
m4.10xlarge, us-east-1b, upload, 128, 0m2.503s
m4.10xlarge, us-east-1b, upload, 128, 0m2.377s
m4.10xlarge, us-east-1b, upload, 128, 0m2.551s
m4.10xlarge, us-east-1b, upload, 128, 0m4.655s
m4.10xlarge, us-east-1b, upload, 256, 0m3.346s
m4.10xlarge, us-east-1b, upload, 256, 0m3.318s
m4.10xlarge, us-east-1b, upload, 256, 0m3.299s
m4.10xlarge, us-east-1b, upload, 256, 0m3.066s
m4.10xlarge, us-east-1b, upload, 256, 0m3.006s
m4.10xlarge, us-east-1b, upload, 256, 0m5.648s
m4.10xlarge, us-east-1b, upload, 512, 0m8.907s
m4.10xlarge, us-east-1b, upload, 512, 0m10.407s
m4.10xlarge, us-east-1b, upload, 512, 0m5.122s
m4.10xlarge, us-east-1b, upload, 512, 0m4.287s
m4.10xlarge, us-east-1b, upload, 512, 0m5.261s
m4.10xlarge, us-east-1b, upload, 512, 0m5.654s
m4.10xlarge, us-east-1b, upload, 1024, 0m8.710s
m4.10xlarge, us-east-1b, upload, 1024, 0m8.045s
m4.10xlarge, us-east-1b, upload, 1024, 0m8.951s
m4.10xlarge, us-east-1b, upload, 1024, 0m8.538s
m4.10xlarge, us-east-1b, upload, 1024, 0m9.175s
m4.10xlarge, us-east-1b, upload, 1024, 0m8.979s
m4.10xlarge, us-east-1b, upload, 2048, 0m17.066s
m4.10xlarge, us-east-1b, upload, 2048, 0m14.593s
m4.10xlarge, us-east-1b, upload, 2048, 0m28.287s
m4.10xlarge, us-east-1b, upload, 2048, 0m22.742s
m4.10xlarge, us-east-1b, upload, 2048, 0m13.403s
m4.10xlarge, us-east-1b, upload, 2048, 0m17.515s
m4.10xlarge, us-east-1b, upload, 4096, 0m51.972s
m4.10xlarge, us-east-1b, upload, 4096, 0m28.035s
m4.10xlarge, us-east-1b, upload, 4096, 0m29.036s
m4.10xlarge, us-east-1b, upload, 4096, 0m33.754s
m4.10xlarge, us-east-1b, upload, 4096, 0m31.842s
m4.10xlarge, us-east-1b, upload, 4096, 0m26.514s
m4.10xlarge, us-east-1b, upload, 8192, 
m4.10xlarge, us-east-1b, upload, 8192, 
m4.10xlarge, us-east-1b, upload, 8192, 
m4.10xlarge, us-east-1b, upload, 8192, 
m4.10xlarge, us-east-1b, upload, 8192, 
m4.10xlarge, us-east-1b, upload, 8192, 
m4.10xlarge, us-east-1b, download, 1, 0m1.396s
m4.10xlarge, us-east-1b, download, 1, 0m1.497s
m4.10xlarge, us-east-1b, download, 1, 0m1.358s
m4.10xlarge, us-east-1b, download, 1, 0m1.339s
m4.10xlarge, us-east-1b, download, 1, 0m1.351s
m4.10xlarge, us-east-1b, download, 1, 0m1.358s
m4.10xlarge, us-east-1b, download, 2, 0m1.446s
m4.10xlarge, us-east-1b, download, 2, 0m1.356s
m4.10xlarge, us-east-1b, download, 2, 0m1.369s
m4.10xlarge, us-east-1b, download, 2, 0m1.351s
m4.10xlarge, us-east-1b, download, 2, 0m1.432s
m4.10xlarge, us-east-1b, download, 2, 0m1.393s
m4.10xlarge, us-east-1b, download, 4, 0m1.478s
m4.10xlarge, us-east-1b, download, 4, 0m1.409s
m4.10xlarge, us-east-1b, download, 4, 0m1.383s
m4.10xlarge, us-east-1b, download, 4, 0m1.356s
m4.10xlarge, us-east-1b, download, 4, 0m1.376s
m4.10xlarge, us-east-1b, download, 4, 0m1.367s
m4.10xlarge, us-east-1b, download, 8, 0m1.765s
m4.10xlarge, us-east-1b, download, 8, 0m1.517s
m4.10xlarge, us-east-1b, download, 8, 0m1.437s
m4.10xlarge, us-east-1b, download, 8, 0m1.426s
m4.10xlarge, us-east-1b, download, 8, 0m1.464s
m4.10xlarge, us-east-1b, download, 8, 0m1.408s
m4.10xlarge, us-east-1b, download, 16, 0m1.641s
m4.10xlarge, us-east-1b, download, 16, 0m1.541s
m4.10xlarge, us-east-1b, download, 16, 0m1.508s
m4.10xlarge, us-east-1b, download, 16, 0m1.450s
m4.10xlarge, us-east-1b, download, 16, 0m1.464s
m4.10xlarge, us-east-1b, download, 16, 0m1.459s
m4.10xlarge, us-east-1b, download, 32, 0m1.753s
m4.10xlarge, us-east-1b, download, 32, 0m1.646s
m4.10xlarge, us-east-1b, download, 32, 0m1.575s
