m4.large, ap-northeast-1c, upload, 1, 0m3.411s
m4.large, ap-northeast-1c, upload, 1, 0m4.052s
m4.large, ap-northeast-1c, upload, 1, 0m3.345s
m4.large, ap-northeast-1c, upload, 1, 0m3.595s
m4.large, ap-northeast-1c, upload, 1, 0m3.670s
m4.large, ap-northeast-1c, upload, 1, 0m3.362s
m4.large, ap-northeast-1c, upload, 2, 0m4.033s
m4.large, ap-northeast-1c, upload, 2, 0m4.134s
m4.large, ap-northeast-1c, upload, 2, 0m4.152s
m4.large, ap-northeast-1c, upload, 2, 0m4.353s
m4.large, ap-northeast-1c, upload, 2, 0m3.865s
m4.large, ap-northeast-1c, upload, 2, 0m3.560s
m4.large, ap-northeast-1c, upload, 4, 0m5.102s
m4.large, ap-northeast-1c, upload, 4, 0m4.707s
m4.large, ap-northeast-1c, upload, 4, 0m4.827s
m4.large, ap-northeast-1c, upload, 4, 0m4.119s
m4.large, ap-northeast-1c, upload, 4, 0m4.176s
m4.large, ap-northeast-1c, upload, 4, 0m3.923s
m4.large, ap-northeast-1c, upload, 8, 0m4.994s
m4.large, ap-northeast-1c, upload, 8, 0m4.754s
m4.large, ap-northeast-1c, upload, 8, 0m5.310s
m4.large, ap-northeast-1c, upload, 8, 0m6.362s
m4.large, ap-northeast-1c, upload, 8, 0m5.104s
m4.large, ap-northeast-1c, upload, 8, 0m4.809s
m4.large, ap-northeast-1c, upload, 16, 0m6.627s
m4.large, ap-northeast-1c, upload, 16, 0m6.284s
m4.large, ap-northeast-1c, upload, 16, 0m6.863s
m4.large, ap-northeast-1c, upload, 16, 0m6.301s
m4.large, ap-northeast-1c, upload, 16, 0m5.823s
m4.large, ap-northeast-1c, upload, 16, 0m8.540s
m4.large, ap-northeast-1c, upload, 32, 0m7.550s
m4.large, ap-northeast-1c, upload, 32, 0m7.110s
m4.large, ap-northeast-1c, upload, 32, 0m9.889s
m4.large, ap-northeast-1c, upload, 32, 0m6.718s
m4.large, ap-northeast-1c, upload, 32, 0m6.474s
