m4.10xlarge, ap-northeast-1c, upload, 1, 0m3.585s
m4.10xlarge, ap-northeast-1c, upload, 1, 0m3.578s
m4.10xlarge, ap-northeast-1c, upload, 1, 0m3.562s
m4.10xlarge, ap-northeast-1c, upload, 1, 0m3.283s
m4.10xlarge, ap-northeast-1c, upload, 1, 0m3.391s
m4.10xlarge, ap-northeast-1c, upload, 1, 0m3.896s
m4.10xlarge, ap-northeast-1c, upload, 2, 0m4.085s
m4.10xlarge, ap-northeast-1c, upload, 2, 0m5.604s
m4.10xlarge, ap-northeast-1c, upload, 2, 0m4.440s
m4.10xlarge, ap-northeast-1c, upload, 2, 0m4.523s
m4.10xlarge, ap-northeast-1c, upload, 2, 0m4.215s
m4.10xlarge, ap-northeast-1c, upload, 2, 0m5.727s
m4.10xlarge, ap-northeast-1c, upload, 4, 0m8.720s
m4.10xlarge, ap-northeast-1c, upload, 4, 0m4.408s
m4.10xlarge, ap-northeast-1c, upload, 4, 0m4.257s
m4.10xlarge, ap-northeast-1c, upload, 4, 0m4.565s
m4.10xlarge, ap-northeast-1c, upload, 4, 0m4.234s
m4.10xlarge, ap-northeast-1c, upload, 4, 0m4.369s
m4.10xlarge, ap-northeast-1c, upload, 8, 0m4.723s
m4.10xlarge, ap-northeast-1c, upload, 8, 0m4.519s
m4.10xlarge, ap-northeast-1c, upload, 8, 0m4.683s
m4.10xlarge, ap-northeast-1c, upload, 8, 0m4.241s
m4.10xlarge, ap-northeast-1c, upload, 8, 0m4.496s
m4.10xlarge, ap-northeast-1c, upload, 8, 0m4.937s
m4.10xlarge, ap-northeast-1c, upload, 16, 0m5.382s
m4.10xlarge, ap-northeast-1c, upload, 16, 0m5.781s
m4.10xlarge, ap-northeast-1c, upload, 16, 0m5.720s
m4.10xlarge, ap-northeast-1c, upload, 16, 0m7.450s
m4.10xlarge, ap-northeast-1c, upload, 16, 0m5.334s
m4.10xlarge, ap-northeast-1c, upload, 16, 0m6.647s
m4.10xlarge, ap-northeast-1c, upload, 32, 0m8.133s
m4.10xlarge, ap-northeast-1c, upload, 32, 0m5.552s
m4.10xlarge, ap-northeast-1c, upload, 32, 0m5.569s
m4.10xlarge, ap-northeast-1c, upload, 32, 0m5.886s
m4.10xlarge, ap-northeast-1c, upload, 32, 0m6.665s
m4.10xlarge, ap-northeast-1c, upload, 32, 0m7.114s
m4.10xlarge, ap-northeast-1c, upload, 64, 0m13.578s
m4.10xlarge, ap-northeast-1c, upload, 64, 0m5.705s
m4.10xlarge, ap-northeast-1c, upload, 64, 0m5.855s
m4.10xlarge, ap-northeast-1c, upload, 64, 0m6.572s
m4.10xlarge, ap-northeast-1c, upload, 64, 0m6.172s
m4.10xlarge, ap-northeast-1c, upload, 64, 0m5.781s
m4.10xlarge, ap-northeast-1c, upload, 128, 0m6.131s
m4.10xlarge, ap-northeast-1c, upload, 128, 0m24.682s
m4.10xlarge, ap-northeast-1c, upload, 128, 0m6.521s
m4.10xlarge, ap-northeast-1c, upload, 128, 0m6.688s
m4.10xlarge, ap-northeast-1c, upload, 128, 0m8.020s
m4.10xlarge, ap-northeast-1c, upload, 128, 0m6.349s
m4.10xlarge, ap-northeast-1c, upload, 256, 0m10.732s
m4.10xlarge, ap-northeast-1c, upload, 256, 0m17.078s
m4.10xlarge, ap-northeast-1c, upload, 256, 0m8.227s
m4.10xlarge, ap-northeast-1c, upload, 256, 0m8.004s
m4.10xlarge, ap-northeast-1c, upload, 256, 0m33.825s
m4.10xlarge, ap-northeast-1c, upload, 256, 0m14.341s
m4.10xlarge, ap-northeast-1c, upload, 512, 0m10.117s
m4.10xlarge, ap-northeast-1c, upload, 512, 0m34.047s
m4.10xlarge, ap-northeast-1c, upload, 512, 0m10.510s
m4.10xlarge, ap-northeast-1c, upload, 512, 0m10.728s
m4.10xlarge, ap-northeast-1c, upload, 512, 0m11.258s
m4.10xlarge, ap-northeast-1c, upload, 512, 0m10.342s
m4.10xlarge, ap-northeast-1c, upload, 1024, 0m21.604s
m4.10xlarge, ap-northeast-1c, upload, 1024, 0m16.631s
m4.10xlarge, ap-northeast-1c, upload, 1024, 0m24.936s
m4.10xlarge, ap-northeast-1c, upload, 1024, 0m17.858s
m4.10xlarge, ap-northeast-1c, upload, 1024, 0m34.270s
m4.10xlarge, ap-northeast-1c, upload, 1024, 0m35.696s
m4.10xlarge, ap-northeast-1c, upload, 2048, 0m44.268s
m4.10xlarge, ap-northeast-1c, upload, 2048, 0m37.505s
m4.10xlarge, ap-northeast-1c, upload, 2048, 0m34.235s
m4.10xlarge, ap-northeast-1c, upload, 2048, 0m41.464s
m4.10xlarge, ap-northeast-1c, upload, 2048, 0m33.260s
m4.10xlarge, ap-northeast-1c, upload, 2048, 0m43.206s
m4.10xlarge, ap-northeast-1c, upload, 4096, 1m7.715s
m4.10xlarge, ap-northeast-1c, upload, 4096, 1m14.349s
m4.10xlarge, ap-northeast-1c, upload, 4096, 1m25.876s
