c4.8xlarge, us-east-1b, upload, 1, 0m1.541s
c4.8xlarge, us-east-1b, upload, 1, 0m1.391s
c4.8xlarge, us-east-1b, upload, 1, 0m1.435s
c4.8xlarge, us-east-1b, upload, 1, 0m1.367s
c4.8xlarge, us-east-1b, upload, 1, 0m1.377s
c4.8xlarge, us-east-1b, upload, 1, 0m1.450s
c4.8xlarge, us-east-1b, upload, 2, 0m1.549s
c4.8xlarge, us-east-1b, upload, 2, 0m1.648s
c4.8xlarge, us-east-1b, upload, 2, 0m1.500s
c4.8xlarge, us-east-1b, upload, 2, 0m1.457s
c4.8xlarge, us-east-1b, upload, 2, 0m1.427s
c4.8xlarge, us-east-1b, upload, 2, 0m1.464s
c4.8xlarge, us-east-1b, upload, 4, 0m3.046s
c4.8xlarge, us-east-1b, upload, 4, 0m1.695s
c4.8xlarge, us-east-1b, upload, 4, 0m1.475s
c4.8xlarge, us-east-1b, upload, 4, 0m1.506s
c4.8xlarge, us-east-1b, upload, 4, 0m1.432s
c4.8xlarge, us-east-1b, upload, 4, 0m1.477s
c4.8xlarge, us-east-1b, upload, 8, 0m1.673s
c4.8xlarge, us-east-1b, upload, 8, 0m2.433s
c4.8xlarge, us-east-1b, upload, 8, 0m1.831s
c4.8xlarge, us-east-1b, upload, 8, 0m1.712s
c4.8xlarge, us-east-1b, upload, 8, 0m2.315s
c4.8xlarge, us-east-1b, upload, 8, 0m1.619s
c4.8xlarge, us-east-1b, upload, 16, 0m2.473s
c4.8xlarge, us-east-1b, upload, 16, 0m2.170s
c4.8xlarge, us-east-1b, upload, 16, 0m1.727s
c4.8xlarge, us-east-1b, upload, 16, 0m1.828s
c4.8xlarge, us-east-1b, upload, 16, 0m1.907s
c4.8xlarge, us-east-1b, upload, 16, 0m1.832s
c4.8xlarge, us-east-1b, upload, 32, 0m2.302s
c4.8xlarge, us-east-1b, upload, 32, 0m2.291s
c4.8xlarge, us-east-1b, upload, 32, 0m2.137s
c4.8xlarge, us-east-1b, upload, 32, 0m1.791s
c4.8xlarge, us-east-1b, upload, 32, 0m6.566s
c4.8xlarge, us-east-1b, upload, 32, 0m1.778s
c4.8xlarge, us-east-1b, upload, 64, 0m2.118s
c4.8xlarge, us-east-1b, upload, 64, 0m1.943s
c4.8xlarge, us-east-1b, upload, 64, 0m2.037s
c4.8xlarge, us-east-1b, upload, 64, 0m2.022s
c4.8xlarge, us-east-1b, upload, 64, 0m1.975s
c4.8xlarge, us-east-1b, upload, 64, 0m2.436s
c4.8xlarge, us-east-1b, upload, 128, 0m2.592s
c4.8xlarge, us-east-1b, upload, 128, 0m2.762s
c4.8xlarge, us-east-1b, upload, 128, 0m2.795s
c4.8xlarge, us-east-1b, upload, 128, 0m7.007s
c4.8xlarge, us-east-1b, upload, 128, 0m2.301s
c4.8xlarge, us-east-1b, upload, 128, 0m9.037s
c4.8xlarge, us-east-1b, upload, 256, 0m8.092s
c4.8xlarge, us-east-1b, upload, 256, 0m3.141s
c4.8xlarge, us-east-1b, upload, 256, 0m3.220s
c4.8xlarge, us-east-1b, upload, 256, 0m3.092s
c4.8xlarge, us-east-1b, upload, 256, 0m3.132s
c4.8xlarge, us-east-1b, upload, 256, 0m4.996s
c4.8xlarge, us-east-1b, upload, 512, 0m25.844s
c4.8xlarge, us-east-1b, upload, 512, 0m4.782s
c4.8xlarge, us-east-1b, upload, 512, 0m13.578s
c4.8xlarge, us-east-1b, upload, 512, 0m5.383s
c4.8xlarge, us-east-1b, upload, 512, 0m4.494s
c4.8xlarge, us-east-1b, upload, 512, 0m5.557s
c4.8xlarge, us-east-1b, upload, 1024, 0m8.937s
c4.8xlarge, us-east-1b, upload, 1024, 0m28.661s
c4.8xlarge, us-east-1b, upload, 1024, 0m17.987s
c4.8xlarge, us-east-1b, upload, 1024, 0m11.753s
c4.8xlarge, us-east-1b, upload, 1024, 0m6.766s
c4.8xlarge, us-east-1b, upload, 1024, 0m7.589s
c4.8xlarge, us-east-1b, upload, 2048, 0m18.471s
c4.8xlarge, us-east-1b, upload, 2048, 0m15.242s
c4.8xlarge, us-east-1b, upload, 2048, 0m29.523s
c4.8xlarge, us-east-1b, upload, 2048, 0m13.946s
c4.8xlarge, us-east-1b, upload, 2048, 0m16.573s
c4.8xlarge, us-east-1b, upload, 2048, 0m29.042s
c4.8xlarge, us-east-1b, upload, 4096, 0m28.313s
c4.8xlarge, us-east-1b, upload, 4096, 0m27.608s
c4.8xlarge, us-east-1b, upload, 4096, 0m30.492s
c4.8xlarge, us-east-1b, upload, 4096, 0m23.477s
c4.8xlarge, us-east-1b, upload, 4096, 0m47.740s
c4.8xlarge, us-east-1b, upload, 4096, 0m30.413s
c4.8xlarge, us-east-1b, upload, 8192, 
c4.8xlarge, us-east-1b, upload, 8192, 
c4.8xlarge, us-east-1b, upload, 8192, 
c4.8xlarge, us-east-1b, upload, 8192, 
c4.8xlarge, us-east-1b, upload, 8192, 
c4.8xlarge, us-east-1b, upload, 8192, 
c4.8xlarge, us-east-1b, download, 1, 0m1.404s
c4.8xlarge, us-east-1b, download, 1, 0m1.346s
c4.8xlarge, us-east-1b, download, 1, 0m1.330s
c4.8xlarge, us-east-1b, download, 1, 0m1.346s
c4.8xlarge, us-east-1b, download, 1, 0m1.328s
c4.8xlarge, us-east-1b, download, 1, 0m1.332s
c4.8xlarge, us-east-1b, download, 2, 0m1.439s
c4.8xlarge, us-east-1b, download, 2, 0m1.376s
c4.8xlarge, us-east-1b, download, 2, 0m1.339s
c4.8xlarge, us-east-1b, download, 2, 0m1.330s
c4.8xlarge, us-east-1b, download, 2, 0m1.401s
c4.8xlarge, us-east-1b, download, 2, 0m1.344s
c4.8xlarge, us-east-1b, download, 4, 0m1.510s
c4.8xlarge, us-east-1b, download, 4, 0m1.433s
c4.8xlarge, us-east-1b, download, 4, 0m1.395s
c4.8xlarge, us-east-1b, download, 4, 0m1.379s
c4.8xlarge, us-east-1b, download, 4, 0m1.345s
c4.8xlarge, us-east-1b, download, 4, 0m1.390s
c4.8xlarge, us-east-1b, download, 8, 0m1.639s
c4.8xlarge, us-east-1b, download, 8, 0m1.496s
c4.8xlarge, us-east-1b, download, 8, 0m1.405s
c4.8xlarge, us-east-1b, download, 8, 0m1.396s
c4.8xlarge, us-east-1b, download, 8, 0m1.392s
c4.8xlarge, us-east-1b, download, 8, 0m1.380s
c4.8xlarge, us-east-1b, download, 16, 0m1.578s
c4.8xlarge, us-east-1b, download, 16, 0m1.582s
c4.8xlarge, us-east-1b, download, 16, 0m1.505s
c4.8xlarge, us-east-1b, download, 16, 0m1.440s
c4.8xlarge, us-east-1b, download, 16, 0m1.654s
c4.8xlarge, us-east-1b, download, 16, 0m1.437s
