c4.xlarge, ap-northeast-1c, upload, 1, 0m4.305s
c4.xlarge, ap-northeast-1c, upload, 1, 0m3.473s
c4.xlarge, ap-northeast-1c, upload, 1, 0m3.463s
c4.xlarge, ap-northeast-1c, upload, 1, 0m3.476s
c4.xlarge, ap-northeast-1c, upload, 1, 0m3.341s
c4.xlarge, ap-northeast-1c, upload, 1, 0m4.155s
c4.xlarge, ap-northeast-1c, upload, 2, 0m4.127s
c4.xlarge, ap-northeast-1c, upload, 2, 0m4.191s
c4.xlarge, ap-northeast-1c, upload, 2, 0m3.872s
c4.xlarge, ap-northeast-1c, upload, 2, 0m4.033s
c4.xlarge, ap-northeast-1c, upload, 2, 0m3.634s
c4.xlarge, ap-northeast-1c, upload, 2, 0m3.786s
c4.xlarge, ap-northeast-1c, upload, 4, 0m4.373s
c4.xlarge, ap-northeast-1c, upload, 4, 0m4.120s
c4.xlarge, ap-northeast-1c, upload, 4, 0m3.898s
c4.xlarge, ap-northeast-1c, upload, 4, 0m4.160s
c4.xlarge, ap-northeast-1c, upload, 4, 0m3.929s
c4.xlarge, ap-northeast-1c, upload, 4, 0m3.958s
c4.xlarge, ap-northeast-1c, upload, 8, 0m4.626s
c4.xlarge, ap-northeast-1c, upload, 8, 0m4.846s
c4.xlarge, ap-northeast-1c, upload, 8, 0m5.271s
c4.xlarge, ap-northeast-1c, upload, 8, 0m4.342s
c4.xlarge, ap-northeast-1c, upload, 8, 0m4.361s
c4.xlarge, ap-northeast-1c, upload, 8, 0m5.180s
c4.xlarge, ap-northeast-1c, upload, 16, 0m6.085s
c4.xlarge, ap-northeast-1c, upload, 16, 0m5.935s
c4.xlarge, ap-northeast-1c, upload, 16, 0m5.594s
c4.xlarge, ap-northeast-1c, upload, 16, 0m5.263s
c4.xlarge, ap-northeast-1c, upload, 16, 0m5.683s
c4.xlarge, ap-northeast-1c, upload, 16, 0m5.991s
c4.xlarge, ap-northeast-1c, upload, 32, 0m6.141s
c4.xlarge, ap-northeast-1c, upload, 32, 0m10.791s
c4.xlarge, ap-northeast-1c, upload, 32, 0m9.488s
c4.xlarge, ap-northeast-1c, upload, 32, 0m7.076s
c4.xlarge, ap-northeast-1c, upload, 32, 0m7.926s
c4.xlarge, ap-northeast-1c, upload, 32, 0m6.461s
c4.xlarge, ap-northeast-1c, upload, 64, 0m15.335s
c4.xlarge, ap-northeast-1c, upload, 64, 0m14.025s
c4.xlarge, ap-northeast-1c, upload, 64, 0m7.161s
c4.xlarge, ap-northeast-1c, upload, 64, 0m7.353s
c4.xlarge, ap-northeast-1c, upload, 64, 0m10.109s
c4.xlarge, ap-northeast-1c, upload, 64, 0m7.344s
c4.xlarge, ap-northeast-1c, upload, 128, 0m9.516s
c4.xlarge, ap-northeast-1c, upload, 128, 0m8.473s
c4.xlarge, ap-northeast-1c, upload, 128, 0m7.786s
c4.xlarge, ap-northeast-1c, upload, 128, 0m10.452s
c4.xlarge, ap-northeast-1c, upload, 128, 0m8.542s
c4.xlarge, ap-northeast-1c, upload, 128, 0m13.176s
c4.xlarge, ap-northeast-1c, upload, 256, 0m11.775s
c4.xlarge, ap-northeast-1c, upload, 256, 0m14.147s
c4.xlarge, ap-northeast-1c, upload, 256, 0m16.225s
c4.xlarge, ap-northeast-1c, upload, 256, 0m11.661s
c4.xlarge, ap-northeast-1c, upload, 256, 0m12.443s
c4.xlarge, ap-northeast-1c, upload, 256, 0m14.182s
c4.xlarge, ap-northeast-1c, upload, 512, 0m22.651s
c4.xlarge, ap-northeast-1c, upload, 512, 0m21.813s
c4.xlarge, ap-northeast-1c, upload, 512, 0m20.178s
c4.xlarge, ap-northeast-1c, upload, 512, 0m21.461s
c4.xlarge, ap-northeast-1c, upload, 512, 0m23.154s
c4.xlarge, ap-northeast-1c, upload, 512, 0m17.595s
c4.xlarge, ap-northeast-1c, upload, 1024, 0m37.591s
c4.xlarge, ap-northeast-1c, upload, 1024, 0m43.304s
c4.xlarge, ap-northeast-1c, upload, 1024, 0m32.482s
c4.xlarge, ap-northeast-1c, upload, 1024, 0m59.228s
c4.xlarge, ap-northeast-1c, upload, 1024, 0m37.530s
c4.xlarge, ap-northeast-1c, upload, 1024, 0m30.954s
c4.xlarge, ap-northeast-1c, upload, 2048, 1m2.126s
c4.xlarge, ap-northeast-1c, upload, 2048, 1m18.298s
c4.xlarge, ap-northeast-1c, upload, 2048, 1m6.018s
c4.xlarge, ap-northeast-1c, upload, 2048, 1m8.704s
c4.xlarge, ap-northeast-1c, upload, 2048, 1m9.130s
c4.xlarge, ap-northeast-1c, upload, 2048, 1m0.730s
c4.xlarge, ap-northeast-1c, upload, 4096, 1m58.385s
c4.xlarge, ap-northeast-1c, upload, 4096, 2m24.288s
c4.xlarge, ap-northeast-1c, upload, 4096, 2m4.120s
c4.xlarge, ap-northeast-1c, upload, 4096, 2m5.159s
c4.xlarge, ap-northeast-1c, upload, 4096, 1m59.853s
c4.xlarge, ap-northeast-1c, upload, 4096, 2m28.383s
c4.xlarge, ap-northeast-1c, upload, 8192, 3m9.190s
c4.xlarge, ap-northeast-1c, upload, 8192, 4m17.066s
c4.xlarge, ap-northeast-1c, upload, 8192, 3m5.513s
c4.xlarge, ap-northeast-1c, upload, 8192, 3m26.166s
c4.xlarge, ap-northeast-1c, upload, 8192, 4m33.314s
c4.xlarge, ap-northeast-1c, upload, 8192, 3m0.597s
