m4.10xlarge, us-west-2c, upload, 1, 0m3.568s
m4.10xlarge, us-west-2c, upload, 1, 0m2.775s
m4.10xlarge, us-west-2c, upload, 1, 0m3.126s
m4.10xlarge, us-west-2c, upload, 1, 0m3.923s
m4.10xlarge, us-west-2c, upload, 1, 0m2.736s
m4.10xlarge, us-west-2c, upload, 1, 0m5.183s
m4.10xlarge, us-west-2c, upload, 2, 0m2.787s
m4.10xlarge, us-west-2c, upload, 2, 0m4.414s
m4.10xlarge, us-west-2c, upload, 2, 0m3.064s
m4.10xlarge, us-west-2c, upload, 2, 0m2.709s
m4.10xlarge, us-west-2c, upload, 2, 0m3.582s
m4.10xlarge, us-west-2c, upload, 2, 0m3.750s
m4.10xlarge, us-west-2c, upload, 4, 0m3.378s
m4.10xlarge, us-west-2c, upload, 4, 0m2.995s
m4.10xlarge, us-west-2c, upload, 4, 0m5.774s
m4.10xlarge, us-west-2c, upload, 4, 0m4.212s
m4.10xlarge, us-west-2c, upload, 4, 0m7.133s
m4.10xlarge, us-west-2c, upload, 4, 0m3.231s
m4.10xlarge, us-west-2c, upload, 8, 0m11.228s
m4.10xlarge, us-west-2c, upload, 8, 0m3.208s
m4.10xlarge, us-west-2c, upload, 8, 0m8.536s
m4.10xlarge, us-west-2c, upload, 8, 0m3.293s
m4.10xlarge, us-west-2c, upload, 8, 0m3.458s
m4.10xlarge, us-west-2c, upload, 8, 0m6.699s
m4.10xlarge, us-west-2c, upload, 16, 0m4.561s
m4.10xlarge, us-west-2c, upload, 16, 0m7.820s
m4.10xlarge, us-west-2c, upload, 16, 0m4.662s
m4.10xlarge, us-west-2c, upload, 16, 0m3.931s
m4.10xlarge, us-west-2c, upload, 16, 0m5.638s
m4.10xlarge, us-west-2c, upload, 16, 0m4.659s
m4.10xlarge, us-west-2c, upload, 32, 0m3.828s
m4.10xlarge, us-west-2c, upload, 32, 0m4.345s
m4.10xlarge, us-west-2c, upload, 32, 0m4.164s
m4.10xlarge, us-west-2c, upload, 32, 0m4.073s
m4.10xlarge, us-west-2c, upload, 32, 0m5.585s
m4.10xlarge, us-west-2c, upload, 32, 0m11.210s
m4.10xlarge, us-west-2c, upload, 64, 0m4.289s
m4.10xlarge, us-west-2c, upload, 64, 0m4.911s
m4.10xlarge, us-west-2c, upload, 64, 0m6.943s
