m4.large, eu-central-1a, upload, 1, 0m2.817s
m4.large, eu-central-1a, upload, 1, 0m2.566s
m4.large, eu-central-1a, upload, 1, 0m2.605s
m4.large, eu-central-1a, upload, 1, 0m2.505s
m4.large, eu-central-1a, upload, 1, 0m2.593s
m4.large, eu-central-1a, upload, 1, 0m2.464s
m4.large, eu-central-1a, upload, 2, 0m2.901s
m4.large, eu-central-1a, upload, 2, 0m2.643s
m4.large, eu-central-1a, upload, 2, 0m3.174s
m4.large, eu-central-1a, upload, 2, 0m2.627s
m4.large, eu-central-1a, upload, 2, 0m2.909s
m4.large, eu-central-1a, upload, 2, 0m3.215s
m4.large, eu-central-1a, upload, 4, 0m2.883s
m4.large, eu-central-1a, upload, 4, 0m3.047s
m4.large, eu-central-1a, upload, 4, 0m3.350s
m4.large, eu-central-1a, upload, 4, 0m3.719s
m4.large, eu-central-1a, upload, 4, 0m3.512s
m4.large, eu-central-1a, upload, 4, 0m3.261s
m4.large, eu-central-1a, upload, 8, 0m3.279s
m4.large, eu-central-1a, upload, 8, 0m3.526s
m4.large, eu-central-1a, upload, 8, 0m3.585s
m4.large, eu-central-1a, upload, 8, 0m3.379s
m4.large, eu-central-1a, upload, 8, 0m3.359s
m4.large, eu-central-1a, upload, 8, 0m3.339s
m4.large, eu-central-1a, upload, 16, 0m4.249s
m4.large, eu-central-1a, upload, 16, 0m3.968s
m4.large, eu-central-1a, upload, 16, 0m4.007s
m4.large, eu-central-1a, upload, 16, 0m4.691s
m4.large, eu-central-1a, upload, 16, 0m4.110s
m4.large, eu-central-1a, upload, 16, 0m4.813s
m4.large, eu-central-1a, upload, 32, 0m5.278s
m4.large, eu-central-1a, upload, 32, 0m5.566s
m4.large, eu-central-1a, upload, 32, 0m6.555s
m4.large, eu-central-1a, upload, 32, 0m5.025s
m4.large, eu-central-1a, upload, 32, 0m4.551s
m4.large, eu-central-1a, upload, 32, 0m6.504s
m4.large, eu-central-1a, upload, 64, 0m7.527s
m4.large, eu-central-1a, upload, 64, 0m5.760s
m4.large, eu-central-1a, upload, 64, 0m6.776s
m4.large, eu-central-1a, upload, 64, 0m7.070s
m4.large, eu-central-1a, upload, 64, 0m6.849s
m4.large, eu-central-1a, upload, 64, 0m6.577s
m4.large, eu-central-1a, upload, 128, 0m8.123s
m4.large, eu-central-1a, upload, 128, 0m10.136s
m4.large, eu-central-1a, upload, 128, 0m8.067s
m4.large, eu-central-1a, upload, 128, 0m9.169s
m4.large, eu-central-1a, upload, 128, 0m8.489s
m4.large, eu-central-1a, upload, 128, 0m9.825s
m4.large, eu-central-1a, upload, 256, 0m12.017s
m4.large, eu-central-1a, upload, 256, 0m21.776s
m4.large, eu-central-1a, upload, 256, 0m18.797s
m4.large, eu-central-1a, upload, 256, 0m14.411s
m4.large, eu-central-1a, upload, 256, 0m12.342s
m4.large, eu-central-1a, upload, 256, 0m11.633s
m4.large, eu-central-1a, upload, 512, 0m19.689s
m4.large, eu-central-1a, upload, 512, 0m20.056s
m4.large, eu-central-1a, upload, 512, 0m20.075s
m4.large, eu-central-1a, upload, 512, 0m20.880s
m4.large, eu-central-1a, upload, 512, 0m19.074s
m4.large, eu-central-1a, upload, 512, 0m21.125s
m4.large, eu-central-1a, upload, 1024, 0m31.763s
m4.large, eu-central-1a, upload, 1024, 0m33.424s
m4.large, eu-central-1a, upload, 1024, 0m32.317s
m4.large, eu-central-1a, upload, 1024, 0m37.138s
m4.large, eu-central-1a, upload, 1024, 0m38.806s
m4.large, eu-central-1a, upload, 1024, 0m33.200s
m4.large, eu-central-1a, upload, 2048, 1m14.451s
m4.large, eu-central-1a, upload, 2048, 1m2.274s
m4.large, eu-central-1a, upload, 2048, 1m0.816s
m4.large, eu-central-1a, upload, 2048, 1m2.373s
m4.large, eu-central-1a, upload, 2048, 1m4.794s
m4.large, eu-central-1a, upload, 2048, 0m58.818s
m4.large, eu-central-1a, upload, 4096, 1m56.071s
m4.large, eu-central-1a, upload, 4096, 1m57.173s
m4.large, eu-central-1a, upload, 4096, 1m57.814s
m4.large, eu-central-1a, upload, 4096, 1m59.472s
m4.large, eu-central-1a, upload, 4096, 1m56.672s
m4.large, eu-central-1a, upload, 4096, 1m54.639s
m4.large, eu-central-1a, upload, 8192, 3m4.359s
m4.large, eu-central-1a, upload, 8192, 3m18.812s
m4.large, eu-central-1a, upload, 8192, 2m56.750s
m4.large, eu-central-1a, upload, 8192, 2m59.053s
m4.large, eu-central-1a, upload, 8192, 
m4.large, eu-central-1a, upload, 8192, 2m59.424s
m4.large, eu-central-1a, download, 1, 0m2.647s
m4.large, eu-central-1a, download, 1, 0m2.260s
m4.large, eu-central-1a, download, 1, 0m2.338s
m4.large, eu-central-1a, download, 1, 0m3.183s
m4.large, eu-central-1a, download, 1, 0m3.129s
m4.large, eu-central-1a, download, 1, 0m2.549s
m4.large, eu-central-1a, download, 2, 0m2.833s
m4.large, eu-central-1a, download, 2, 0m2.579s
m4.large, eu-central-1a, download, 2, 0m2.507s
