m4.large, us-east-1b, upload, 1, 0m1.523s
m4.large, us-east-1b, upload, 1, 0m1.453s
m4.large, us-east-1b, upload, 1, 0m1.350s
m4.large, us-east-1b, upload, 1, 0m1.472s
m4.large, us-east-1b, upload, 1, 0m1.367s
m4.large, us-east-1b, upload, 1, 0m1.428s
m4.large, us-east-1b, upload, 2, 0m1.535s
m4.large, us-east-1b, upload, 2, 0m1.427s
m4.large, us-east-1b, upload, 2, 0m1.429s
m4.large, us-east-1b, upload, 2, 0m1.412s
m4.large, us-east-1b, upload, 2, 0m1.446s
m4.large, us-east-1b, upload, 2, 0m1.428s
m4.large, us-east-1b, upload, 4, 0m1.512s
m4.large, us-east-1b, upload, 4, 0m1.488s
m4.large, us-east-1b, upload, 4, 0m1.483s
m4.large, us-east-1b, upload, 4, 0m1.563s
m4.large, us-east-1b, upload, 4, 0m1.722s
m4.large, us-east-1b, upload, 4, 0m1.598s
m4.large, us-east-1b, upload, 8, 0m1.736s
m4.large, us-east-1b, upload, 8, 0m1.696s
m4.large, us-east-1b, upload, 8, 0m1.735s
m4.large, us-east-1b, upload, 8, 0m1.742s
m4.large, us-east-1b, upload, 8, 0m1.678s
m4.large, us-east-1b, upload, 8, 0m1.673s
m4.large, us-east-1b, upload, 16, 0m1.813s
m4.large, us-east-1b, upload, 16, 0m1.788s
m4.large, us-east-1b, upload, 16, 0m1.901s
m4.large, us-east-1b, upload, 16, 0m2.053s
m4.large, us-east-1b, upload, 16, 0m2.381s
m4.large, us-east-1b, upload, 16, 0m1.793s
m4.large, us-east-1b, upload, 32, 0m2.021s
m4.large, us-east-1b, upload, 32, 0m1.994s
m4.large, us-east-1b, upload, 32, 0m2.151s
m4.large, us-east-1b, upload, 32, 0m2.468s
m4.large, us-east-1b, upload, 32, 0m1.932s
m4.large, us-east-1b, upload, 32, 0m2.712s
m4.large, us-east-1b, upload, 64, 0m3.435s
m4.large, us-east-1b, upload, 64, 0m2.549s
m4.large, us-east-1b, upload, 64, 0m2.496s
m4.large, us-east-1b, upload, 64, 0m2.636s
m4.large, us-east-1b, upload, 64, 0m4.408s
m4.large, us-east-1b, upload, 64, 0m2.438s
m4.large, us-east-1b, upload, 128, 0m4.306s
m4.large, us-east-1b, upload, 128, 0m3.318s
m4.large, us-east-1b, upload, 128, 0m9.206s
m4.large, us-east-1b, upload, 128, 0m3.360s
m4.large, us-east-1b, upload, 128, 0m3.568s
m4.large, us-east-1b, upload, 128, 0m3.442s
m4.large, us-east-1b, upload, 256, 0m7.149s
m4.large, us-east-1b, upload, 256, 0m5.332s
m4.large, us-east-1b, upload, 256, 0m5.356s
m4.large, us-east-1b, upload, 256, 0m5.261s
m4.large, us-east-1b, upload, 256, 0m5.582s
m4.large, us-east-1b, upload, 256, 0m7.437s
m4.large, us-east-1b, upload, 512, 0m10.638s
m4.large, us-east-1b, upload, 512, 0m9.093s
m4.large, us-east-1b, upload, 512, 0m26.678s
m4.large, us-east-1b, upload, 512, 0m9.107s
m4.large, us-east-1b, upload, 512, 0m9.435s
m4.large, us-east-1b, upload, 512, 0m9.587s
m4.large, us-east-1b, upload, 1024, 0m19.170s
m4.large, us-east-1b, upload, 1024, 0m20.858s
m4.large, us-east-1b, upload, 1024, 0m18.893s
m4.large, us-east-1b, upload, 1024, 0m28.099s
m4.large, us-east-1b, upload, 1024, 0m19.011s
m4.large, us-east-1b, upload, 1024, 0m18.938s
m4.large, us-east-1b, upload, 2048, 0m40.449s
m4.large, us-east-1b, upload, 2048, 0m39.529s
m4.large, us-east-1b, upload, 2048, 0m43.300s
m4.large, us-east-1b, upload, 2048, 0m42.545s
m4.large, us-east-1b, upload, 2048, 0m38.952s
m4.large, us-east-1b, upload, 2048, 0m39.434s
m4.large, us-east-1b, upload, 4096, 1m19.049s
m4.large, us-east-1b, upload, 4096, 1m34.835s
m4.large, us-east-1b, upload, 4096, 1m19.047s
m4.large, us-east-1b, upload, 4096, 1m19.079s
m4.large, us-east-1b, upload, 4096, 1m19.470s
m4.large, us-east-1b, upload, 4096, 1m19.095s
m4.large, us-east-1b, upload, 8192, 2m14.403s
m4.large, us-east-1b, upload, 8192, 2m22.808s
m4.large, us-east-1b, upload, 8192, 2m12.624s
m4.large, us-east-1b, upload, 8192, 2m12.588s
m4.large, us-east-1b, upload, 8192, 2m13.966s
m4.large, us-east-1b, upload, 8192, 2m18.092s
m4.large, us-east-1b, download, 1, 0m1.318s
m4.large, us-east-1b, download, 1, 0m1.323s
m4.large, us-east-1b, download, 1, 0m1.310s
m4.large, us-east-1b, download, 1, 0m1.390s
m4.large, us-east-1b, download, 1, 0m1.322s
m4.large, us-east-1b, download, 1, 0m1.333s
m4.large, us-east-1b, download, 2, 0m1.401s
m4.large, us-east-1b, download, 2, 0m1.327s
m4.large, us-east-1b, download, 2, 0m1.319s
m4.large, us-east-1b, download, 2, 0m1.321s
m4.large, us-east-1b, download, 2, 0m1.336s
m4.large, us-east-1b, download, 2, 0m1.323s
m4.large, us-east-1b, download, 4, 0m1.425s
m4.large, us-east-1b, download, 4, 0m1.751s
m4.large, us-east-1b, download, 4, 0m1.593s
m4.large, us-east-1b, download, 4, 0m1.618s
m4.large, us-east-1b, download, 4, 0m1.352s
m4.large, us-east-1b, download, 4, 0m1.391s
m4.large, us-east-1b, download, 8, 0m1.456s
m4.large, us-east-1b, download, 8, 0m1.459s
m4.large, us-east-1b, download, 8, 0m1.893s
m4.large, us-east-1b, download, 8, 0m2.822s
m4.large, us-east-1b, download, 8, 0m1.556s
m4.large, us-east-1b, download, 8, 0m1.446s
m4.large, us-east-1b, download, 16, 0m1.580s
m4.large, us-east-1b, download, 16, 0m1.554s
m4.large, us-east-1b, download, 16, 0m1.572s
m4.large, us-east-1b, download, 16, 0m1.514s
