c4.8xlarge, us-west-2c, upload, 1, 0m3.389s
c4.8xlarge, us-west-2c, upload, 1, 0m4.423s
c4.8xlarge, us-west-2c, upload, 1, 0m2.814s
c4.8xlarge, us-west-2c, upload, 1, 0m2.620s
c4.8xlarge, us-west-2c, upload, 1, 0m3.915s
c4.8xlarge, us-west-2c, upload, 1, 0m2.420s
c4.8xlarge, us-west-2c, upload, 2, 0m2.645s
c4.8xlarge, us-west-2c, upload, 2, 0m3.081s
c4.8xlarge, us-west-2c, upload, 2, 0m3.155s
c4.8xlarge, us-west-2c, upload, 2, 0m2.626s
c4.8xlarge, us-west-2c, upload, 2, 0m2.593s
c4.8xlarge, us-west-2c, upload, 2, 0m3.065s
c4.8xlarge, us-west-2c, upload, 4, 0m3.032s
c4.8xlarge, us-west-2c, upload, 4, 0m3.006s
c4.8xlarge, us-west-2c, upload, 4, 0m3.274s
c4.8xlarge, us-west-2c, upload, 4, 0m2.850s
c4.8xlarge, us-west-2c, upload, 4, 0m3.284s
c4.8xlarge, us-west-2c, upload, 4, 0m3.263s
c4.8xlarge, us-west-2c, upload, 8, 0m3.356s
c4.8xlarge, us-west-2c, upload, 8, 0m2.930s
c4.8xlarge, us-west-2c, upload, 8, 0m2.780s
c4.8xlarge, us-west-2c, upload, 8, 0m4.551s
c4.8xlarge, us-west-2c, upload, 8, 0m3.390s
c4.8xlarge, us-west-2c, upload, 8, 0m3.256s
c4.8xlarge, us-west-2c, upload, 16, 0m3.889s
c4.8xlarge, us-west-2c, upload, 16, 0m3.770s
c4.8xlarge, us-west-2c, upload, 16, 0m3.800s
c4.8xlarge, us-west-2c, upload, 16, 0m3.825s
c4.8xlarge, us-west-2c, upload, 16, 0m4.272s
c4.8xlarge, us-west-2c, upload, 16, 0m3.738s
c4.8xlarge, us-west-2c, upload, 32, 0m5.298s
c4.8xlarge, us-west-2c, upload, 32, 0m4.172s
c4.8xlarge, us-west-2c, upload, 32, 0m3.862s
c4.8xlarge, us-west-2c, upload, 32, 0m4.475s
c4.8xlarge, us-west-2c, upload, 32, 0m3.777s
c4.8xlarge, us-west-2c, upload, 32, 0m4.550s
c4.8xlarge, us-west-2c, upload, 64, 0m4.266s
c4.8xlarge, us-west-2c, upload, 64, 0m4.258s
c4.8xlarge, us-west-2c, upload, 64, 0m5.420s
c4.8xlarge, us-west-2c, upload, 64, 0m4.139s
c4.8xlarge, us-west-2c, upload, 64, 0m5.045s
c4.8xlarge, us-west-2c, upload, 64, 0m6.107s
c4.8xlarge, us-west-2c, upload, 128, 0m6.331s
c4.8xlarge, us-west-2c, upload, 128, 0m4.342s
c4.8xlarge, us-west-2c, upload, 128, 0m6.862s
c4.8xlarge, us-west-2c, upload, 128, 0m4.728s
c4.8xlarge, us-west-2c, upload, 128, 0m4.442s
c4.8xlarge, us-west-2c, upload, 128, 0m5.165s
c4.8xlarge, us-west-2c, upload, 256, 0m7.351s
c4.8xlarge, us-west-2c, upload, 256, 0m6.195s
c4.8xlarge, us-west-2c, upload, 256, 0m8.518s
c4.8xlarge, us-west-2c, upload, 256, 0m5.941s
c4.8xlarge, us-west-2c, upload, 256, 0m5.676s
c4.8xlarge, us-west-2c, upload, 256, 0m6.545s
c4.8xlarge, us-west-2c, upload, 512, 0m18.985s
c4.8xlarge, us-west-2c, upload, 512, 0m7.051s
c4.8xlarge, us-west-2c, upload, 512, 0m7.248s
c4.8xlarge, us-west-2c, upload, 512, 0m10.497s
c4.8xlarge, us-west-2c, upload, 512, 0m10.217s
c4.8xlarge, us-west-2c, upload, 512, 0m15.814s
c4.8xlarge, us-west-2c, upload, 1024, 0m16.115s
c4.8xlarge, us-west-2c, upload, 1024, 0m15.512s
c4.8xlarge, us-west-2c, upload, 1024, 0m18.359s
c4.8xlarge, us-west-2c, upload, 1024, 0m11.425s
