c4.xlarge, eu-central-1a, upload, 1, 0m2.807s
c4.xlarge, eu-central-1a, upload, 1, 0m2.497s
c4.xlarge, eu-central-1a, upload, 1, 0m2.759s
c4.xlarge, eu-central-1a, upload, 1, 0m2.357s
c4.xlarge, eu-central-1a, upload, 1, 0m2.435s
c4.xlarge, eu-central-1a, upload, 1, 0m2.574s
c4.xlarge, eu-central-1a, upload, 2, 0m2.765s
c4.xlarge, eu-central-1a, upload, 2, 0m3.005s
c4.xlarge, eu-central-1a, upload, 2, 0m3.046s
c4.xlarge, eu-central-1a, upload, 2, 0m2.961s
c4.xlarge, eu-central-1a, upload, 2, 0m2.739s
c4.xlarge, eu-central-1a, upload, 2, 0m2.699s
c4.xlarge, eu-central-1a, upload, 4, 0m2.909s
c4.xlarge, eu-central-1a, upload, 4, 0m3.022s
c4.xlarge, eu-central-1a, upload, 4, 0m2.939s
c4.xlarge, eu-central-1a, upload, 4, 0m2.962s
c4.xlarge, eu-central-1a, upload, 4, 0m3.012s
c4.xlarge, eu-central-1a, upload, 4, 0m2.886s
c4.xlarge, eu-central-1a, upload, 8, 0m3.093s
c4.xlarge, eu-central-1a, upload, 8, 0m3.557s
c4.xlarge, eu-central-1a, upload, 8, 0m3.334s
c4.xlarge, eu-central-1a, upload, 8, 0m3.498s
c4.xlarge, eu-central-1a, upload, 8, 0m3.467s
c4.xlarge, eu-central-1a, upload, 8, 0m3.695s
c4.xlarge, eu-central-1a, upload, 16, 0m3.544s
c4.xlarge, eu-central-1a, upload, 16, 0m4.278s
c4.xlarge, eu-central-1a, upload, 16, 0m6.628s
c4.xlarge, eu-central-1a, upload, 16, 0m3.765s
c4.xlarge, eu-central-1a, upload, 16, 0m3.608s
c4.xlarge, eu-central-1a, upload, 16, 0m3.802s
c4.xlarge, eu-central-1a, upload, 32, 0m4.361s
c4.xlarge, eu-central-1a, upload, 32, 0m4.441s
c4.xlarge, eu-central-1a, upload, 32, 0m4.547s
c4.xlarge, eu-central-1a, upload, 32, 0m5.160s
c4.xlarge, eu-central-1a, upload, 32, 0m4.934s
c4.xlarge, eu-central-1a, upload, 32, 0m4.103s
c4.xlarge, eu-central-1a, upload, 64, 0m5.372s
c4.xlarge, eu-central-1a, upload, 64, 0m5.645s
c4.xlarge, eu-central-1a, upload, 64, 0m5.296s
c4.xlarge, eu-central-1a, upload, 64, 0m4.974s
c4.xlarge, eu-central-1a, upload, 64, 0m11.636s
c4.xlarge, eu-central-1a, upload, 64, 0m5.097s
c4.xlarge, eu-central-1a, upload, 128, 0m6.303s
c4.xlarge, eu-central-1a, upload, 128, 0m5.234s
c4.xlarge, eu-central-1a, upload, 128, 0m5.832s
c4.xlarge, eu-central-1a, upload, 128, 0m5.795s
c4.xlarge, eu-central-1a, upload, 128, 0m33.934s
c4.xlarge, eu-central-1a, upload, 128, 0m6.173s
c4.xlarge, eu-central-1a, upload, 256, 0m8.733s
c4.xlarge, eu-central-1a, upload, 256, 0m8.098s
c4.xlarge, eu-central-1a, upload, 256, 0m10.877s
c4.xlarge, eu-central-1a, upload, 256, 0m10.404s
c4.xlarge, eu-central-1a, upload, 256, 0m9.565s
c4.xlarge, eu-central-1a, upload, 256, 0m8.917s
c4.xlarge, eu-central-1a, upload, 512, 0m14.251s
c4.xlarge, eu-central-1a, upload, 512, 0m13.480s
c4.xlarge, eu-central-1a, upload, 512, 0m17.615s
c4.xlarge, eu-central-1a, upload, 512, 0m15.803s
c4.xlarge, eu-central-1a, upload, 512, 0m15.350s
c4.xlarge, eu-central-1a, upload, 512, 0m17.312s
c4.xlarge, eu-central-1a, upload, 1024, 0m26.431s
c4.xlarge, eu-central-1a, upload, 1024, 0m27.105s
c4.xlarge, eu-central-1a, upload, 1024, 0m22.448s
c4.xlarge, eu-central-1a, upload, 1024, 0m25.511s
c4.xlarge, eu-central-1a, upload, 1024, 0m27.072s
c4.xlarge, eu-central-1a, upload, 1024, 0m26.720s
c4.xlarge, eu-central-1a, upload, 2048, 0m48.137s
c4.xlarge, eu-central-1a, upload, 2048, 0m47.629s
c4.xlarge, eu-central-1a, upload, 2048, 0m47.597s
c4.xlarge, eu-central-1a, upload, 2048, 0m46.897s
c4.xlarge, eu-central-1a, upload, 2048, 0m46.243s
c4.xlarge, eu-central-1a, upload, 2048, 0m48.237s
c4.xlarge, eu-central-1a, upload, 4096, 1m40.060s
c4.xlarge, eu-central-1a, upload, 4096, 1m38.329s
c4.xlarge, eu-central-1a, upload, 4096, 1m33.318s
c4.xlarge, eu-central-1a, upload, 4096, 1m33.691s
c4.xlarge, eu-central-1a, upload, 4096, 1m28.501s
c4.xlarge, eu-central-1a, upload, 4096, 1m31.214s
c4.xlarge, eu-central-1a, upload, 8192, 2m26.682s
c4.xlarge, eu-central-1a, upload, 8192, 2m6.573s
c4.xlarge, eu-central-1a, upload, 8192, 2m12.363s
c4.xlarge, eu-central-1a, upload, 8192, 2m11.027s
c4.xlarge, eu-central-1a, upload, 8192, 2m23.766s
c4.xlarge, eu-central-1a, upload, 8192, 2m24.727s
c4.xlarge, eu-central-1a, download, 1, 0m2.613s
c4.xlarge, eu-central-1a, download, 1, 0m2.519s
c4.xlarge, eu-central-1a, download, 1, 0m2.679s
c4.xlarge, eu-central-1a, download, 1, 0m2.230s
c4.xlarge, eu-central-1a, download, 1, 0m2.270s
c4.xlarge, eu-central-1a, download, 1, 0m2.486s
c4.xlarge, eu-central-1a, download, 2, 0m2.736s
c4.xlarge, eu-central-1a, download, 2, 0m2.766s
c4.xlarge, eu-central-1a, download, 2, 0m2.708s
c4.xlarge, eu-central-1a, download, 2, 0m2.737s
c4.xlarge, eu-central-1a, download, 2, 0m2.734s
c4.xlarge, eu-central-1a, download, 2, 0m2.746s
c4.xlarge, eu-central-1a, download, 4, 0m3.394s
c4.xlarge, eu-central-1a, download, 4, 0m3.277s
c4.xlarge, eu-central-1a, download, 4, 0m3.181s
c4.xlarge, eu-central-1a, download, 4, 0m3.210s
c4.xlarge, eu-central-1a, download, 4, 0m31.345s
c4.xlarge, eu-central-1a, download, 4, 0m3.273s
c4.xlarge, eu-central-1a, download, 8, 0m4.215s
c4.xlarge, eu-central-1a, download, 8, 0m4.197s
c4.xlarge, eu-central-1a, download, 8, 0m4.146s
c4.xlarge, eu-central-1a, download, 8, 0m4.160s
c4.xlarge, eu-central-1a, download, 8, 0m4.144s
c4.xlarge, eu-central-1a, download, 8, 0m4.141s
c4.xlarge, eu-central-1a, download, 16, 0m4.577s
c4.xlarge, eu-central-1a, download, 16, 0m4.488s
c4.xlarge, eu-central-1a, download, 16, 0m4.621s
c4.xlarge, eu-central-1a, download, 16, 0m4.630s
c4.xlarge, eu-central-1a, download, 16, 0m4.447s
