c4.8xlarge, ap-northeast-1c, upload, 1, 0m3.692s
c4.8xlarge, ap-northeast-1c, upload, 1, 0m3.509s
c4.8xlarge, ap-northeast-1c, upload, 1, 0m3.534s
c4.8xlarge, ap-northeast-1c, upload, 1, 0m3.530s
c4.8xlarge, ap-northeast-1c, upload, 1, 0m3.967s
c4.8xlarge, ap-northeast-1c, upload, 1, 0m3.360s
c4.8xlarge, ap-northeast-1c, upload, 2, 0m3.683s
c4.8xlarge, ap-northeast-1c, upload, 2, 0m4.810s
c4.8xlarge, ap-northeast-1c, upload, 2, 0m4.508s
c4.8xlarge, ap-northeast-1c, upload, 2, 0m4.262s
c4.8xlarge, ap-northeast-1c, upload, 2, 0m3.889s
c4.8xlarge, ap-northeast-1c, upload, 2, 0m3.864s
c4.8xlarge, ap-northeast-1c, upload, 4, 0m4.231s
c4.8xlarge, ap-northeast-1c, upload, 4, 0m4.289s
c4.8xlarge, ap-northeast-1c, upload, 4, 0m4.510s
c4.8xlarge, ap-northeast-1c, upload, 4, 0m4.089s
c4.8xlarge, ap-northeast-1c, upload, 4, 0m4.022s
c4.8xlarge, ap-northeast-1c, upload, 4, 0m4.154s
c4.8xlarge, ap-northeast-1c, upload, 8, 0m4.435s
c4.8xlarge, ap-northeast-1c, upload, 8, 0m4.528s
c4.8xlarge, ap-northeast-1c, upload, 8, 0m4.833s
c4.8xlarge, ap-northeast-1c, upload, 8, 0m4.428s
c4.8xlarge, ap-northeast-1c, upload, 8, 0m4.845s
c4.8xlarge, ap-northeast-1c, upload, 8, 0m4.915s
c4.8xlarge, ap-northeast-1c, upload, 16, 0m5.184s
c4.8xlarge, ap-northeast-1c, upload, 16, 0m5.160s
c4.8xlarge, ap-northeast-1c, upload, 16, 0m5.207s
c4.8xlarge, ap-northeast-1c, upload, 16, 0m5.300s
c4.8xlarge, ap-northeast-1c, upload, 16, 0m5.486s
c4.8xlarge, ap-northeast-1c, upload, 16, 0m5.347s
c4.8xlarge, ap-northeast-1c, upload, 32, 0m6.049s
c4.8xlarge, ap-northeast-1c, upload, 32, 0m5.632s
c4.8xlarge, ap-northeast-1c, upload, 32, 0m5.843s
c4.8xlarge, ap-northeast-1c, upload, 32, 0m5.888s
c4.8xlarge, ap-northeast-1c, upload, 32, 0m9.947s
c4.8xlarge, ap-northeast-1c, upload, 32, 0m5.702s
c4.8xlarge, ap-northeast-1c, upload, 64, 0m6.226s
c4.8xlarge, ap-northeast-1c, upload, 64, 0m6.090s
c4.8xlarge, ap-northeast-1c, upload, 64, 0m8.565s
c4.8xlarge, ap-northeast-1c, upload, 64, 0m6.757s
c4.8xlarge, ap-northeast-1c, upload, 64, 0m6.217s
c4.8xlarge, ap-northeast-1c, upload, 64, 0m5.724s
c4.8xlarge, ap-northeast-1c, upload, 128, 0m6.389s
c4.8xlarge, ap-northeast-1c, upload, 128, 0m6.265s
c4.8xlarge, ap-northeast-1c, upload, 128, 0m8.182s
c4.8xlarge, ap-northeast-1c, upload, 128, 0m6.398s
c4.8xlarge, ap-northeast-1c, upload, 128, 0m6.325s
c4.8xlarge, ap-northeast-1c, upload, 128, 0m6.655s
c4.8xlarge, ap-northeast-1c, upload, 256, 0m9.837s
c4.8xlarge, ap-northeast-1c, upload, 256, 0m8.283s
c4.8xlarge, ap-northeast-1c, upload, 256, 0m9.485s
c4.8xlarge, ap-northeast-1c, upload, 256, 0m7.717s
c4.8xlarge, ap-northeast-1c, upload, 256, 0m8.353s
c4.8xlarge, ap-northeast-1c, upload, 256, 0m9.718s
c4.8xlarge, ap-northeast-1c, upload, 512, 0m10.587s
c4.8xlarge, ap-northeast-1c, upload, 512, 0m31.043s
c4.8xlarge, ap-northeast-1c, upload, 512, 0m10.382s
c4.8xlarge, ap-northeast-1c, upload, 512, 0m13.265s
c4.8xlarge, ap-northeast-1c, upload, 512, 0m10.916s
c4.8xlarge, ap-northeast-1c, upload, 512, 0m14.178s
c4.8xlarge, ap-northeast-1c, upload, 1024, 0m17.150s
c4.8xlarge, ap-northeast-1c, upload, 1024, 0m20.136s
c4.8xlarge, ap-northeast-1c, upload, 1024, 0m18.221s
c4.8xlarge, ap-northeast-1c, upload, 1024, 0m18.918s
c4.8xlarge, ap-northeast-1c, upload, 1024, 0m17.153s
c4.8xlarge, ap-northeast-1c, upload, 1024, 0m18.242s
c4.8xlarge, ap-northeast-1c, upload, 2048, 0m39.037s
c4.8xlarge, ap-northeast-1c, upload, 2048, 0m28.332s
c4.8xlarge, ap-northeast-1c, upload, 2048, 0m39.463s
c4.8xlarge, ap-northeast-1c, upload, 2048, 0m27.438s
c4.8xlarge, ap-northeast-1c, upload, 2048, 0m42.600s
c4.8xlarge, ap-northeast-1c, upload, 2048, 0m33.843s
c4.8xlarge, ap-northeast-1c, upload, 4096, 0m54.745s
c4.8xlarge, ap-northeast-1c, upload, 4096, 1m2.276s
c4.8xlarge, ap-northeast-1c, upload, 4096, 1m0.070s
c4.8xlarge, ap-northeast-1c, upload, 4096, 1m7.863s
c4.8xlarge, ap-northeast-1c, upload, 4096, 1m2.214s
c4.8xlarge, ap-northeast-1c, upload, 4096, 0m53.025s
c4.8xlarge, ap-northeast-1c, upload, 8192, 
c4.8xlarge, ap-northeast-1c, upload, 8192, 
c4.8xlarge, ap-northeast-1c, upload, 8192, 
c4.8xlarge, apc4.8xlarge, ap-northeast-1c, download, 1, 0m3.141s
c4.8xlarge, ap-northeast-1c, download, 1, 0m3.054s
c4.8xlarge, ap-northeast-1c, download, 1, 0m3.072s
c4.8xlarge, ap-northeast-1c, download, 1, 0m3.042s
c4.8xlarge, ap-northeast-1c, download, 1, 0m3.558s
c4.8xlarge, ap-northeast-1c, download, 1, 0m3.386s
c4.8xlarge, ap-northeast-1c, download, 2, 0m4.199s
c4.8xlarge, ap-northeast-1c, download, 2, 0m5.533s
c4.8xlarge, ap-northeast-1c, download, 2, 0m3.817s
c4.8xlarge, ap-northeast-1c, download, 2, 0m3.837s
c4.8xlarge, ap-northeast-1c, download, 2, 0m4.155s
c4.8xlarge, ap-northeast-1c, download, 2, 0m3.529s
c4.8xlarge, ap-northeast-1c, download, 4, 0m4.816s
c4.8xlarge, ap-northeast-1c, download, 4, 0m4.905s
c4.8xlarge, ap-northeast-1c, download, 4, 0m4.587s
c4.8xlarge, ap-northeast-1c, download, 4, 0m4.596s
c4.8xlarge, ap-northeast-1c, download, 4, 0m5.415s
c4.8xlarge, ap-northeast-1c, download, 4, 0m4.548s
c4.8xlarge, ap-northeast-1c, download, 8, 0m6.214s
c4.8xlarge, ap-northeast-1c, download, 8, 0m6.548s
c4.8xlarge, ap-northeast-1c, download, 8, 0m6.318s
c4.8xlarge, ap-northeast-1c, download, 8, 0m6.575s
c4.8xlarge, ap-northeast-1c, download, 8, 0m6.227s
c4.8xlarge, ap-northeast-1c, download, 8, 0m6.230s
c4.8xlarge, ap-northeast-1c, download, 16, 0m7.532s
c4.8xlarge, ap-northeast-1c, download, 16, 0m7.167s
c4.8xlarge, ap-northeast-1c, download, 16, 0m7.110s
c4.8xlarge, ap-northeast-1c, download, 16, 0m7.507s
c4.8xlarge, ap-northeast-1c, download, 16, 0m7.206s
c4.8xlarge, ap-northeast-1c, download, 16, 0m6.998s
c4.8xlarge, ap-northeast-1c, download, 32, 0m8.246s
c4.8xlarge, ap-northeast-1c, download, 32, 0m8.626s
c4.8xlarge, ap-northeast-1c, download, 32, 0m7.872s
c4.8xlarge, ap-northeast-1c, download, 32, 0m8.284s
c4.8xlarge, ap-northeast-1c, download, 32, 0m9.438s
c4.8xlarge, ap-northeast-1c, download, 32, 0m8.690s
c4.8xlarge, ap-northeast-1c, download, 64, 0m6.786s
c4.8xlarge, ap-northeast-1c, download, 64, 0m8.297s
c4.8xlarge, ap-northeast-1c, download, 64, 0m6.802s
c4.8xlarge, ap-northeast-1c, download, 64, 0m6.299s
c4.8xlarge, ap-northeast-1c, download, 64, 0m6.569s
c4.8xlarge, ap-northeast-1c, download, 64, 0m7.686s
c4.8xlarge, ap-northeast-1c, download, 128, 0m10.818s
c4.8xlarge, ap-northeast-1c, download, 128, 0m10.503s
c4.8xlarge, ap-northeast-1c, download, 128, 0m11.011s
c4.8xlarge, ap-northeast-1c, download, 128, 0m10.858s
c4.8xlarge, ap-northeast-1c, download, 128, 0m10.601s
c4.8xlarge, ap-northeast-1c, download, 128, 0m10.542s
c4.8xlarge, ap-northeast-1c, download, 256, 0m17.622s
c4.8xlarge, ap-northeast-1c, download, 256, 0m17.675s
c4.8xlarge, ap-northeast-1c, download, 256, 0m16.721s
c4.8xlarge, ap-northeast-1c, download, 256, 0m16.988s
c4.8xlarge, ap-northeast-1c, download, 256, 0m17.470s
c4.8xlarge, ap-northeast-1c, download, 256, 0m16.983s
c4.8xlarge, ap-northeast-1c, download, 512, 0m27.472s
c4.8xlarge, ap-northeast-1c, download, 512, 0m27.988s
c4.8xlarge, ap-northeast-1c, download, 512, 0m26.178s
c4.8xlarge, ap-northeast-1c, download, 512, 0m26.818s
c4.8xlarge, ap-northeast-1c, download, 512, 0m26.908s
c4.8xlarge, ap-northeast-1c, download, 512, 0m26.762s
c4.8xlarge, ap-northeast-1c, download, 1024, 0m50.000s
c4.8xlarge, ap-northeast-1c, download, 1024, 0m49.018s
c4.8xlarge, ap-northeast-1c, download, 1024, 0m52.274s
c4.8xlarge, ap-northeast-1c, download, 1024, 0m52.611s
c4.8xlarge, ap-northeast-1c, download, 1024, 0m50.429s
c4.8xlarge, ap-northeast-1c, download, 1024, 0m51.026s
c4.8xlarge, ap-northeast-1c, download, 2048, 1m35.737s
c4.8xlarge, ap-northeast-1c, download, 2048, 1m37.584s
c4.8xlarge, ap-northeast-1c, download, 2048, 1m35.672s
c4.8xlarge, ap-northeast-1c, download, 2048, 1m37.492s
c4.8xlarge, ap-northeast-1c, download, 2048, 1m37.974s
c4.8xlarge, ap-northeast-1c, download, 2048, 1m38.069s
c4.8xlarge, ap-northeast-1c, download, 4096, 3m8.845s
c4.8xlarge, ap-northeast-1c, download, 4096, 3m4.506s
c4.8xlarge, ap-northeast-1c, download, 4096, 3m0.442s
c4.8xlarge, ap-northeast-1c, download, 4096, 2m59.417s
c4.8xlarge, ap-northeast-1c, download, 4096, 3m2.062s
c4.8xlarge, ap-northeast-1c, download, 4096, 3m4.182s
c4.8xlarge, ap-northeast-1c, download, 8192, 4m58.856s
c4.8xlarge, ap-northeast-1c, download, 8192, 4m57.041s
c4.8xlarge, ap-northeast-1c, download, 8192, 4m56.803s
c4.8xlarge, ap-northeast-1c, download, 8192, 4m58.515s
c4.8xlarge, ap-northeast-1c, download, 8192, 4m50.279s
c4.8xlarge, ap-northeast-1c, download, 8192, 4m53.692s
