c4.xlarge, us-west-2c, upload, 1, 0m2.813s
c4.xlarge, us-west-2c, upload, 1, 0m2.366s
c4.xlarge, us-west-2c, upload, 1, 0m2.463s
c4.xlarge, us-west-2c, upload, 1, 0m2.480s
c4.xlarge, us-west-2c, upload, 1, 0m2.495s
c4.xlarge, us-west-2c, upload, 1, 0m2.733s
c4.xlarge, us-west-2c, upload, 2, 0m2.805s
c4.xlarge, us-west-2c, upload, 2, 0m2.829s
c4.xlarge, us-west-2c, upload, 2, 0m2.561s
c4.xlarge, us-west-2c, upload, 2, 0m2.563s
c4.xlarge, us-west-2c, upload, 2, 0m2.721s
c4.xlarge, us-west-2c, upload, 2, 0m3.309s
c4.xlarge, us-west-2c, upload, 4, 0m2.642s
c4.xlarge, us-west-2c, upload, 4, 0m2.853s
c4.xlarge, us-west-2c, upload, 4, 0m3.103s
c4.xlarge, us-west-2c, upload, 4, 0m3.341s
c4.xlarge, us-west-2c, upload, 4, 0m3.400s
c4.xlarge, us-west-2c, upload, 4, 0m3.132s
c4.xlarge, us-west-2c, upload, 8, 0m3.290s
c4.xlarge, us-west-2c, upload, 8, 0m3.941s
c4.xlarge, us-west-2c, upload, 8, 0m5.036s
c4.xlarge, us-west-2c, upload, 8, 0m3.237s
c4.xlarge, us-west-2c, upload, 8, 0m2.769s
c4.xlarge, us-west-2c, upload, 8, 0m3.312s
c4.xlarge, us-west-2c, upload, 16, 0m3.878s
c4.xlarge, us-west-2c, upload, 16, 0m3.950s
c4.xlarge, us-west-2c, upload, 16, 0m4.673s
c4.xlarge, us-west-2c, upload, 16, 0m4.365s
c4.xlarge, us-west-2c, upload, 16, 0m3.897s
c4.xlarge, us-west-2c, upload, 16, 0m3.782s
c4.xlarge, us-west-2c, upload, 32, 0m4.695s
c4.xlarge, us-west-2c, upload, 32, 0m3.914s
c4.xlarge, us-west-2c, upload, 32, 0m23.976s
c4.xlarge, us-west-2c, upload, 32, 0m4.166s
c4.xlarge, us-west-2c, upload, 32, 0m5.993s
c4.xlarge, us-west-2c, upload, 32, 0m6.168s
c4.xlarge, us-west-2c, upload, 64, 0m9.371s
c4.xlarge, us-west-2c, upload, 64, 0m6.451s
c4.xlarge, us-west-2c, upload, 64, 0m6.605s
c4.xlarge, us-west-2c, upload, 64, 0m7.364s
c4.xlarge, us-west-2c, upload, 64, 0m5.098s
c4.xlarge, us-west-2c, upload, 64, 0m4.915s
c4.xlarge, us-west-2c, upload, 128, 0m5.575s
c4.xlarge, us-west-2c, upload, 128, 0m5.214s
c4.xlarge, us-west-2c, upload, 128, 0m6.040s
c4.xlarge, us-west-2c, upload, 128, 0m7.031s
c4.xlarge, us-west-2c, upload, 128, 0m11.044s
c4.xlarge, us-west-2c, upload, 128, 0m11.127s
c4.xlarge, us-west-2c, upload, 256, 0m13.667s
c4.xlarge, us-west-2c, upload, 256, 0m11.830s
c4.xlarge, us-west-2c, upload, 256, 0m12.100s
c4.xlarge, us-west-2c, upload, 256, 0m8.983s
c4.xlarge, us-west-2c, upload, 256, 0m13.345s
c4.xlarge, us-west-2c, upload, 256, 0m9.966s
c4.xlarge, us-west-2c, upload, 512, 0m17.508s
c4.xlarge, us-west-2c, upload, 512, 0m16.668s
c4.xlarge, us-west-2c, upload, 512, 0m14.908s
c4.xlarge, us-west-2c, upload, 512, 0m13.954s
c4.xlarge, us-west-2c, upload, 512, 0m14.817s
c4.xlarge, us-west-2c, upload, 512, 0m15.127s
c4.xlarge, us-west-2c, upload, 1024, 0m24.915s
c4.xlarge, us-west-2c, upload, 1024, 0m25.690s
c4.xlarge, us-west-2c, upload, 1024, 0m35.722s
c4.xlarge, us-west-2c, upload, 1024, 0m25.105s
c4.xlarge, us-west-2c, upload, 1024, 0m26.219s
c4.xlarge, us-west-2c, upload, 1024, 0m24.935s
c4.xlarge, us-west-2c, upload, 2048, 0m49.890s
c4.xlarge, us-west-2c, upload, 2048, 0m56.054s
c4.xlarge, us-west-2c, upload, 2048, 1m1.261s
c4.xlarge, us-west-2c, upload, 2048, 0m54.334s
c4.xlarge, us-west-2c, upload, 2048, 0m57.316s
c4.xlarge, us-west-2c, upload, 2048, 1m3.191s
c4.xlarge, us-west-2c, upload, 4096, 1m33.831s
c4.xlarge, us-west-2c, upload, 4096, 1m33.348s
c4.xlarge, us-west-2c, upload, 4096, 1m36.472s
c4.xlarge, us-west-2c, upload, 4096, 2m59.786s
c4.xlarge, us-west-2c, upload, 4096, 1m33.056s
c4.xlarge, us-west-2c, upload, 4096, 1m50.056s
c4.xlarge, us-west-2c, upload, 8192, 3m42.396s
c4.xlarge, us-west-2c, upload, 8192, 2m27.965s
c4.xlarge, us-west-2c, upload, 8192, 2m31.639s
c4.xlarge, us-west-2c, upload, 8192, 2m30.116s
c4.xlarge, us-west-2c, upload, 8192, 2m25.590s
c4.xlarge, us-west-2c, upload, 8192, 2m39.476s
c4.xlarge, us-west-2c, download, 1, 0m2.368s
c4.xlarge, us-west-2c, download, 1, 0m2.275s
c4.xlarge, us-west-2c, download, 1, 0m2.358s
c4.xlarge, us-west-2c, download, 1, 0m2.246s
