m4.large, us-west-2c, upload, 1, 0m5.505s
m4.large, us-west-2c, upload, 1, 0m2.972s
m4.large, us-west-2c, upload, 1, 0m2.934s
m4.large, us-west-2c, upload, 1, 0m2.438s
m4.large, us-west-2c, upload, 1, 0m3.466s
m4.large, us-west-2c, upload, 1, 0m3.373s
m4.large, us-west-2c, upload, 2, 0m4.848s
m4.large, us-west-2c, upload, 2, 0m2.692s
m4.large, us-west-2c, upload, 2, 0m2.583s
m4.large, us-west-2c, upload, 2, 0m3.122s
m4.large, us-west-2c, upload, 2, 0m3.002s
m4.large, us-west-2c, upload, 2, 0m2.993s
m4.large, us-west-2c, upload, 4, 0m3.115s
m4.large, us-west-2c, upload, 4, 0m2.716s
m4.large, us-west-2c, upload, 4, 0m2.706s
m4.large, us-west-2c, upload, 4, 0m3.010s
m4.large, us-west-2c, upload, 4, 0m2.918s
m4.large, us-west-2c, upload, 4, 0m2.748s
m4.large, us-west-2c, upload, 8, 0m9.851s
m4.large, us-west-2c, upload, 8, 0m3.028s
m4.large, us-west-2c, upload, 8, 0m4.263s
m4.large, us-west-2c, upload, 8, 0m3.233s
m4.large, us-west-2c, upload, 8, 0m2.991s
m4.large, us-west-2c, upload, 8, 0m3.568s
m4.large, us-west-2c, upload, 16, 0m14.559s
m4.large, us-west-2c, upload, 16, 0m4.197s
m4.large, us-west-2c, upload, 16, 0m3.929s
m4.large, us-west-2c, upload, 16, 0m3.829s
m4.large, us-west-2c, upload, 16, 0m4.257s
m4.large, us-west-2c, upload, 16, 0m4.203s
m4.large, us-west-2c, upload, 32, 0m4.140s
m4.large, us-west-2c, upload, 32, 0m5.102s
m4.large, us-west-2c, upload, 32, 0m4.780s
m4.large, us-west-2c, upload, 32, 0m4.037s
m4.large, us-west-2c, upload, 32, 0m4.518s
m4.large, us-west-2c, upload, 32, 0m4.002s
m4.large, us-west-2c, upload, 64, 0m10.112s
m4.large, us-west-2c, upload, 64, 0m9.692s
m4.large, us-west-2c, upload, 64, 0m5.554s
m4.large, us-west-2c, upload, 64, 0m6.171s
m4.large, us-west-2c, upload, 64, 0m5.097s
m4.large, us-west-2c, upload, 64, 0m5.258s
m4.large, us-west-2c, upload, 128, 0m8.750s
m4.large, us-west-2c, upload, 128, 0m8.647s
m4.large, us-west-2c, upload, 128, 0m6.543s
m4.large, us-west-2c, upload, 128, 0m7.749s
m4.large, us-west-2c, upload, 128, 0m8.199s
m4.large, us-west-2c, upload, 128, 0m7.613s
m4.large, us-west-2c, upload, 256, 0m12.978s
m4.large, us-west-2c, upload, 256, 0m13.355s
m4.large, us-west-2c, upload, 256, 0m30.597s
m4.large, us-west-2c, upload, 256, 0m11.463s
m4.large, us-west-2c, upload, 256, 0m10.299s
m4.large, us-west-2c, upload, 256, 0m12.188s
m4.large, us-west-2c, upload, 512, 0m19.727s
m4.large, us-west-2c, upload, 512, 0m23.704s
m4.large, us-west-2c, upload, 512, 0m19.182s
m4.large, us-west-2c, upload, 512, 0m18.596s
m4.large, us-west-2c, upload, 512, 0m19.482s
m4.large, us-west-2c, upload, 512, 0m18.262s
m4.large, us-west-2c, upload, 1024, 0m34.662s
m4.large, us-west-2c, upload, 1024, 0m32.965s
m4.large, us-west-2c, upload, 1024, 0m34.237s
m4.large, us-west-2c, upload, 1024, 0m33.809s
m4.large, us-west-2c, upload, 1024, 0m34.344s
m4.large, us-west-2c, upload, 1024, 0m34.125s
m4.large, us-west-2c, upload, 2048, 1m7.896s
m4.large, us-west-2c, upload, 2048, 1m24.058s
m4.large, us-west-2c, upload, 2048, 1m14.058s
m4.large, us-west-2c, upload, 2048, 1m8.262s
m4.large, us-west-2c, upload, 2048, 1m16.676s
m4.large, us-west-2c, upload, 2048, 1m7.689s
m4.large, us-west-2c, upload, 4096, 2m26.691s
m4.large, us-west-2c, upload, 4096, 2m28.148s
m4.large, us-west-2c, upload, 4096, 2m10.325s
m4.large, us-west-2c, upload, 4096, 2m2.418s
m4.large, us-west-2c, upload, 4096, 2m7.997s
m4.large, us-west-2c, upload, 4096, 2m15.642s
m4.large, us-west-2c, upload, 8192, 3m20.728s
m4.large, us-west-2c, upload, 8192, 3m32.092s
m4.large, us-west-2c, upload, 8192, 3m28.397s
m4.large, us-west-2c, upload, 8192, 3m41.305s
m4.large, us-west-2c, upload, 8192, 5m18.841s
m4.large, us-west-2c, upload, 8192, 3m17.679s
m4.large, us-west-2c, download, 1, 0m2.177s
m4.large, us-west-2c, download, 1, 0m3.178s
m4.large, us-west-2c, download, 1, 0m2.446s
m4.large, us-west-2c, download, 1, 0m2.339s
m4.large, us-west-2c, download, 1, 0m2.362s
m4.large, us-west-2c, download, 1, 0m2.198s
m4.large, us-west-2c, download, 2, 0m3.540s
m4.large, us-west-2c, download, 2, 0m2.720s
m4.large, us-west-2c, download, 2, 0m2.879s
m4.large, us-west-2c, download, 2, 0m3.823s
m4.large, us-west-2c, download, 2, 0m2.395s
m4.large, us-west-2c, download, 2, 0m3.536s
m4.large, us-west-2c, download, 4, 0m3.241s
m4.large, us-west-2c, download, 4, 0m3.279s
m4.large, us-west-2c, download, 4, 0m3.113s
m4.large, us-west-2c, download, 4, 0m2.899s
