m4.10xlarge, eu-central-1a, upload, 1, 0m2.734s
m4.10xlarge, eu-central-1a, upload, 1, 0m2.619s
m4.10xlarge, eu-central-1a, upload, 1, 0m3.051s
m4.10xlarge, eu-central-1a, upload, 1, 0m2.521s
m4.10xlarge, eu-central-1a, upload, 1, 0m2.461s
m4.10xlarge, eu-central-1a, upload, 1, 0m2.401s
m4.10xlarge, eu-central-1a, upload, 2, 0m3.181s
m4.10xlarge, eu-central-1a, upload, 2, 0m2.693s
m4.10xlarge, eu-central-1a, upload, 2, 0m2.693s
m4.10xlarge, eu-central-1a, upload, 2, 0m2.907s
m4.10xlarge, eu-central-1a, upload, 2, 0m2.905s
m4.10xlarge, eu-central-1a, upload, 2, 0m2.965s
m4.10xlarge, eu-central-1a, upload, 4, 0m3.053s
m4.10xlarge, eu-central-1a, upload, 4, 0m2.989s
m4.10xlarge, eu-central-1a, upload, 4, 0m3.156s
m4.10xlarge, eu-central-1a, upload, 4, 0m2.900s
m4.10xlarge, eu-central-1a, upload, 4, 0m3.082s
m4.10xlarge, eu-central-1a, upload, 4, 0m2.774s
m4.10xlarge, eu-central-1a, upload, 8, 0m3.341s
m4.10xlarge, eu-central-1a, upload, 8, 0m3.145s
m4.10xlarge, eu-central-1a, upload, 8, 0m3.282s
m4.10xlarge, eu-central-1a, upload, 8, 0m3.433s
m4.10xlarge, eu-central-1a, upload, 8, 0m3.080s
m4.10xlarge, eu-central-1a, upload, 8, 0m3.277s
m4.10xlarge, eu-central-1a, upload, 16, 0m3.837s
m4.10xlarge, eu-central-1a, upload, 16, 0m3.672s
m4.10xlarge, eu-central-1a, upload, 16, 0m4.744s
m4.10xlarge, eu-central-1a, upload, 16, 0m4.176s
m4.10xlarge, eu-central-1a, upload, 16, 0m3.578s
m4.10xlarge, eu-central-1a, upload, 16, 0m3.991s
m4.10xlarge, eu-central-1a, upload, 32, 0m3.814s
m4.10xlarge, eu-central-1a, upload, 32, 0m4.268s
m4.10xlarge, eu-central-1a, upload, 32, 0m3.783s
m4.10xlarge, eu-central-1a, upload, 32, 0m3.894s
m4.10xlarge, eu-central-1a, upload, 32, 0m3.976s
m4.10xlarge, eu-central-1a, upload, 32, 0m4.192s
m4.10xlarge, eu-central-1a, upload, 64, 0m4.119s
m4.10xlarge, eu-central-1a, upload, 64, 0m4.125s
m4.10xlarge, eu-central-1a, upload, 64, 0m4.143s
m4.10xlarge, eu-central-1a, upload, 64, 0m4.660s
m4.10xlarge, eu-central-1a, upload, 64, 0m4.977s
m4.10xlarge, eu-central-1a, upload, 64, 0m4.492s
m4.10xlarge, eu-central-1a, upload, 128, 0m4.626s
m4.10xlarge, eu-central-1a, upload, 128, 0m12.949s
m4.10xlarge, eu-central-1a, upload, 128, 0m5.442s
m4.10xlarge, eu-central-1a, upload, 128, 0m5.192s
m4.10xlarge, eu-central-1a, upload, 128, 0m16.432s
m4.10xlarge, eu-central-1a, upload, 128, 0m4.692s
m4.10xlarge, eu-central-1a, upload, 256, 0m6.121s
m4.10xlarge, eu-central-1a, upload, 256, 0m6.856s
m4.10xlarge, eu-central-1a, upload, 256, 0m5.781s
m4.10xlarge, eu-central-1a, upload, 256, 0m6.064s
m4.10xlarge, eu-central-1a, upload, 256, 0m11.572s
m4.10xlarge, eu-central-1a, upload, 256, 0m6.729s
m4.10xlarge, eu-central-1a, upload, 512, 0m9.940s
m4.10xlarge, eu-central-1a, upload, 512, 0m9.375s
m4.10xlarge, eu-central-1a, upload, 512, 0m9.009s
m4.10xlarge, eu-central-1a, upload, 512, 0m8.595s
m4.10xlarge, eu-central-1a, upload, 512, 0m11.450s
m4.10xlarge, eu-central-1a, upload, 512, 0m7.817s
m4.10xlarge, eu-central-1a, upload, 1024, 0m11.612s
m4.10xlarge, eu-central-1a, upload, 1024, 0m17.059s
m4.10xlarge, eu-central-1a, upload, 1024, 0m11.884s
m4.10xlarge, eu-central-1a, upload, 1024, 0m25.631s
m4.10xlarge, eu-central-1a, upload, 1024, 0m11.734s
m4.10xlarge, eu-central-1a, upload, 1024, 0m12.919s
m4.10xlarge, eu-central-1a, upload, 2048, 0m26.614s
m4.10xlarge, eu-central-1a, upload, 2048, 0m21.832s
m4.10xlarge, eu-central-1a, upload, 2048, 0m43.727s
m4.10xlarge, eu-central-1a, upload, 2048, 0m30.225s
m4.10xlarge, eu-central-1a, upload, 2048, 0m36.860s
m4.10xlarge, eu-central-1a, upload, 2048, 0m45.513s
m4.10xlarge, eu-central-1a, upload, 4096, 0m59.703s
m4.10xlarge, eu-central-1a, upload, 4096, 0m41.114s
m4.10xlarge, eu-central-1a, upload, 4096, 1m17.607s
m4.10xlarge, eu-central-1a, upload, 4096, 0m47.170s
m4.10xlarge, eu-central-1a, upload, 4096, 0m48.211s
m4.10xlarge, eu-central-1a, upload, 4096, 0m39.329s
m4.10xlarge, eu-central-1a, upload, 8192, 
m4.10xlarge, eu-central-1a, upload, 8192, 
m4.10xlarge, eu-central-1a, upload, 8192, 
m4.10xlarge, eu-central-1a, upload, 8192, 
m4.10xlarge, eu-central-1a, upload, 8192, 
m4.10xlm4.10xlarge, eu-central-1a, download, 1, 0m2.419s
m4.10xlarge, eu-central-1a, download, 1, 0m2.662s
m4.10xlarge, eu-central-1a, download, 1, 0m2.615s
m4.10xlarge, eu-central-1a, download, 1, 0m2.652s
m4.10xlarge, eu-central-1a, download, 1, 0m2.560s
m4.10xlarge, eu-central-1a, download, 1, 0m2.598s
m4.10xlarge, eu-central-1a, download, 2, 0m2.632s
m4.10xlarge, eu-central-1a, download, 2, 0m2.640s
m4.10xlarge, eu-central-1a, download, 2, 0m2.562s
m4.10xlarge, eu-central-1a, download, 2, 0m2.915s
m4.10xlarge, eu-central-1a, download, 2, 0m2.865s
m4.10xlarge, eu-central-1a, download, 2, 0m3.888s
m4.10xlarge, eu-central-1a, download, 4, 0m3.082s
m4.10xlarge, eu-central-1a, download, 4, 0m3.628s
m4.10xlarge, eu-central-1a, download, 4, 0m3.802s
m4.10xlarge, eu-central-1a, download, 4, 0m3.265s
m4.10xlarge, eu-central-1a, download, 4, 0m3.405s
m4.10xlarge, eu-central-1a, download, 4, 0m3.261s
m4.10xlarge, eu-central-1a, download, 8, 0m4.460s
m4.10xlarge, eu-central-1a, download, 8, 0m4.389s
m4.10xlarge, eu-central-1a, download, 8, 0m4.234s
m4.10xlarge, eu-central-1a, download, 8, 0m3.992s
m4.10xlarge, eu-central-1a, download, 8, 0m4.322s
m4.10xlarge, eu-central-1a, download, 8, 0m4.335s
m4.10xlarge, eu-central-1a, download, 16, 0m4.779s
m4.10xlarge, eu-central-1a, download, 16, 0m4.869s
m4.10xlarge, eu-central-1a, download, 16, 0m4.835s
m4.10xlarge, eu-central-1a, download, 16, 0m4.797s
m4.10xlarge, eu-central-1a, download, 16, 0m4.872s
m4.10xlarge, eu-central-1a, download, 16, 0m4.739s
m4.10xlarge, eu-central-1a, download, 32, 0m5.354s
m4.10xlarge, eu-central-1a, download, 32, 0m5.293s
m4.10xlarge, eu-central-1a, download, 32, 0m5.295s
m4.10xlarge, eu-central-1a, download, 32, 0m5.006s
m4.10xlarge, eu-central-1a, download, 32, 0m5.019s
m4.10xlarge, eu-central-1a, download, 32, 0m5.288s
m4.10xlarge, eu-central-1a, download, 64, 0m4.796s
m4.10xlarge, eu-central-1a, download, 64, 0m5.239s
m4.10xlarge, eu-central-1a, download, 64, 0m5.384s
m4.10xlarge, eu-central-1a, download, 64, 0m4.672s
m4.10xlarge, eu-central-1a, download, 64, 0m4.589s
m4.10xlarge, eu-central-1a, download, 64, 0m4.603s
m4.10xlarge, eu-central-1a, download, 128, 0m6.776s
m4.10xlarge, eu-central-1a, download, 128, 0m6.709s
m4.10xlarge, eu-central-1a, download, 128, 0m6.727s
m4.10xlarge, eu-central-1a, download, 128, 0m6.577s
m4.10xlarge, eu-central-1a, download, 128, 0m6.669s
m4.10xlarge, eu-central-1a, download, 128, 0m6.641s
m4.10xlarge, eu-central-1a, download, 256, 0m10.464s
m4.10xlarge, eu-central-1a, download, 256, 0m10.530s
m4.10xlarge, eu-central-1a, download, 256, 0m10.840s
m4.10xlarge, eu-central-1a, download, 256, 0m10.443s
m4.10xlarge, eu-central-1a, download, 256, 0m10.175s
