m4.xlarge, eu-central-1a, upload, 1, 0m2.672s
m4.xlarge, eu-central-1a, upload, 1, 0m2.429s
m4.xlarge, eu-central-1a, upload, 1, 0m2.491s
m4.xlarge, eu-central-1a, upload, 1, 0m2.560s
m4.xlarge, eu-central-1a, upload, 1, 0m2.801s
m4.xlarge, eu-central-1a, upload, 1, 0m2.400s
m4.xlarge, eu-central-1a, upload, 2, 0m2.862s
m4.xlarge, eu-central-1a, upload, 2, 0m2.833s
m4.xlarge, eu-central-1a, upload, 2, 0m2.831s
m4.xlarge, eu-central-1a, upload, 2, 0m2.669s
m4.xlarge, eu-central-1a, upload, 2, 0m2.841s
m4.xlarge, eu-central-1a, upload, 2, 0m2.655s
m4.xlarge, eu-central-1a, upload, 4, 0m2.990s
m4.xlarge, eu-central-1a, upload, 4, 0m3.027s
m4.xlarge, eu-central-1a, upload, 4, 0m3.192s
m4.xlarge, eu-central-1a, upload, 4, 0m3.036s
m4.xlarge, eu-central-1a, upload, 4, 0m2.895s
m4.xlarge, eu-central-1a, upload, 4, 0m3.377s
m4.xlarge, eu-central-1a, upload, 8, 0m3.396s
m4.xlarge, eu-central-1a, upload, 8, 0m3.375s
m4.xlarge, eu-central-1a, upload, 8, 0m3.382s
m4.xlarge, eu-central-1a, upload, 8, 0m3.198s
m4.xlarge, eu-central-1a, upload, 8, 0m3.302s
m4.xlarge, eu-central-1a, upload, 8, 0m4.320s
m4.xlarge, eu-central-1a, upload, 16, 0m4.240s
m4.xlarge, eu-central-1a, upload, 16, 0m3.973s
m4.xlarge, eu-central-1a, upload, 16, 0m3.895s
m4.xlarge, eu-central-1a, upload, 16, 0m4.065s
m4.xlarge, eu-central-1a, upload, 16, 0m4.337s
m4.xlarge, eu-central-1a, upload, 16, 0m3.698s
m4.xlarge, eu-central-1a, upload, 32, 0m4.774s
m4.xlarge, eu-central-1a, upload, 32, 0m5.364s
m4.xlarge, eu-central-1a, upload, 32, 0m3.952s
m4.xlarge, eu-central-1a, upload, 32, 0m4.047s
m4.xlarge, eu-central-1a, upload, 32, 0m4.367s
m4.xlarge, eu-central-1a, upload, 32, 0m4.296s
m4.xlarge, eu-central-1a, upload, 64, 0m5.533s
m4.xlarge, eu-central-1a, upload, 64, 0m4.630s
m4.xlarge, eu-central-1a, upload, 64, 0m6.063s
m4.xlarge, eu-central-1a, upload, 64, 0m4.688s
m4.xlarge, eu-central-1a, upload, 64, 0m4.707s
m4.xlarge, eu-central-1a, upload, 64, 0m11.852s
m4.xlarge, eu-central-1a, upload, 128, 0m5.722s
m4.xlarge, eu-central-1a, upload, 128, 0m5.977s
m4.xlarge, eu-central-1a, upload, 128, 0m6.217s
m4.xlarge, eu-central-1a, upload, 128, 0m15.014s
m4.xlarge, eu-central-1a, upload, 128, 0m6.605s
m4.xlarge, eu-central-1a, upload, 128, 0m6.572s
m4.xlarge, eu-central-1a, upload, 256, 0m10.019s
m4.xlarge, eu-central-1a, upload, 256, 0m11.114s
m4.xlarge, eu-central-1a, upload, 256, 0m8.148s
m4.xlarge, eu-central-1a, upload, 256, 0m9.063s
m4.xlarge, eu-central-1a, upload, 256, 0m10.621s
m4.xlarge, eu-central-1a, upload, 256, 0m8.009s
m4.xlarge, eu-central-1a, upload, 512, 0m14.369s
m4.xlarge, eu-central-1a, upload, 512, 0m14.189s
m4.xlarge, eu-central-1a, upload, 512, 0m16.986s
m4.xlarge, eu-central-1a, upload, 512, 0m15.846s
m4.xlarge, eu-central-1a, upload, 512, 0m17.789s
m4.xlarge, eu-central-1a, upload, 512, 0m13.574s
m4.xlarge, eu-central-1a, upload, 1024, 0m25.985s
m4.xlarge, eu-central-1a, upload, 1024, 0m24.963s
m4.xlarge, eu-central-1a, upload, 1024, 0m29.263s
m4.xlarge, eu-central-1a, upload, 1024, 0m27.208s
m4.xlarge, eu-central-1a, upload, 1024, 0m25.920s
m4.xlarge, eu-central-1a, upload, 1024, 0m23.909s
m4.xlarge, eu-central-1a, upload, 2048, 0m46.871s
m4.xlarge, eu-central-1a, upload, 2048, 0m57.170s
m4.xlarge, eu-central-1a, upload, 2048, 0m44.476s
m4.xlarge, eu-central-1a, upload, 2048, 0m47.901s
m4.xlarge, eu-central-1a, upload, 2048, 1m8.733s
m4.xlarge, eu-central-1a, upload, 2048, 0m42.641s
m4.xlarge, eu-central-1a, upload, 4096, 1m48.848s
m4.xlarge, eu-central-1a, upload, 4096, 1m27.599s
m4.xlarge, eu-central-1a, upload, 4096, 1m28.219s
m4.xlarge, eu-central-1a, upload, 4096, 1m34.868s
m4.xlarge, eu-central-1a, upload, 4096, 1m27.346s
m4.xlarge, eu-central-1a, upload, 4096, 1m27.558s
m4.xlarge, eu-central-1a, upload, 8192, 2m4.595s
m4.xlarge, eu-central-1a, upload, 8192, 2m1.163s
m4.xlarge, eu-central-1a, upload, 8192, 2m10.875s
m4.xlarge, eu-central-1a, upload, 8192, 2m14.984s
m4.xlarge, eu-central-1a, upload, 8192, 2m10.381s
m4.xlarge, eu-central-1a, upload, 8192, 2m1.057s
m4.xlarge, eu-central-1a, download, 1, 0m2.404s
m4.xlarge, eu-central-1a, download, 1, 0m2.341s
m4.xlarge, eu-central-1a, download, 1, 0m2.336s
m4.xlarge, eu-central-1a, download, 1, 0m2.252s
m4.xlarge, eu-central-1a, download, 1, 0m2.671s
m4.xlarge, eu-central-1a, download, 1, 0m2.514s
m4.xlarge, eu-central-1a, download, 2, 0m2.837s
m4.xlarge, eu-central-1a, download, 2, 0m3.676s
m4.xlarge, eu-central-1a, download, 2, 0m2.780s
m4.xlarge, eu-central-1a, download, 2, 0m2.693s
m4.xlarge, eu-central-1a, download, 2, 0m2.764s
m4.xlarge, eu-central-1a, download, 2, 0m2.849s
m4.xlarge, eu-central-1a, download, 4, 0m3.369s
m4.xlarge, eu-central-1a, download, 4, 0m3.249s
m4.xlarge, eu-central-1a, download, 4, 0m2.982s
m4.xlarge, eu-central-1a, download, 4, 0m3.068s
m4.xlarge, eu-central-1a, download, 4, 0m3.219s
m4.xlarge, eu-central-1a, download, 4, 0m3.222s
m4.xlarge, eu-central-1a, download, 8, 0m4.271s
m4.xlarge, eu-central-1a, download, 8, 0m3.967s
m4.xlarge, eu-central-1a, download, 8, 0m4.220s
m4.xlarge, eu-central-1a, download, 8, 0m4.405s
m4.xlarge, eu-central-1a, download, 8, 0m4.234s
m4.xlarge, eu-central-1a, download, 8, 0m4.179s
m4.xlarge, eu-central-1a, download, 16, 0m4.586s
m4.xlarge, eu-central-1a, download, 16, 0m4.854s
m4.xlarge, eu-central-1a, download, 16, 0m4.643s
m4.xlarge, eu-central-1a, download, 16, 0m4.672s
m4.xlarge, eu-central-1a, download, 16, 0m4.770s
m4.xlarge, eu-central-1a, download, 16, 0m4.653s
m4.xlarge, eu-central-1a, download, 32, 0m5.241s
m4.xlarge, eu-central-1a, download, 32, 0m4.967s
m4.xlarge, eu-central-1a, download, 32, 0m5.192s
m4.xlarge, eu-central-1a, download, 32, 0m5.252s
m4.xlarge, eu-central-1a, download, 32, 0m5.166s
m4.xlarge, eu-central-1a, download, 32, 0m5.177s
m4.xlarge, eu-central-1a, download, 64, 0m4.643s
m4.xlarge, eu-central-1a, download, 64, 0m4.831s
m4.xlarge, eu-central-1a, download, 64, 0m5.453s
m4.xlarge, eu-central-1a, download, 64, 0m5.004s
m4.xlarge, eu-central-1a, download, 64, 0m4.677s
m4.xlarge, eu-central-1a, download, 64, 0m4.559s
m4.xlarge, eu-central-1a, download, 128, 0m6.951s
m4.xlarge, eu-central-1a, download, 128, 0m6.683s
m4.xlarge, eu-central-1a, download, 128, 0m6.676s
m4.xlarge, eu-central-1a, download, 128, 0m6.558s
m4.xlarge, eu-central-1a, download, 128, 0m6.563s
m4.xlarge, eu-central-1a, download, 128, 0m6.587s
m4.xlarge, eu-central-1a, download, 256, 0m10.694s
m4.xlarge, eu-central-1a, download, 256, 0m10.285s
m4.xlarge, eu-central-1a, download, 256, 0m10.265s
m4.xlarge, eu-central-1a, download, 256, 0m10.400s
m4.xlarge, eu-central-1a, download, 256, 0m10.188s
m4.xlarge, eu-central-1a, download, 256, 0m10.394s
m4.xlarge, eu-central-1a, download, 512, 0m16.997s
m4.xlarge, eu-central-1a, download, 512, 0m16.840s
m4.xlarge, eu-central-1a, download, 512, 0m16.677s
m4.xlarge, eu-central-1a, download, 512, 0m16.464s
m4.xlarge, eu-central-1a, download, 512, 0m16.452s
m4.xlarge, eu-central-1a, download, 512, 0m16.752s
m4.xlarge, eu-central-1a, download, 1024, 0m29.731s
m4.xlarge, eu-central-1a, download, 1024, 0m29.377s
m4.xlarge, eu-central-1a, download, 1024, 0m28.995s
m4.xlarge, eu-central-1a, download, 1024, 0m29.054s
m4.xlarge, eu-central-1a, download, 1024, 0m28.637s
m4.xlarge, eu-central-1a, download, 1024, 0m30.071s
m4.xlarge, eu-central-1a, download, 2048, 0m57.453s
m4.xlarge, eu-central-1a, download, 2048, 0m58.721s
m4.xlarge, eu-central-1a, download, 2048, 0m57.406s
m4.xlarge, eu-central-1a, download, 2048, 0m56.549s
m4.xlarge, eu-central-1a, download, 2048, 0m56.383s
m4.xlarge, eu-central-1a, download, 2048, 0m56.083s
m4.xlarge, eu-central-1a, download, 4096, 1m48.049s
m4.xlarge, eu-central-1a, download, 4096, 1m48.051s
m4.xlarge, eu-central-1a, download, 4096, 1m48.032s
m4.xlarge, eu-central-1a, download, 4096, 1m47.836s
m4.xlarge, eu-central-1a, download, 4096, 1m48.966s
m4.xlarge, eu-central-1a, download, 4096, 1m47.468s
m4.xlarge, eu-central-1a, download, 8192, 2m52.291s
m4.xlarge, eu-central-1a, download, 8192, 2m55.689s
m4.xlarge, eu-central-1a, download, 8192, 3m10.931s
m4.xlarge, eu-central-1a, download, 8192, 2m55.792s
m4.xlarge, eu-central-1a, download, 8192, 3m1.773s
m4.xlarge, eu-central-1a, download, 8192, 2m56.484s
