c4.8xlarge, eu-central-1a, upload, 1, 0m2.701s
c4.8xlarge, eu-central-1a, upload, 1, 0m2.498s
c4.8xlarge, eu-central-1a, upload, 1, 0m2.496s
c4.8xlarge, eu-central-1a, upload, 1, 0m2.669s
c4.8xlarge, eu-central-1a, upload, 1, 0m2.571s
c4.8xlarge, eu-central-1a, upload, 1, 0m2.636s
c4.8xlarge, eu-central-1a, upload, 2, 0m2.690s
c4.8xlarge, eu-central-1a, upload, 2, 0m2.999s
c4.8xlarge, eu-central-1a, upload, 2, 0m2.905s
c4.8xlarge, eu-central-1a, upload, 2, 0m2.730s
c4.8xlarge, eu-central-1a, upload, 2, 0m2.731s
c4.8xlarge, eu-central-1a, upload, 2, 0m3.101s
c4.8xlarge, eu-central-1a, upload, 4, 0m3.023s
c4.8xlarge, eu-central-1a, upload, 4, 0m3.297s
c4.8xlarge, eu-central-1a, upload, 4, 0m3.476s
c4.8xlarge, eu-central-1a, upload, 4, 0m2.948s
c4.8xlarge, eu-central-1a, upload, 4, 0m3.032s
c4.8xlarge, eu-central-1a, upload, 4, 0m2.900s
c4.8xlarge, eu-central-1a, upload, 8, 0m3.568s
c4.8xlarge, eu-central-1a, upload, 8, 0m3.187s
c4.8xlarge, eu-central-1a, upload, 8, 0m3.295s
c4.8xlarge, eu-central-1a, upload, 8, 0m3.553s
c4.8xlarge, eu-central-1a, upload, 8, 0m3.353s
c4.8xlarge, eu-central-1a, upload, 8, 0m3.271s
c4.8xlarge, eu-central-1a, upload, 16, 0m3.717s
c4.8xlarge, eu-central-1a, upload, 16, 0m3.632s
c4.8xlarge, eu-central-1a, upload, 16, 0m3.723s
c4.8xlarge, eu-central-1a, upload, 16, 0m4.127s
c4.8xlarge, eu-central-1a, upload, 16, 0m4.126s
c4.8xlarge, eu-central-1a, upload, 16, 0m3.720s
c4.8xlarge, eu-central-1a, upload, 32, 0m5.214s
c4.8xlarge, eu-central-1a, upload, 32, 0m3.693s
c4.8xlarge, eu-central-1a, upload, 32, 0m6.072s
c4.8xlarge, eu-central-1a, upload, 32, 0m3.935s
c4.8xlarge, eu-central-1a, upload, 32, 0m4.219s
c4.8xlarge, eu-central-1a, upload, 32, 0m4.019s
c4.8xlarge, eu-central-1a, upload, 64, 0m15.723s
c4.8xlarge, eu-central-1a, upload, 64, 0m4.151s
c4.8xlarge, eu-central-1a, upload, 64, 0m4.830s
c4.8xlarge, eu-central-1a, upload, 64, 0m5.309s
c4.8xlarge, eu-central-1a, upload, 64, 0m3.949s
c4.8xlarge, eu-central-1a, upload, 64, 0m11.831s
