m4.xlarge, ap-northeast-1c, upload, 1, 0m3.853s
m4.xlarge, ap-northeast-1c, upload, 1, 0m3.492s
m4.xlarge, ap-northeast-1c, upload, 1, 0m3.462s
m4.xlarge, ap-northeast-1c, upload, 1, 0m4.226s
m4.xlarge, ap-northeast-1c, upload, 1, 0m3.514s
m4.xlarge, ap-northeast-1c, upload, 1, 0m3.505s
m4.xlarge, ap-northeast-1c, upload, 2, 0m4.018s
m4.xlarge, ap-northeast-1c, upload, 2, 0m4.899s
m4.xlarge, ap-northeast-1c, upload, 2, 0m3.916s
m4.xlarge, ap-northeast-1c, upload, 2, 0m3.849s
m4.xlarge, ap-northeast-1c, upload, 2, 0m3.563s
m4.xlarge, ap-northeast-1c, upload, 2, 0m3.548s
m4.xlarge, ap-northeast-1c, upload, 4, 0m4.382s
m4.xlarge, ap-northeast-1c, upload, 4, 0m8.290s
m4.xlarge, ap-northeast-1c, upload, 4, 0m6.068s
m4.xlarge, ap-northeast-1c, upload, 4, 0m4.430s
m4.xlarge, ap-northeast-1c, upload, 4, 0m4.962s
m4.xlarge, ap-northeast-1c, upload, 4, 0m4.463s
m4.xlarge, ap-northeast-1c, upload, 8, 0m4.928s
m4.xlarge, ap-northeast-1c, upload, 8, 0m5.217s
m4.xlarge, ap-northeast-1c, upload, 8, 0m4.572s
m4.xlarge, ap-northeast-1c, upload, 8, 0m5.010s
m4.xlarge, ap-northeast-1c, upload, 8, 0m4.189s
m4.xlarge, ap-northeast-1c, upload, 8, 0m4.767s
m4.xlarge, ap-northeast-1c, upload, 16, 0m5.370s
m4.xlarge, ap-northeast-1c, upload, 16, 0m5.782s
m4.xlarge, ap-northeast-1c, upload, 16, 0m5.894s
m4.xlarge, ap-northeast-1c, upload, 16, 0m5.704s
m4.xlarge, ap-northeast-1c, upload, 16, 0m6.252s
m4.xlarge, ap-northeast-1c, upload, 16, 0m5.566s
m4.xlarge, ap-northeast-1c, upload, 32, 0m6.355s
m4.xlarge, ap-northeast-1c, upload, 32, 0m6.202s
m4.xlarge, ap-northeast-1c, upload, 32, 0m5.852s
m4.xlarge, ap-northeast-1c, upload, 32, 0m9.328s
m4.xlarge, ap-northeast-1c, upload, 32, 0m7.494s
m4.xlarge, ap-northeast-1c, upload, 32, 0m6.291s
m4.xlarge, ap-northeast-1c, upload, 64, 0m7.409s
m4.xlarge, ap-northeast-1c, upload, 64, 0m14.057s
m4.xlarge, ap-northeast-1c, upload, 64, 0m7.521s
m4.xlarge, ap-northeast-1c, upload, 64, 0m9.284s
m4.xlarge, ap-northeast-1c, upload, 64, 0m6.626s
m4.xlarge, ap-northeast-1c, upload, 64, 0m10.349s
m4.xlarge, ap-northeast-1c, upload, 128, 0m8.931s
m4.xlarge, ap-northeast-1c, upload, 128, 0m10.732s
m4.xlarge, ap-northeast-1c, upload, 128, 0m8.650s
m4.xlarge, ap-northeast-1c, upload, 128, 0m9.407s
m4.xlarge, ap-northeast-1c, upload, 128, 0m9.180s
m4.xlarge, ap-northeast-1c, upload, 128, 0m9.378s
m4.xlarge, ap-northeast-1c, upload, 256, 0m12.216s
m4.xlarge, ap-northeast-1c, upload, 256, 0m11.233s
m4.xlarge, ap-northeast-1c, upload, 256, 0m13.227s
m4.xlarge, ap-northeast-1c, upload, 256, 0m22.990s
m4.xlarge, ap-northeast-1c, upload, 256, 0m36.527s
m4.xlarge, ap-northeast-1c, upload, 256, 0m10.510s
m4.xlarge, ap-northeast-1c, upload, 512, 0m35.844s
m4.xlarge, ap-northeast-1c, upload, 512, 0m18.341s
m4.xlarge, ap-northeast-1c, upload, 512, 0m20.617s
m4.xlarge, ap-northeast-1c, upload, 512, 0m21.792s
m4.xlarge, ap-northeast-1c, upload, 512, 0m19.527s
m4.xlarge, ap-northeast-1c, upload, 512, 0m18.214s
m4.xlarge, ap-northeast-1c, upload, 1024, 0m34.291s
m4.xlarge, ap-northeast-1c, upload, 1024, 0m38.283s
m4.xlarge, ap-northeast-1c, upload, 1024, 0m30.787s
m4.xlarge, ap-northeast-1c, upload, 1024, 0m38.189s
m4.xlarge, ap-northeast-1c, upload, 1024, 0m36.840s
m4.xlarge, ap-northeast-1c, upload, 1024, 0m36.263s
m4.xlarge, ap-northeast-1c, upload, 2048, 1m5.385s
m4.xlarge, ap-northeast-1c, upload, 2048, 1m18.295s
m4.xlarge, ap-northeast-1c, upload, 2048, 1m9.108s
m4.xlarge, ap-northeast-1c, upload, 2048, 1m2.573s
m4.xlarge, ap-northeast-1c, upload, 2048, 1m2.133s
m4.xlarge, ap-northeast-1c, upload, 2048, 1m4.174s
m4.xlarge, ap-northeast-1c, upload, 4096, 2m3.040s
m4.xlarge, ap-northeast-1c, upload, 4096, 1m59.723s
m4.xlarge, ap-northeast-1c, upload, 4096, 2m8.406s
m4.xlarge, ap-northeast-1c, upload, 4096, 2m9.643s
m4.xlarge, ap-northeast-1c, upload, 4096, 2m8.091s
m4.xlarge, ap-northeast-1c, upload, 4096, 2m12.414s
m4.xlarge, ap-northeast-1c, upload, 8192, 4m2.979s
m4.xlarge, ap-northeast-1c, upload, 8192, 3m14.211s
m4.xlarge, ap-northeast-1c, upload, 8192, 3m16.522s
m4.xlarge, ap-northeast-1c, upload, 8192, 4m10.285s
m4.xlarge, ap-northeast-1c, upload, 8192, 4m13.698s
m4.xlarge, ap-northeast-1c, upload, 8192, 3m23.447s
m4.xlarge, ap-northeast-1c, download, 1, 0m3.061s
m4.xlarge, ap-northeast-1c, download, 1, 0m3.017s
m4.xlarge, ap-northeast-1c, download, 1, 0m2.927s
m4.xlarge, ap-northeast-1c, download, 1, 0m3.022s
m4.xlarge, ap-northeast-1c, download, 1, 0m3.350s
m4.xlarge, ap-northeast-1c, download, 1, 0m3.409s
m4.xlarge, ap-northeast-1c, download, 2, 0m4.023s
m4.xlarge, ap-northeast-1c, download, 2, 0m3.568s
m4.xlarge, ap-northeast-1c, download, 2, 0m3.810s
m4.xlarge, ap-northeast-1c, download, 2, 0m3.955s
m4.xlarge, ap-northeast-1c, download, 2, 0m3.969s
m4.xlarge, ap-northeast-1c, download, 2, 0m3.962s
m4.xlarge, ap-northeast-1c, download, 4, 0m5.037s
m4.xlarge, ap-northeast-1c, download, 4, 0m4.455s
m4.xlarge, ap-northeast-1c, download, 4, 0m4.812s
m4.xlarge, ap-northeast-1c, download, 4, 0m4.399s
m4.xlarge, ap-northeast-1c, download, 4, 0m4.653s
m4.xlarge, ap-northeast-1c, download, 4, 0m4.867s
m4.xlarge, ap-northeast-1c, download, 8, 0m5.844s
m4.xlarge, ap-northeast-1c, download, 8, 0m6.062s
m4.xlarge, ap-northeast-1c, download, 8, 0m5.699s
m4.xlarge, ap-northeast-1c, download, 8, 0m6.151s
m4.xlarge, ap-northeast-1c, download, 8, 0m5.713s
m4.xlarge, ap-northeast-1c, download, 8, 0m6.493s
m4.xlarge, ap-northeast-1c, download, 16, 0m7.028s
m4.xlarge, ap-northeast-1c, download, 16, 0m7.333s
m4.xlarge, ap-northeast-1c, download, 16, 0m6.951s
m4.xlarge, ap-northeast-1c, download, 16, 0m6.493s
m4.xlarge, ap-northeast-1c, download, 16, 0m7.022s
m4.xlarge, ap-northeast-1c, download, 16, 0m7.268s
m4.xlarge, ap-northeast-1c, download, 32, 0m7.934s
m4.xlarge, ap-northeast-1c, download, 32, 0m8.187s
