c4.xlarge, us-east-1b, upload, 1, 0m2.276s
c4.xlarge, us-east-1b, upload, 1, 0m1.362s
c4.xlarge, us-east-1b, upload, 1, 0m1.465s
c4.xlarge, us-east-1b, upload, 1, 0m1.361s
c4.xlarge, us-east-1b, upload, 1, 0m1.353s
c4.xlarge, us-east-1b, upload, 1, 0m1.346s
c4.xlarge, us-east-1b, upload, 2, 0m1.412s
c4.xlarge, us-east-1b, upload, 2, 0m1.425s
c4.xlarge, us-east-1b, upload, 2, 0m1.477s
c4.xlarge, us-east-1b, upload, 2, 0m1.605s
c4.xlarge, us-east-1b, upload, 2, 0m1.360s
c4.xlarge, us-east-1b, upload, 2, 0m1.367s
c4.xlarge, us-east-1b, upload, 4, 0m1.439s
c4.xlarge, us-east-1b, upload, 4, 0m1.463s
c4.xlarge, us-east-1b, upload, 4, 0m1.493s
c4.xlarge, us-east-1b, upload, 4, 0m1.451s
c4.xlarge, us-east-1b, upload, 4, 0m1.396s
c4.xlarge, us-east-1b, upload, 4, 0m1.393s
c4.xlarge, us-east-1b, upload, 8, 0m1.576s
c4.xlarge, us-east-1b, upload, 8, 0m1.799s
c4.xlarge, us-east-1b, upload, 8, 0m1.563s
c4.xlarge, us-east-1b, upload, 8, 0m1.496s
c4.xlarge, us-east-1b, upload, 8, 0m1.467s
c4.xlarge, us-east-1b, upload, 8, 0m1.671s
c4.xlarge, us-east-1b, upload, 16, 0m2.922s
c4.xlarge, us-east-1b, upload, 16, 0m1.877s
c4.xlarge, us-east-1b, upload, 16, 0m1.916s
c4.xlarge, us-east-1b, upload, 16, 0m1.721s
c4.xlarge, us-east-1b, upload, 16, 0m1.601s
c4.xlarge, us-east-1b, upload, 16, 0m1.913s
c4.xlarge, us-east-1b, upload, 32, 0m1.900s
c4.xlarge, us-east-1b, upload, 32, 0m3.259s
c4.xlarge, us-east-1b, upload, 32, 0m2.890s
c4.xlarge, us-east-1b, upload, 32, 0m1.847s
c4.xlarge, us-east-1b, upload, 32, 0m3.450s
c4.xlarge, us-east-1b, upload, 32, 0m2.069s
c4.xlarge, us-east-1b, upload, 64, 0m2.398s
c4.xlarge, us-east-1b, upload, 64, 0m4.730s
c4.xlarge, us-east-1b, upload, 64, 0m2.479s
c4.xlarge, us-east-1b, upload, 64, 0m2.346s
c4.xlarge, us-east-1b, upload, 64, 0m2.269s
c4.xlarge, us-east-1b, upload, 64, 0m2.131s
c4.xlarge, us-east-1b, upload, 128, 0m4.457s
c4.xlarge, us-east-1b, upload, 128, 0m2.791s
c4.xlarge, us-east-1b, upload, 128, 0m2.898s
c4.xlarge, us-east-1b, upload, 128, 0m3.316s
c4.xlarge, us-east-1b, upload, 128, 0m2.705s
c4.xlarge, us-east-1b, upload, 128, 0m2.873s
c4.xlarge, us-east-1b, upload, 256, 0m4.198s
c4.xlarge, us-east-1b, upload, 256, 0m4.038s
c4.xlarge, us-east-1b, upload, 256, 0m11.206s
c4.xlarge, us-east-1b, upload, 256, 0m4.038s
c4.xlarge, us-east-1b, upload, 256, 0m4.022s
c4.xlarge, us-east-1b, upload, 256, 0m4.015s
c4.xlarge, us-east-1b, upload, 512, 0m6.552s
c4.xlarge, us-east-1b, upload, 512, 0m10.054s
c4.xlarge, us-east-1b, upload, 512, 0m6.625s
c4.xlarge, us-east-1b, upload, 512, 0m7.332s
c4.xlarge, us-east-1b, upload, 512, 0m6.678s
c4.xlarge, us-east-1b, upload, 512, 0m6.677s
c4.xlarge, us-east-1b, upload, 1024, 0m28.402s
c4.xlarge, us-east-1b, upload, 1024, 0m11.543s
c4.xlarge, us-east-1b, upload, 1024, 0m23.936s
c4.xlarge, us-east-1b, upload, 1024, 0m31.349s
c4.xlarge, us-east-1b, upload, 1024, 0m12.351s
c4.xlarge, us-east-1b, upload, 1024, 0m12.464s
c4.xlarge, us-east-1b, upload, 2048, 0m24.497s
c4.xlarge, us-east-1b, upload, 2048, 0m21.779s
c4.xlarge, us-east-1b, upload, 2048, 0m21.957s
c4.xlarge, us-east-1b, upload, 2048, 0m30.295s
c4.xlarge, us-east-1b, upload, 2048, 0m21.806s
c4.xlarge, us-east-1b, upload, 2048, 0m22.868s
c4.xlarge, us-east-1b, upload, 4096, 0m55.756s
c4.xlarge, us-east-1b, upload, 4096, 1m0.113s
c4.xlarge, us-east-1b, upload, 4096, 0m54.398s
c4.xlarge, us-east-1b, upload, 4096, 0m45.963s
c4.xlarge, us-east-1b, upload, 4096, 0m46.340s
c4.xlarge, us-east-1b, upload, 4096, 0m56.528s
c4.xlarge, us-east-1b, upload, 8192, 1m32.794s
c4.xlarge, us-east-1b, upload, 8192, 1m25.161s
c4.xlarge, us-east-1b, upload, 8192, 1m40.657s
c4.xlarge, us-east-1b, upload, 8192, 1m20.234s
c4.xlarge, us-east-1b, upload, 8192, 1m18.287s
c4.xlarge, us-east-1b, upload, 8192, 1m18.979s
c4.xlarge, us-east-1b, download, 1, 0m1.479s
c4.xlarge, us-east-1b, download, 1, 0m1.335s
c4.xlarge, us-east-1b, download, 1, 0m1.292s
c4.xlarge, us-east-1b, download, 1, 0m1.270s
c4.xlarge, us-east-1b, download, 1, 0m1.274s
c4.xlarge, us-east-1b, download, 1, 0m1.279s
c4.xlarge, us-east-1b, download, 2, 0m1.348s
c4.xlarge, us-east-1b, download, 2, 0m1.297s
c4.xlarge, us-east-1b, download, 2, 0m1.286s
c4.xlarge, us-east-1b, download, 2, 0m1.289s
c4.xlarge, us-east-1b, download, 2, 0m1.315s
c4.xlarge, us-east-1b, download, 2, 0m1.341s
c4.xlarge, us-east-1b, download, 4, 0m1.350s
c4.xlarge, us-east-1b, download, 4, 0m1.443s
c4.xlarge, us-east-1b, download, 4, 0m1.611s
c4.xlarge, us-east-1b, download, 4, 0m1.289s
c4.xlarge, us-east-1b, download, 4, 0m1.289s
c4.xlarge, us-east-1b, download, 4, 0m1.464s
c4.xlarge, us-east-1b, download, 8, 0m1.489s
c4.xlarge, us-east-1b, download, 8, 0m1.409s
c4.xlarge, us-east-1b, download, 8, 0m1.329s
c4.xlarge, us-east-1b, download, 8, 0m1.353s
c4.xlarge, us-east-1b, download, 8, 0m1.363s
c4.xlarge, us-east-1b, download, 8, 0m1.371s
c4.xlarge, us-east-1b, download, 16, 0m1.656s
c4.xlarge, us-east-1b, download, 16, 0m1.454s
c4.xlarge, us-east-1b, download, 16, 0m1.409s
c4.xlarge, us-east-1b, download, 16, 0m1.415s
c4.xlarge, us-east-1b, download, 16, 0m1.418s
c4.xlarge, us-east-1b, download, 16, 0m1.609s
c4.xlarge, us-east-1b, download, 32, 0m2.663s
c4.xlarge, us-east-1b, download, 32, 0m1.617s
c4.xlarge, us-east-1b, download, 32, 0m2.666s
c4.xlarge, us-east-1b, download, 32, 0m2.236s
c4.xlarge, us-east-1b, download, 32, 0m1.712s
c4.xlarge, us-east-1b, download, 32, 0m1.702s
c4.xlarge, us-east-1b, download, 64, 0m2.669s
c4.xlarge, us-east-1b, download, 64, 0m2.270s
c4.xlarge, us-east-1b, download, 64, 0m1.922s
c4.xlarge, us-east-1b, download, 64, 0m1.941s
c4.xlarge, us-east-1b, download, 64, 0m1.918s
c4.xlarge, us-east-1b, download, 64, 0m2.320s
c4.xlarge, us-east-1b, download, 128, 0m2.689s
c4.xlarge, us-east-1b, download, 128, 0m2.556s
c4.xlarge, us-east-1b, download, 128, 0m4.291s
c4.xlarge, us-east-1b, download, 128, 0m2.778s
c4.xlarge, us-east-1b, download, 128, 0m2.699s
c4.xlarge, us-east-1b, download, 128, 0m3.540s
c4.xlarge, us-east-1b, download, 256, 0m4.327s
c4.xlarge, us-east-1b, download, 256, 0m4.447s
c4.xlarge, us-east-1b, download, 256, 0m3.848s
c4.xlarge, us-east-1b, download, 256, 0m3.932s
c4.xlarge, us-east-1b, download, 256, 0m3.964s
c4.xlarge, us-east-1b, download, 256, 0m3.825s
c4.xlarge, us-east-1b, download, 512, 0m6.421s
c4.xlarge, us-east-1b, download, 512, 0m6.836s
c4.xlarge, us-east-1b, download, 512, 0m6.332s
c4.xlarge, us-east-1b, download, 512, 0m6.328s
c4.xlarge, us-east-1b, download, 512, 0m6.584s
c4.xlarge, us-east-1b, download, 512, 0m6.330s
c4.xlarge, us-east-1b, download, 1024, 0m12.394s
c4.xlarge, us-east-1b, download, 1024, 0m11.523s
c4.xlarge, us-east-1b, download, 1024, 0m11.412s
c4.xlarge, us-east-1b, download, 1024, 0m11.373s
c4.xlarge, us-east-1b, download, 1024, 0m11.358s
c4.xlarge, us-east-1b, download, 1024, 0m11.392s
c4.xlarge, us-east-1b, download, 2048, 0m22.567s
c4.xlarge, us-east-1b, download, 2048, 0m22.894s
c4.xlarge, us-east-1b, download, 2048, 0m23.300s
c4.xlarge, us-east-1b, download, 2048, 0m23.224s
c4.xlarge, us-east-1b, download, 2048, 0m23.728s
c4.xlarge, us-east-1b, download, 2048, 0m23.654s
c4.xlarge, us-east-1b, download, 4096, 0m47.377s
c4.xlarge, us-east-1b, download, 4096, 0m47.267s
c4.xlarge, us-east-1b, download, 4096, 0m46.668s
c4.xlarge, us-east-1b, download, 4096, 0m47.761s
c4.xlarge, us-east-1b, download, 4096, 0m45.768s
c4.xlarge, us-east-1b, download, 4096, 0m47.528s
c4.xlarge, us-east-1b, download, 8192, 1m27.647s
c4.xlarge, us-east-1b, download, 8192, 1m24.472s
c4.xlarge, us-east-1b, download, 8192, 1m26.231s
c4.xlarge, us-east-1b, download, 8192, 1m24.936s
c4.xlarge, us-east-1b, download, 8192, 1m26.925s
c4.xlarge, us-east-1b, download, 8192, 1m24.929s
